Datas,Tasmania
21/07/20,0
21/07/21,0
21/07/22,0
21/07/23,0
21/07/24,0
21/07/25,0
21/07/26,0
21/07/27,0
21/07/28,0
21/07/29,0
21/07/30,0
21/07/31,0
21/08/01,0
21/08/02,0
21/08/03,0
21/08/04,1
21/08/05,0
21/08/06,0
21/08/07,0
21/08/08,0
21/08/09,0
21/08/10,0
21/08/11,0
21/08/12,0
21/08/13,0
21/08/14,0
21/08/15,0
21/08/16,0
21/08/17,0
21/08/18,0
21/08/19,0
21/08/20,0
21/08/21,0
21/08/22,0
21/08/23,0
21/08/24,0
21/08/25,0
21/08/26,0
21/08/27,0
21/08/28,0
21/08/29,0
21/08/30,0
21/08/31,0
21/09/01,0
21/09/02,0
21/09/03,0
21/09/04,0
21/09/05,0
21/09/06,0
21/09/07,0
21/09/08,0
21/09/09,0
21/09/10,0
21/09/11,0
21/09/12,0
21/09/13,0
21/09/14,0
21/09/15,0
21/09/16,0
21/09/17,0
21/09/18,0
21/09/19,0
21/09/20,0
21/09/21,0
21/09/22,0
21/09/23,0
21/09/24,0
21/09/25,0
21/09/26,0
21/09/27,0
21/09/28,0
21/09/29,0
21/09/30,0
21/10/01,0
21/10/02,1
21/10/03,0
21/10/04,0
21/10/05,0
21/10/06,0
21/10/07,0
21/10/08,0
21/10/09,0
21/10/10,0
21/10/11,0
21/10/12,0
21/10/13,1
21/10/14,0
21/10/15,0
21/10/16,0
21/10/17,0
21/10/18,0
21/10/19,0
21/10/20,0
21/10/21,0
21/10/22,0
21/10/23,0
21/10/24,0
21/10/25,0
21/10/26,0
21/10/27,0
21/10/28,0
21/10/29,0
21/10/30,0
21/10/31,0
21/11/01,0
21/11/02,0
21/11/03,0
21/11/04,0
21/11/05,0
21/11/06,0
21/11/07,0
21/11/08,0
21/11/09,0
21/11/10,0
21/11/11,0
21/11/12,0
21/11/13,0
21/11/14,1
21/11/15,0
21/11/16,0
21/11/17,0
21/11/18,0
21/11/19,0
21/11/20,0
21/11/21,0
21/11/22,1
21/11/23,0
21/11/24,0
21/11/25,0
21/11/26,0
21/11/27,0
21/11/28,0
21/11/29,0
21/11/30,1
21/12/01,0
21/12/02,0
21/12/03,0
21/12/04,0
21/12/05,0
21/12/06,0
21/12/07,0
21/12/08,0
21/12/09,0
21/12/10,0
21/12/11,0
21/12/12,0
21/12/13,0
21/12/14,0
21/12/15,1
21/12/16,2
21/12/17,1
21/12/18,3
21/12/19,3
21/12/20,4
21/12/21,12
21/12/22,26
21/12/23,-4
21/12/24,65
21/12/25,0
21/12/26,81
21/12/27,49
21/12/28,57
21/12/29,97
21/12/30,148
21/12/31,0
22/01/01,828
22/01/02,15
22/01/03,631
22/01/04,1415
22/01/05,748
22/01/06,1489
22/01/07,2222
22/01/08,1395
22/01/09,1185
22/01/10,1367
22/01/11,1569
22/01/12,1096
22/01/13,1193
22/01/14,1160
22/01/15,872
22/01/16,1081
22/01/17,1310
22/01/18,1185
22/01/19,1102
22/01/20,867
22/01/21,409
22/01/22,626
22/01/23,732
22/01/24,602
22/01/25,720
22/01/26,752
22/01/27,627
22/01/28,701
22/01/29,635
22/01/30,627
22/01/31,699
22/02/01,666
22/02/02,656
22/02/03,570
22/02/04,-1749
22/02/05,471
22/02/06,443
22/02/07,601
22/02/08,574
22/02/09,637
22/02/10,538
22/02/11,456
22/02/12,354
22/02/13,408
22/02/14,514
22/02/15,628
22/02/16,675
22/02/17,627
22/02/18,585
22/02/19,521
22/02/20,570
22/02/21,818
22/02/22,841
22/02/23,854
22/02/24,832
22/02/25,794
22/02/26,676
22/02/27,713
22/02/28,944
22/03/01,868
22/03/02,1117
22/03/03,921
22/03/04,940
22/03/05,765
22/03/06,772
22/03/07,1045
22/03/08,1100
22/03/09,1165
22/03/10,1141
22/03/11,1130
22/03/12,929
22/03/13,915
22/03/14,1371
22/03/15,1865
22/03/16,1952
22/03/17,1774
22/03/18,1543
22/03/19,1204
22/03/20,1147
22/03/21,1827
22/03/22,1989
22/03/23,1992
22/03/24,1776
22/03/25,1695
22/03/26,1495
22/03/27,1726
22/03/28,2272
22/03/29,2471
22/03/30,2475
22/03/31,2108
22/04/01,1840
22/04/02,1693
22/04/03,1725
22/04/04,2432
22/04/05,2393
22/04/06,2331
22/04/07,1949
22/04/08,1803
22/04/09,1351
22/04/10,1467
22/04/11,1974
22/04/12,1839
22/04/13,1761
22/04/14,1422
22/04/15,1324
22/04/16,1198
22/04/17,1363
22/04/18,1412
22/04/19,1813
22/04/20,1464
22/04/21,1236
22/04/22,1212
22/04/23,911
22/04/24,862
22/04/25,956
22/04/26,1213
22/04/27,1200
22/04/28,1096
22/04/29,1049
22/04/30,816
22/05/01,902
22/05/02,1036
22/05/03,1073
22/05/04,1086
22/05/05,1093
22/05/06,894
22/05/07,726
22/05/08,840
22/05/09,1075
22/05/10,1030
22/05/11,1040
22/05/12,1115
22/05/13,925
22/05/14,813
22/05/15,878
22/05/16,1209
22/05/17,1169
22/05/18,1076
22/05/19,948
22/05/20,962
22/05/21,780
22/05/22,724
22/05/23,923
22/05/24,902
22/05/25,944
22/05/26,799
22/05/27,736
22/05/28,736
22/05/29,466
22/05/30,822
22/05/31,793
22/06/01,760
22/06/02,722
22/06/03,568
22/06/04,529
22/06/05,457
22/06/06,761
22/06/07,663
22/06/08,620
22/06/09,681
22/06/10,589
22/06/11,463
22/06/12,452
22/06/13,661
22/06/14,858
22/06/15,857
22/06/16,798
22/06/17,850
22/06/18,596
22/06/19,473
22/06/20,987
22/06/21,1155
22/06/22,1035
22/06/23,1029
22/06/24,964
22/06/25,777
22/06/26,801
22/06/27,1215
22/06/28,1171
22/06/29,1264
22/06/30,1516
22/07/01,1136
22/07/02,1062
22/07/03,1089
22/07/04,1609
22/07/05,1673
22/07/06,1728
22/07/07,1587
22/07/08,1511
22/07/09,1313
22/07/10,1446
22/07/11,1807
22/07/12,1783
22/07/13,1816
22/07/14,1729
22/07/15,1648
22/07/16,1412
22/07/17,0
22/07/18,3090
22/07/19,1553
22/07/20,1673
22/07/21,0
22/07/22,2761
22/07/23,1163
22/07/24,1055
22/07/25,1323
22/07/26,1278
22/07/27,1184
22/07/28,0
22/07/29,1039
22/07/30,1528
22/07/31,706
22/08/01,944
22/08/02,867
22/08/03,847
22/08/04,764
22/08/05,642
22/08/06,520
22/08/07,459
22/08/08,645
22/08/09,662
22/08/10,665
22/08/11,505
22/08/12,511
22/08/13,369
22/08/14,398
22/08/15,512
22/08/16,476
22/08/17,440
22/08/18,396
22/08/19,319
22/08/20,207
22/08/21,208
22/08/22,323
22/08/23,314
22/08/24,236
22/08/25,299
22/08/26,208
22/08/27,176
22/08/28,173
22/08/29,252
22/08/30,268
22/08/31,217
22/09/01,189
22/09/02,178
22/09/03,113
22/09/04,100
22/09/05,197
22/09/06,161
22/09/07,0
22/09/08,0
22/09/09,0
22/09/10,0
22/09/11,0
22/09/12,0
22/09/13,0
22/09/14,0
22/09/15,0
22/09/16,1306
22/09/17,0
22/09/18,0
22/09/19,0
22/09/20,0
22/09/21,0
22/09/22,0
22/09/23,893
22/09/24,0
22/09/25,0
