Datas,Matera
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,-1
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,2
2020/07/23,1
2020/07/24,0
2020/07/25,0
2020/07/26,0
2020/07/27,0
2020/07/28,0
2020/07/29,0
2020/07/30,0
2020/07/31,0
2020/08/01,0
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,0
2020/08/06,0
2020/08/07,0
2020/08/08,0
2020/08/09,0
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,0
2020/08/14,0
2020/08/15,0
2020/08/16,0
2020/08/17,0
2020/08/18,4
2020/08/19,1
2020/08/20,2
2020/08/21,0
2020/08/22,0
2020/08/23,2
2020/08/24,0
2020/08/25,2
2020/08/26,1
2020/08/27,1
2020/08/28,2
2020/08/29,1
2020/08/30,0
2020/08/31,0
2020/09/01,-1
2020/09/02,0
2020/09/03,5
2020/09/04,4
2020/09/05,6
2020/09/06,4
2020/09/07,0
2020/09/08,2
2020/09/09,2
2020/09/10,2
2020/09/11,0
2020/09/12,2
2020/09/13,1
2020/09/14,0
2020/09/15,0
2020/09/16,6
2020/09/17,1
2020/09/18,0
2020/09/19,1
2020/09/20,1
2020/09/21,0
2020/09/22,11
2020/09/23,2
2020/09/24,2
2020/09/25,0
2020/09/26,2
2020/09/27,1
2020/09/28,0
2020/09/29,0
2020/09/30,1
2020/10/01,2
2020/10/02,1
2020/10/03,1
2020/10/04,2
2020/10/05,0
2020/10/06,0
2020/10/07,1
2020/10/08,8
2020/10/09,14
2020/10/10,18
2020/10/11,8
2020/10/12,1
2020/10/13,0
2020/10/14,3
2020/10/15,12
2020/10/16,37
2020/10/17,7
2020/10/18,8
2020/10/19,7
2020/10/20,3
2020/10/21,33
2020/10/22,7
2020/10/23,38
2020/10/24,15
2020/10/25,13
2020/10/26,0
2020/10/27,17
2020/10/28,41
2020/10/29,17
2020/10/30,30
2020/10/31,69
2020/11/01,94
2020/11/02,38
2020/11/03,38
2020/11/04,137
2020/11/05,29
2020/11/06,111
2020/11/07,28
2020/11/08,103
2020/11/09,70
2020/11/10,75
2020/11/11,67
2020/11/12,47
2020/11/13,120
2020/11/14,81
2020/11/15,54
2020/11/16,34
2020/11/17,62
2020/11/18,108
2020/11/19,69
2020/11/20,59
2020/11/21,87
2020/11/22,67
2020/11/23,29
2020/11/24,125
2020/11/25,126
2020/11/26,112
2020/11/27,42
2020/11/28,74
2020/11/29,50
2020/11/30,44
2020/12/01,37
2020/12/02,26
2020/12/03,43
2020/12/04,31
2020/12/05,61
2020/12/06,19
2020/12/07,43
2020/12/08,16
2020/12/09,15
2020/12/10,13
2020/12/11,15
2020/12/12,9
2020/12/13,16
2020/12/14,20
2020/12/15,16
2020/12/16,29
2020/12/17,47
2020/12/18,18
2020/12/19,14
2020/12/20,9
2020/12/21,4
2020/12/22,8
2020/12/23,25
2020/12/24,36
2020/12/25,14
2020/12/26,2
2020/12/27,3
2020/12/28,10
2020/12/29,10
2020/12/30,26
2020/12/31,33
2021/01/01,21
2021/01/02,19
2021/01/03,6
2021/01/04,13
2021/01/05,8
2021/01/06,39
2021/01/07,10
2021/01/08,36
2021/01/09,17
2021/01/10,4
2021/01/11,31
2021/01/12,17
2021/01/13,9
2021/01/14,21
2021/01/15,6
2021/01/16,13
2021/01/17,4
2021/01/18,2
2021/01/19,5
2021/01/20,10
2021/01/21,9
2021/01/22,10
2021/01/23,8
2021/01/24,5
2021/01/25,43
2021/01/26,12
2021/01/27,22
2021/01/28,17
2021/01/29,7
2021/01/30,19
2021/01/31,12
2021/02/01,7
2021/02/02,12
2021/02/03,25
2021/02/04,25
2021/02/05,26
2021/02/06,19
2021/02/07,17
2021/02/08,10
2021/02/09,37
2021/02/10,24
2021/02/11,47
2021/02/12,50
2021/02/13,44
2021/02/14,24
2021/02/15,19
2021/02/16,24
2021/02/17,42
2021/02/18,41
2021/02/19,41
2021/02/20,37
2021/02/21,18
2021/02/22,27
2021/02/23,75
2021/02/24,83
2021/02/25,69
2021/02/26,51
2021/02/27,51
2021/02/28,29
2021/03/01,37
2021/03/02,40
2021/03/03,39
2021/03/04,59
2021/03/05,91
2021/03/06,70
2021/03/07,72
2021/03/08,15
2021/03/09,71
2021/03/10,52
2021/03/11,63
2021/03/12,55
2021/03/13,67
2021/03/14,31
2021/03/15,40
2021/03/16,43
2021/03/17,39
2021/03/18,61
2021/03/19,58
2021/03/20,42
2021/03/21,36
2021/03/22,10
2021/03/23,46
2021/03/24,36
2021/03/25,57
2021/03/26,44
2021/03/27,46
2021/03/28,47
2021/03/29,18
2021/03/30,36
2021/03/31,58
2021/04/01,73
2021/04/02,78
2021/04/03,26
2021/04/04,45
2021/04/05,12
2021/04/06,3
2021/04/07,40
2021/04/08,73
2021/04/09,93
2021/04/10,61
2021/04/11,63
2021/04/12,43
2021/04/13,59
2021/04/14,94
2021/04/15,72
2021/04/16,71
2021/04/17,67
2021/04/18,55
2021/04/19,18
2021/04/20,40
2021/04/21,67
2021/04/22,75
2021/04/23,56
2021/04/24,39
2021/04/25,61
2021/04/26,17
2021/04/27,27
2021/04/28,70
2021/04/29,59
2021/04/30,82
2021/05/01,56
2021/05/02,29
2021/05/03,13
2021/05/04,32
2021/05/05,55
2021/05/06,47
2021/05/07,39
2021/05/08,32
2021/05/09,22
2021/05/10,10
2021/05/11,13
2021/05/12,23
2021/05/13,21
2021/05/14,28
2021/05/15,33
2021/05/16,16
2021/05/17,5
2021/05/18,15
2021/05/19,27
2021/05/20,12
2021/05/21,7
2021/05/22,17
2021/05/23,10
2021/05/24,1
2021/05/25,14
2021/05/26,20
2021/05/27,16
2021/05/28,20
2021/05/29,14
2021/05/30,4
2021/05/31,1
2021/06/01,8
2021/06/02,11
2021/06/03,3
2021/06/04,9
2021/06/05,8
2021/06/06,4
2021/06/07,1
2021/06/08,6
2021/06/09,11
2021/06/10,10
2021/06/11,9
2021/06/12,6
2021/06/13,4
2021/06/14,0
2021/06/15,7
2021/06/16,6
2021/06/17,4
2021/06/18,2
2021/06/19,7
2021/06/20,3
2021/06/21,2
2021/06/22,2
2021/06/23,4
2021/06/24,3
2021/06/25,2
2021/06/26,7
2021/06/27,2
2021/06/28,0
2021/06/29,2
2021/06/30,5
2021/07/01,11
2021/07/02,4
2021/07/03,0
2021/07/04,5
2021/07/05,1
2021/07/06,2
2021/07/07,6
2021/07/08,14
2021/07/09,6
2021/07/10,8
2021/07/11,4
2021/07/12,0
2021/07/13,3
2021/07/14,9
2021/07/15,4
2021/07/16,5
2021/07/17,4
2021/07/18,3
2021/07/19,0
2021/07/20,6
2021/07/21,12
2021/07/22,7
2021/07/23,9
2021/07/24,3
2021/07/25,3
2021/07/26,0
2021/07/27,3
2021/07/28,5
2021/07/29,4
2021/07/30,12
2021/07/31,9
2021/08/01,4
2021/08/02,0
2021/08/03,22
2021/08/04,13
2021/08/05,3
2021/08/06,15
2021/08/07,15
2021/08/08,11
2021/08/09,1
2021/08/10,12
2021/08/11,9
2021/08/12,10
2021/08/13,5
2021/08/14,8
2021/08/15,3
2021/08/16,1
2021/08/17,7
2021/08/18,11
2021/08/19,12
2021/08/20,3
2021/08/21,19
2021/08/22,5
2021/08/23,3
2021/08/24,16
2021/08/25,22
2021/08/26,15
2021/08/27,8
2021/08/28,16
2021/08/29,17
2021/08/30,1
2021/08/31,22
2021/09/01,34
2021/09/02,14
2021/09/03,20
2021/09/04,24
2021/09/05,11
2021/09/06,1
2021/09/07,32
2021/09/08,14
2021/09/09,13
2021/09/10,11
2021/09/11,19
2021/09/12,13
2021/09/13,3
2021/09/14,25
2021/09/15,21
2021/09/16,10
2021/09/17,9
2021/09/18,14
2021/09/19,9
2021/09/20,1
2021/09/21,13
2021/09/22,16
2021/09/23,14
2021/09/24,9
2021/09/25,13
2021/09/26,2
2021/09/27,0
2021/09/28,12
2021/09/29,16
2021/09/30,6
2021/10/01,12
2021/10/02,7
2021/10/03,7
2021/10/04,0
2021/10/05,9
2021/10/06,6
2021/10/07,9
2021/10/08,2
2021/10/09,6
2021/10/10,6
2021/10/11,5
2021/10/12,3
2021/10/13,6
2021/10/14,5
2021/10/15,7
2021/10/16,4
2021/10/17,6
2021/10/18,4
2021/10/19,3
2021/10/20,15
2021/10/21,10
2021/10/22,0
2021/10/23,4
2021/10/24,8
2021/10/25,1
2021/10/26,3
2021/10/27,16
2021/10/28,6
2021/10/29,8
2021/10/30,6
2021/10/31,4
2021/11/01,4
2021/11/02,1
2021/11/03,15
2021/11/04,17
2021/11/05,12
2021/11/06,6
2021/11/07,12
2021/11/08,0
2021/11/09,6
2021/11/10,22
2021/11/11,9
2021/11/12,8
2021/11/13,17
2021/11/14,35
2021/11/15,0
2021/11/16,7
2021/11/17,25
2021/11/18,11
2021/11/19,9
2021/11/20,14
2021/11/21,15
2021/11/22,1
2021/11/23,30
2021/11/24,33
2021/11/25,15
2021/11/26,23
2021/11/27,23
2021/11/28,35
2021/11/29,0
2021/11/30,22
2021/12/01,19
2021/12/02,26
2021/12/03,17
2021/12/04,29
2021/12/05,26
2021/12/06,2
2021/12/07,21
2021/12/08,51
2021/12/09,2
2021/12/10,44
2021/12/11,42
2021/12/12,52
2021/12/13,4
2021/12/14,54
2021/12/15,31
2021/12/16,45
2021/12/17,40
2021/12/18,58
2021/12/19,43
2021/12/20,1
2021/12/21,80
2021/12/22,52
2021/12/23,131
2021/12/24,84
2021/12/25,80
2021/12/26,25
2021/12/27,16
2021/12/28,151
2021/12/29,151
2021/12/30,119
2021/12/31,215
2022/01/01,207
2022/01/02,37
2022/01/03,144
2022/01/04,149
2022/01/05,242
2022/01/06,243
2022/01/07,249
2022/01/08,233
2022/01/09,327
2022/01/10,151
2022/01/11,212
2022/01/12,287
2022/01/13,296
2022/01/14,264
2022/01/15,163
2022/01/16,307
2022/01/17,110
2022/01/18,580
2022/01/19,507
2022/01/20,510
2022/01/21,568
2022/01/22,354
2022/01/23,404
2022/01/24,262
2022/01/25,530
2022/01/26,362
2022/01/27,397
2022/01/28,522
2022/01/29,496
2022/01/30,335
2022/01/31,176
2022/02/01,642
2022/02/02,413
2022/02/03,373
2022/02/04,401
2022/02/05,351
2022/02/06,294
2022/02/07,149
2022/02/08,484
2022/02/09,293
2022/02/10,235
2022/02/11,246
2022/02/12,277
2022/02/13,198
2022/02/14,99
2022/02/15,337
2022/02/16,354
2022/02/17,271
2022/02/18,242
2022/02/19,254
2022/02/20,150
2022/02/21,158
2022/02/22,310
2022/02/23,186
2022/02/24,170
2022/02/25,184
2022/02/26,165
2022/02/27,152
2022/02/28,79
2022/03/01,223
2022/03/02,155
2022/03/03,162
2022/03/04,236
2022/03/05,235
2022/03/06,175
2022/03/07,171
2022/03/08,298
2022/03/09,253
2022/03/10,242
2022/03/11,286
2022/03/12,242
2022/03/13,180
2022/03/14,180
2022/03/15,498
2022/03/16,321
2022/03/17,371
2022/03/18,370
2022/03/19,347
2022/03/20,243
2022/03/21,218
2022/03/22,424
2022/03/23,302
2022/03/24,347
2022/03/25,291
2022/03/26,262
2022/03/27,224
2022/03/28,171
2022/03/29,360
2022/03/30,285
2022/03/31,183
2022/04/01,317
2022/04/02,240
2022/04/03,170
2022/04/04,156
2022/04/05,305
2022/04/06,199
2022/04/07,217
2022/04/08,164
2022/04/09,191
2022/04/10,150
2022/04/11,93
2022/04/12,232
2022/04/13,159
2022/04/14,170
2022/04/15,184
2022/04/16,205
2022/04/17,176
2022/04/18,64
2022/04/19,112
2022/04/20,421
2022/04/21,318
2022/04/22,301
2022/04/23,292
2022/04/24,213
2022/04/25,91
2022/04/26,239
2022/04/27,337
2022/04/28,252
2022/04/29,209
2022/04/30,218
2022/05/01,131
2022/05/02,128
2022/05/03,243
2022/05/04,184
2022/05/05,186
2022/05/06,158
2022/05/07,144
2022/05/08,106
2022/05/09,116
2022/05/10,186
2022/05/11,161
2022/05/12,131
2022/05/13,143
2022/05/14,112
2022/05/15,70
2022/05/16,62
2022/05/17,152
2022/05/18,70
2022/05/19,94
2022/05/20,86
2022/05/21,82
2022/05/22,63
2022/05/23,30
2022/05/24,103
2022/05/25,52
2022/05/26,55
2022/05/27,26
2022/05/28,57
2022/05/29,40
2022/05/30,64
2022/05/31,72
2022/06/01,39
2022/06/02,46
2022/06/03,34
2022/06/04,43
2022/06/05,39
2022/06/06,37
2022/06/07,76
2022/06/08,77
2022/06/09,45
2022/06/10,60
2022/06/11,56
2022/06/12,41
2022/06/13,48
2022/06/14,84
2022/06/15,67
2022/06/16,77
2022/06/17,98
2022/06/18,97
2022/06/19,70
2022/06/20,70
2022/06/21,173
2022/06/22,136
2022/06/23,121
2022/06/24,141
2022/06/25,158
2022/06/26,133
2022/06/27,100
2022/06/28,282
2022/06/29,218
2022/06/30,254
2022/07/01,267
2022/07/02,258
2022/07/03,185
2022/07/04,211
2022/07/05,548
2022/07/06,430
2022/07/07,401
2022/07/08,416
2022/07/09,397
2022/07/10,278
2022/07/11,246
2022/07/12,572
2022/07/13,410
2022/07/14,415
2022/07/15,358
2022/07/16,307
2022/07/17,209
2022/07/18,150
2022/07/19,436
2022/07/20,287
2022/07/21,311
2022/07/22,253
2022/07/23,214
2022/07/24,136
2022/07/25,103
2022/07/26,313
2022/07/27,199
2022/07/28,191
2022/07/29,192
2022/07/30,159
2022/07/31,103
2022/08/01,72
2022/08/02,175
2022/08/03,124
2022/08/04,127
2022/08/05,113
2022/08/06,91
2022/08/07,51
2022/08/08,65
2022/08/09,127
2022/08/10,84
2022/08/11,76
2022/08/12,84
2022/08/13,90
2022/08/14,50
2022/08/15,31
2022/08/16,36
2022/08/17,103
2022/08/18,63
2022/08/19,85
2022/08/20,100
2022/08/21,51
2022/08/22,35
2022/08/23,125
2022/08/24,72
2022/08/25,92
2022/08/26,91
2022/08/27,60
2022/08/28,45
2022/08/29,28
2022/08/30,84
2022/08/31,74
2022/09/01,75
2022/09/02,57
2022/09/03,54
2022/09/04,40
2022/09/05,25
2022/09/06,84
2022/09/07,32
2022/09/08,47
2022/09/09,45
2022/09/10,62
2022/09/11,23
2022/09/12,28
2022/09/13,53
2022/09/14,46
2022/09/15,36
2022/09/16,46
2022/09/17,36
2022/09/18,24
2022/09/19,15
2022/09/20,59
2022/09/21,46
2022/09/22,38
2022/09/23,32
2022/09/24,34
2022/09/25,28
2022/09/26,25
2022/09/27,96
2022/09/28,58
2022/09/29,56
2022/09/30,43
2022/10/01,61
2022/10/02,37
2022/10/03,33
