Datas,Oristano
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,0
2020/07/24,0
2020/07/25,0
2020/07/26,0
2020/07/27,0
2020/07/28,0
2020/07/29,0
2020/07/30,0
2020/07/31,0
2020/08/01,0
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,0
2020/08/06,0
2020/08/07,0
2020/08/08,0
2020/08/09,0
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,0
2020/08/14,1
2020/08/15,0
2020/08/16,-1
2020/08/17,0
2020/08/18,0
2020/08/19,0
2020/08/20,0
2020/08/21,0
2020/08/22,0
2020/08/23,0
2020/08/24,0
2020/08/25,0
2020/08/26,1
2020/08/27,2
2020/08/28,0
2020/08/29,1
2020/08/30,0
2020/08/31,1
2020/09/01,1
2020/09/02,9
2020/09/03,3
2020/09/04,9
2020/09/05,14
2020/09/06,1
2020/09/07,16
2020/09/08,1
2020/09/09,0
2020/09/10,2
2020/09/11,21
2020/09/12,7
2020/09/13,0
2020/09/14,20
2020/09/15,1
2020/09/16,5
2020/09/17,11
2020/09/18,8
2020/09/19,7
2020/09/20,29
2020/09/21,0
2020/09/22,7
2020/09/23,4
2020/09/24,22
2020/09/25,3
2020/09/26,5
2020/09/27,29
2020/09/28,0
2020/09/29,14
2020/09/30,0
2020/10/01,6
2020/10/02,3
2020/10/03,6
2020/10/04,5
2020/10/05,0
2020/10/06,7
2020/10/07,4
2020/10/08,11
2020/10/09,11
2020/10/10,22
2020/10/11,9
2020/10/12,0
2020/10/13,11
2020/10/14,0
2020/10/15,17
2020/10/16,6
2020/10/17,19
2020/10/18,32
2020/10/19,2
2020/10/20,21
2020/10/21,21
2020/10/22,39
2020/10/23,38
2020/10/24,28
2020/10/25,19
2020/10/26,3
2020/10/27,11
2020/10/28,33
2020/10/29,33
2020/10/30,44
2020/10/31,70
2020/11/01,15
2020/11/02,3
2020/11/03,0
2020/11/04,34
2020/11/05,68
2020/11/06,65
2020/11/07,27
2020/11/08,9
2020/11/09,0
2020/11/10,38
2020/11/11,32
2020/11/12,0
2020/11/13,76
2020/11/14,19
2020/11/15,43
2020/11/16,0
2020/11/17,17
2020/11/18,0
2020/11/19,68
2020/11/20,36
2020/11/21,70
2020/11/22,102
2020/11/23,0
2020/11/24,17
2020/11/25,16
2020/11/26,24
2020/11/27,72
2020/11/28,33
2020/11/29,33
2020/11/30,10
2020/12/01,10
2020/12/02,26
2020/12/03,26
2020/12/04,100
2020/12/05,12
2020/12/06,14
2020/12/07,15
2020/12/08,5
2020/12/09,10
2020/12/10,15
2020/12/11,35
2020/12/12,34
2020/12/13,20
2020/12/14,2
2020/12/15,19
2020/12/16,37
2020/12/17,20
2020/12/18,0
2020/12/19,41
2020/12/20,19
2020/12/21,3
2020/12/22,23
2020/12/23,28
2020/12/24,0
2020/12/25,101
2020/12/26,0
2020/12/27,0
2020/12/28,0
2020/12/29,13
2020/12/30,19
2020/12/31,62
2021/01/01,60
2021/01/02,2
2021/01/03,9
2021/01/04,0
2021/01/05,25
2021/01/06,15
2021/01/07,45
2021/01/08,20
2021/01/09,24
2021/01/10,40
2021/01/11,24
2021/01/12,28
2021/01/13,10
2021/01/14,42
2021/01/15,12
2021/01/16,11
2021/01/17,23
2021/01/18,35
2021/01/19,6
2021/01/20,34
2021/01/21,7
2021/01/22,23
2021/01/23,17
2021/01/24,10
2021/01/25,36
2021/01/26,7
2021/01/27,26
2021/01/28,11
2021/01/29,27
2021/01/30,19
2021/01/31,28
2021/02/01,26
2021/02/02,17
2021/02/03,16
2021/02/04,49
2021/02/05,34
2021/02/06,15
2021/02/07,34
2021/02/08,7
2021/02/09,5
2021/02/10,30
2021/02/11,11
2021/02/12,4
2021/02/13,6
2021/02/14,3
2021/02/15,7
2021/02/16,6
2021/02/17,6
2021/02/18,10
2021/02/19,2
2021/02/20,4
2021/02/21,3
2021/02/22,1
2021/02/23,2
2021/02/24,13
2021/02/25,1
2021/02/26,7
2021/02/27,2
2021/02/28,2
2021/03/01,0
2021/03/02,4
2021/03/03,3
2021/03/04,5
2021/03/05,3
2021/03/06,1
2021/03/07,1
2021/03/08,3
2021/03/09,5
2021/03/10,3
2021/03/11,3
2021/03/12,1
2021/03/13,3
2021/03/14,4
2021/03/15,2
2021/03/16,5
2021/03/17,7
2021/03/18,2
2021/03/19,4
2021/03/20,14
2021/03/21,17
2021/03/22,1
2021/03/23,16
2021/03/24,8
2021/03/25,27
2021/03/26,11
2021/03/27,23
2021/03/28,35
2021/03/29,3
2021/03/30,29
2021/03/31,60
2021/04/01,13
2021/04/02,127
2021/04/03,28
2021/04/04,32
2021/04/05,59
2021/04/06,0
2021/04/07,38
2021/04/08,45
2021/04/09,21
2021/04/10,43
2021/04/11,46
2021/04/12,60
2021/04/13,27
2021/04/14,36
2021/04/15,0
2021/04/16,24
2021/04/17,28
2021/04/18,68
2021/04/19,40
2021/04/20,15
2021/04/21,40
2021/04/22,27
2021/04/23,0
2021/04/24,71
2021/04/25,47
2021/04/26,3
2021/04/27,22
2021/04/28,27
2021/04/29,29
2021/04/30,27
2021/05/01,10
2021/05/02,12
2021/05/03,0
2021/05/04,17
2021/05/05,31
2021/05/06,29
2021/05/07,42
2021/05/08,35
2021/05/09,7
2021/05/10,3
2021/05/11,22
2021/05/12,5
2021/05/13,6
2021/05/14,18
2021/05/15,18
2021/05/16,11
2021/05/17,-3
2021/05/18,12
2021/05/19,9
2021/05/20,19
2021/05/21,6
2021/05/22,0
2021/05/23,1
2021/05/24,2
2021/05/25,4
2021/05/26,4
2021/05/27,2
2021/05/28,3
2021/05/29,2
2021/05/30,0
2021/05/31,1
2021/06/01,2
2021/06/02,2
2021/06/03,0
2021/06/04,2
2021/06/05,0
2021/06/06,0
2021/06/07,0
2021/06/08,0
2021/06/09,0
2021/06/10,0
2021/06/11,0
2021/06/12,0
2021/06/13,0
2021/06/14,2
2021/06/15,0
2021/06/16,0
2021/06/17,1
2021/06/18,0
2021/06/19,1
2021/06/20,0
2021/06/21,0
2021/06/22,0
2021/06/23,0
2021/06/24,0
2021/06/25,0
2021/06/26,0
2021/06/27,0
2021/06/28,0
2021/06/29,0
2021/06/30,0
2021/07/01,1
2021/07/02,0
2021/07/03,1
2021/07/04,1
2021/07/05,0
2021/07/06,1
2021/07/07,4
2021/07/08,1
2021/07/09,7
2021/07/10,5
2021/07/11,0
2021/07/12,0
2021/07/13,8
2021/07/14,10
2021/07/15,3
2021/07/16,6
2021/07/17,2
2021/07/18,13
2021/07/19,0
2021/07/20,7
2021/07/21,18
2021/07/22,20
2021/07/23,38
2021/07/24,23
2021/07/25,0
2021/07/26,26
2021/07/27,8
2021/07/28,13
2021/07/29,25
2021/07/30,23
2021/07/31,0
2021/08/01,11
2021/08/02,1
2021/08/03,16
2021/08/04,13
2021/08/05,7
2021/08/06,17
2021/08/07,12
2021/08/08,5
2021/08/09,1
2021/08/10,7
2021/08/11,28
2021/08/12,10
2021/08/13,24
2021/08/14,16
2021/08/15,24
2021/08/16,3
2021/08/17,9
2021/08/18,40
2021/08/19,20
2021/08/20,29
2021/08/21,0
2021/08/22,0
2021/08/23,41
2021/08/24,23
2021/08/25,44
2021/08/26,37
2021/08/27,35
2021/08/28,0
2021/08/29,43
2021/08/30,7
2021/08/31,15
2021/09/01,35
2021/09/02,31
2021/09/03,28
2021/09/04,28
2021/09/05,5
2021/09/06,3
2021/09/07,20
2021/09/08,18
2021/09/09,7
2021/09/10,10
2021/09/11,19
2021/09/12,7
2021/09/13,3
2021/09/14,6
2021/09/15,8
2021/09/16,4
2021/09/17,2
2021/09/18,0
2021/09/19,2
2021/09/20,0
2021/09/21,5
2021/09/22,5
2021/09/23,1
2021/09/24,2
2021/09/25,5
2021/09/26,3
2021/09/27,0
2021/09/28,3
2021/09/29,9
2021/09/30,3
2021/10/01,5
2021/10/02,8
2021/10/03,2
2021/10/04,1
2021/10/05,12
2021/10/06,2
2021/10/07,2
2021/10/08,7
2021/10/09,3
2021/10/10,0
2021/10/11,0
2021/10/12,5
2021/10/13,5
2021/10/14,4
2021/10/15,0
2021/10/16,0
2021/10/17,3
2021/10/18,0
2021/10/19,1
2021/10/20,4
2021/10/21,6
2021/10/22,6
2021/10/23,1
2021/10/24,4
2021/10/25,0
2021/10/26,4
2021/10/27,1
2021/10/28,0
2021/10/29,1
2021/10/30,3
2021/10/31,1
2021/11/01,0
2021/11/02,1
2021/11/03,28
2021/11/04,1
2021/11/05,8
2021/11/06,11
2021/11/07,2
2021/11/08,0
2021/11/09,2
2021/11/10,13
2021/11/11,7
2021/11/12,12
2021/11/13,4
2021/11/14,16
2021/11/15,2
2021/11/16,10
2021/11/17,8
2021/11/18,6
2021/11/19,18
2021/11/20,4
2021/11/21,11
2021/11/22,0
2021/11/23,15
2021/11/24,22
2021/11/25,9
2021/11/26,7
2021/11/27,11
2021/11/28,0
2021/11/29,9
2021/11/30,4
2021/12/01,28
2021/12/02,7
2021/12/03,11
2021/12/04,9
2021/12/05,15
2021/12/06,4
2021/12/07,18
2021/12/08,21
2021/12/09,2
2021/12/10,22
2021/12/11,21
2021/12/12,13
2021/12/13,1
2021/12/14,15
2021/12/15,25
2021/12/16,24
2021/12/17,47
2021/12/18,0
2021/12/19,62
2021/12/20,0
2021/12/21,25
2021/12/22,55
2021/12/23,39
2021/12/24,61
2021/12/25,64
2021/12/26,0
2021/12/27,18
2021/12/28,38
2021/12/29,99
2021/12/30,102
2021/12/31,90
2022/01/01,135
2022/01/02,10
2022/01/03,18
2022/01/04,77
2022/01/05,200
2022/01/06,150
2022/01/07,271
2022/01/08,116
2022/01/09,131
2022/01/10,172
2022/01/11,90
2022/01/12,261
2022/01/13,200
2022/01/14,206
2022/01/15,228
2022/01/16,226
2022/01/17,66
2022/01/18,94
2022/01/19,230
2022/01/20,329
2022/01/21,500
2022/01/22,201
2022/01/23,55
2022/01/24,258
2022/01/25,365
2022/01/26,330
2022/01/27,152
2022/01/28,71
2022/01/29,81
2022/01/30,74
2022/01/31,83
2022/02/01,106
2022/02/02,157
2022/02/03,170
2022/02/04,68
2022/02/05,140
2022/02/06,70
2022/02/07,245
2022/02/08,204
2022/02/09,295
2022/02/10,214
2022/02/11,487
2022/02/12,49
2022/02/13,67
2022/02/14,272
2022/02/15,800
2022/02/16,1159
2022/02/17,535
2022/02/18,358
2022/02/19,38
2022/02/20,38
2022/02/21,500
2022/02/22,417
2022/02/23,255
2022/02/24,305
2022/02/25,174
2022/02/26,102
2022/02/27,86
2022/02/28,130
2022/03/01,173
2022/03/02,178
2022/03/03,174
2022/03/04,201
2022/03/05,119
2022/03/06,110
2022/03/07,154
2022/03/08,203
2022/03/09,233
2022/03/10,222
2022/03/11,203
2022/03/12,161
2022/03/13,100
2022/03/14,360
2022/03/15,325
2022/03/16,349
2022/03/17,251
2022/03/18,279
2022/03/19,185
2022/03/20,92
2022/03/21,278
2022/03/22,285
2022/03/23,222
2022/03/24,219
2022/03/25,231
2022/03/26,5
2022/03/27,162
2022/03/28,272
2022/03/29,279
2022/03/30,165
2022/03/31,172
2022/04/01,217
2022/04/02,166
2022/04/03,110
2022/04/04,147
2022/04/05,247
2022/04/06,239
2022/04/07,222
2022/04/08,206
2022/04/09,0
2022/04/10,0
2022/04/11,442
2022/04/12,251
2022/04/13,189
2022/04/14,200
2022/04/15,183
2022/04/16,68
2022/04/17,100
2022/04/18,90
2022/04/19,217
2022/04/20,258
2022/04/21,227
2022/04/22,236
2022/04/23,65
2022/04/24,60
2022/04/25,71
2022/04/26,214
2022/04/27,216
2022/04/28,324
2022/04/29,210
2022/04/30,187
2022/05/01,69
2022/05/02,163
2022/05/03,204
2022/05/04,143
2022/05/05,145
2022/05/06,162
2022/05/07,65
2022/05/08,132
2022/05/09,142
2022/05/10,155
2022/05/11,156
2022/05/12,136
2022/05/13,135
2022/05/14,130
2022/05/15,43
2022/05/16,113
2022/05/17,158
2022/05/18,119
2022/05/19,143
2022/05/20,116
2022/05/21,0
2022/05/22,0
2022/05/23,242
2022/05/24,150
2022/05/25,104
2022/05/26,103
2022/05/27,109
2022/05/28,72
2022/05/29,42
2022/05/30,117
2022/05/31,109
2022/06/01,94
2022/06/02,44
2022/06/03,56
2022/06/04,103
2022/06/05,38
2022/06/06,79
2022/06/07,110
2022/06/08,102
2022/06/09,91
2022/06/10,83
2022/06/11,56
2022/06/12,73
2022/06/13,84
2022/06/14,137
2022/06/15,109
2022/06/16,110
2022/06/17,99
2022/06/18,56
2022/06/19,10
2022/06/20,183
2022/06/21,173
2022/06/22,130
2022/06/23,169
2022/06/24,140
2022/06/25,75
2022/06/26,102
2022/06/27,257
2022/06/28,218
2022/06/29,196
2022/06/30,281
2022/07/01,224
2022/07/02,150
2022/07/03,136
2022/07/04,234
2022/07/05,422
2022/07/06,279
2022/07/07,296
2022/07/08,291
2022/07/09,72
2022/07/10,132
2022/07/11,465
2022/07/12,407
2022/07/13,271
2022/07/14,295
2022/07/15,330
2022/07/16,69
2022/07/17,109
2022/07/18,232
2022/07/19,459
2022/07/20,259
2022/07/21,281
2022/07/22,230
2022/07/23,107
2022/07/24,126
2022/07/25,251
2022/07/26,0
2022/07/27,460
2022/07/28,0
2022/07/29,320
2022/07/30,71
2022/07/31,54
2022/08/01,190
2022/08/02,110
2022/08/03,203
2022/08/04,114
2022/08/05,113
2022/08/06,80
2022/08/07,38
2022/08/08,75
2022/08/09,0
2022/08/10,212
2022/08/11,85
2022/08/12,84
2022/08/13,58
2022/08/14,36
2022/08/15,10
2022/08/16,80
2022/08/17,102
2022/08/18,89
2022/08/19,76
2022/08/20,61
2022/08/21,36
2022/08/22,66
2022/08/23,101
2022/08/24,67
2022/08/25,73
2022/08/26,39
2022/08/27,34
2022/08/28,15
2022/08/29,50
2022/08/30,57
2022/08/31,41
2022/09/01,63
2022/09/02,35
2022/09/03,39
2022/09/04,27
2022/09/05,52
2022/09/06,72
2022/09/07,59
2022/09/08,30
2022/09/09,38
2022/09/10,28
2022/09/11,26
2022/09/12,26
2022/09/13,59
2022/09/14,41
2022/09/15,41
2022/09/16,55
2022/09/17,27
2022/09/18,17
2022/09/19,41
2022/09/20,80
2022/09/21,62
2022/09/22,55
2022/09/23,37
2022/09/24,41
2022/09/25,14
2022/09/26,55
2022/09/27,84
2022/09/28,70
2022/09/29,62
2022/09/30,53
2022/10/01,47
2022/10/02,31
2022/10/03,40
