Datas,Caltanissetta
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,0
2020/07/24,0
2020/07/25,1
2020/07/26,1
2020/07/27,0
2020/07/28,0
2020/07/29,0
2020/07/30,0
2020/07/31,0
2020/08/01,1
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,2
2020/08/06,4
2020/08/07,1
2020/08/08,2
2020/08/09,0
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,3
2020/08/14,1
2020/08/15,6
2020/08/16,0
2020/08/17,0
2020/08/18,1
2020/08/19,0
2020/08/20,0
2020/08/21,8
2020/08/22,4
2020/08/23,0
2020/08/24,0
2020/08/25,1
2020/08/26,0
2020/08/27,0
2020/08/28,4
2020/08/29,0
2020/08/30,0
2020/08/31,2
2020/09/01,1
2020/09/02,0
2020/09/03,2
2020/09/04,0
2020/09/05,2
2020/09/06,0
2020/09/07,0
2020/09/08,0
2020/09/09,2
2020/09/10,2
2020/09/11,0
2020/09/12,3
2020/09/13,0
2020/09/14,0
2020/09/15,0
2020/09/16,1
2020/09/17,0
2020/09/18,2
2020/09/19,0
2020/09/20,2
2020/09/21,13
2020/09/22,1
2020/09/23,3
2020/09/24,5
2020/09/25,2
2020/09/26,3
2020/09/27,6
2020/09/28,11
2020/09/29,4
2020/09/30,17
2020/10/01,2
2020/10/02,10
2020/10/03,26
2020/10/04,3
2020/10/05,5
2020/10/06,15
2020/10/07,13
2020/10/08,4
2020/10/09,4
2020/10/10,12
2020/10/11,18
2020/10/12,8
2020/10/13,9
2020/10/14,20
2020/10/15,21
2020/10/16,26
2020/10/17,18
2020/10/18,16
2020/10/19,27
2020/10/20,16
2020/10/21,19
2020/10/22,28
2020/10/23,26
2020/10/24,7
2020/10/25,46
2020/10/26,9
2020/10/27,45
2020/10/28,9
2020/10/29,30
2020/10/30,26
2020/10/31,54
2020/11/01,45
2020/11/02,19
2020/11/03,96
2020/11/04,27
2020/11/05,23
2020/11/06,47
2020/11/07,53
2020/11/08,92
2020/11/09,0
2020/11/10,102
2020/11/11,60
2020/11/12,63
2020/11/13,87
2020/11/14,92
2020/11/15,60
2020/11/16,79
2020/11/17,67
2020/11/18,72
2020/11/19,74
2020/11/20,63
2020/11/21,70
2020/11/22,102
2020/11/23,44
2020/11/24,63
2020/11/25,43
2020/11/26,80
2020/11/27,52
2020/11/28,25
2020/11/29,25
2020/11/30,43
2020/12/01,78
2020/12/02,52
2020/12/03,45
2020/12/04,87
2020/12/05,50
2020/12/06,29
2020/12/07,13
2020/12/08,49
2020/12/09,37
2020/12/10,25
2020/12/11,21
2020/12/12,22
2020/12/13,33
2020/12/14,27
2020/12/15,21
2020/12/16,30
2020/12/17,23
2020/12/18,15
2020/12/19,16
2020/12/20,85
2020/12/21,52
2020/12/22,48
2020/12/23,66
2020/12/24,27
2020/12/25,56
2020/12/26,4
2020/12/27,10
2020/12/28,89
2020/12/29,57
2020/12/30,57
2020/12/31,87
2021/01/01,55
2021/01/02,3
2021/01/03,87
2021/01/04,56
2021/01/05,132
2021/01/06,91
2021/01/07,89
2021/01/08,81
2021/01/09,92
2021/01/10,79
2021/01/11,75
2021/01/12,123
2021/01/13,71
2021/01/14,98
2021/01/15,87
2021/01/16,120
2021/01/17,59
2021/01/18,61
2021/01/19,62
2021/01/20,87
2021/01/21,104
2021/01/22,51
2021/01/23,42
2021/01/24,65
2021/01/25,74
2021/01/26,36
2021/01/27,52
2021/01/28,54
2021/01/29,53
2021/01/30,30
2021/01/31,46
2021/02/01,35
2021/02/02,34
2021/02/03,63
2021/02/04,36
2021/02/05,20
2021/02/06,60
2021/02/07,14
2021/02/08,18
2021/02/09,19
2021/02/10,22
2021/02/11,33
2021/02/12,15
2021/02/13,29
2021/02/14,19
2021/02/15,19
2021/02/16,12
2021/02/17,31
2021/02/18,29
2021/02/19,35
2021/02/20,15
2021/02/21,48
2021/02/22,15
2021/02/23,5
2021/02/24,58
2021/02/25,27
2021/02/26,17
2021/02/27,38
2021/02/28,38
2021/03/01,17
2021/03/02,14
2021/03/03,22
2021/03/04,38
2021/03/05,14
2021/03/06,36
2021/03/07,52
2021/03/08,19
2021/03/09,25
2021/03/10,20
2021/03/11,51
2021/03/12,34
2021/03/13,37
2021/03/14,51
2021/03/15,46
2021/03/16,36
2021/03/17,35
2021/03/18,45
2021/03/19,75
2021/03/20,72
2021/03/21,70
2021/03/22,30
2021/03/23,30
2021/03/24,71
2021/03/25,45
2021/03/26,61
2021/03/27,78
2021/03/28,45
2021/03/29,48
2021/03/30,0
2021/03/31,130
2021/04/01,93
2021/04/02,109
2021/04/03,76
2021/04/04,69
2021/04/05,53
2021/04/06,43
2021/04/07,73
2021/04/08,133
2021/04/09,110
2021/04/10,80
2021/04/11,49
2021/04/12,53
2021/04/13,81
2021/04/14,79
2021/04/15,87
2021/04/16,65
2021/04/17,53
2021/04/18,69
2021/04/19,96
2021/04/20,64
2021/04/21,110
2021/04/22,106
2021/04/23,76
2021/04/24,75
2021/04/25,65
2021/04/26,33
2021/04/27,52
2021/04/28,68
2021/04/29,73
2021/04/30,24
2021/05/01,51
2021/05/02,39
2021/05/03,31
2021/05/04,18
2021/05/05,79
2021/05/06,162
2021/05/07,35
2021/05/08,65
2021/05/09,59
2021/05/10,28
2021/05/11,47
2021/05/12,46
2021/05/13,17
2021/05/14,43
2021/05/15,16
2021/05/16,16
2021/05/17,9
2021/05/18,6
2021/05/19,19
2021/05/20,10
2021/05/21,12
2021/05/22,12
2021/05/23,17
2021/05/24,16
2021/05/25,5
2021/05/26,8
2021/05/27,18
2021/05/28,11
2021/05/29,7
2021/05/30,12
2021/05/31,2
2021/06/01,3
2021/06/02,8
2021/06/03,5
2021/06/04,7
2021/06/05,2
2021/06/06,6
2021/06/07,17
2021/06/08,20
2021/06/09,8
2021/06/10,15
2021/06/11,7
2021/06/12,28
2021/06/13,15
2021/06/14,12
2021/06/15,24
2021/06/16,26
2021/06/17,21
2021/06/18,31
2021/06/19,27
2021/06/20,24
2021/06/21,9
2021/06/22,12
2021/06/23,21
2021/06/24,9
2021/06/25,4
2021/06/26,21
2021/06/27,29
2021/06/28,11
2021/06/29,10
2021/06/30,25
2021/07/01,32
2021/07/02,15
2021/07/03,40
2021/07/04,14
2021/07/05,22
2021/07/06,46
2021/07/07,23
2021/07/08,38
2021/07/09,77
2021/07/10,54
2021/07/11,46
2021/07/12,36
2021/07/13,36
2021/07/14,68
2021/07/15,74
2021/07/16,78
2021/07/17,38
2021/07/18,76
2021/07/19,130
2021/07/20,86
2021/07/21,103
2021/07/22,81
2021/07/23,101
2021/07/24,97
2021/07/25,115
2021/07/26,142
2021/07/27,56
2021/07/28,104
2021/07/29,58
2021/07/30,88
2021/07/31,61
2021/08/01,58
2021/08/02,72
2021/08/03,63
2021/08/04,79
2021/08/05,77
2021/08/06,54
2021/08/07,121
2021/08/08,72
2021/08/09,106
2021/08/10,117
2021/08/11,94
2021/08/12,82
2021/08/13,82
2021/08/14,83
2021/08/15,115
2021/08/16,4
2021/08/17,82
2021/08/18,139
2021/08/19,104
2021/08/20,135
2021/08/21,105
2021/08/22,86
2021/08/23,103
2021/08/24,141
2021/08/25,92
2021/08/26,96
2021/08/27,94
2021/08/28,105
2021/08/29,73
2021/08/30,133
2021/08/31,75
2021/09/01,55
2021/09/02,91
2021/09/03,32
2021/09/04,65
2021/09/05,88
2021/09/06,46
2021/09/07,29
2021/09/08,47
2021/09/09,1
2021/09/10,1
2021/09/11,36
2021/09/12,22
2021/09/13,53
2021/09/14,8
2021/09/15,30
2021/09/16,23
2021/09/17,23
2021/09/18,48
2021/09/19,23
2021/09/20,21
2021/09/21,18
2021/09/22,11
2021/09/23,28
2021/09/24,17
2021/09/25,10
2021/09/26,17
2021/09/27,14
2021/09/28,5
2021/09/29,14
2021/09/30,9
2021/10/01,19
2021/10/02,13
2021/10/03,21
2021/10/04,7
2021/10/05,3
2021/10/06,19
2021/10/07,15
2021/10/08,18
2021/10/09,13
2021/10/10,8
2021/10/11,23
2021/10/12,5
2021/10/13,12
2021/10/14,15
2021/10/15,9
2021/10/16,11
2021/10/17,12
2021/10/18,11
2021/10/19,10
2021/10/20,21
2021/10/21,6
2021/10/22,12
2021/10/23,9
2021/10/24,11
2021/10/25,7
2021/10/26,12
2021/10/27,25
2021/10/28,18
2021/10/29,18
2021/10/30,8
2021/10/31,7
2021/11/01,26
2021/11/02,5
2021/11/03,29
2021/11/04,10
2021/11/05,29
2021/11/06,18
2021/11/07,18
2021/11/08,9
2021/11/09,17
2021/11/10,33
2021/11/11,20
2021/11/12,15
2021/11/13,21
2021/11/14,31
2021/11/15,5
2021/11/16,24
2021/11/17,28
2021/11/18,11
2021/11/19,45
2021/11/20,39
2021/11/21,27
2021/11/22,12
2021/11/23,40
2021/11/24,36
2021/11/25,37
2021/11/26,55
2021/11/27,20
2021/11/28,27
2021/11/29,16
2021/11/30,32
2021/12/01,37
2021/12/02,47
2021/12/03,50
2021/12/04,46
2021/12/05,87
2021/12/06,50
2021/12/07,76
2021/12/08,62
2021/12/09,54
2021/12/10,79
2021/12/11,98
2021/12/12,65
2021/12/13,25
2021/12/14,49
2021/12/15,109
2021/12/16,128
2021/12/17,104
2021/12/18,115
2021/12/19,107
2021/12/20,72
2021/12/21,139
2021/12/22,152
2021/12/23,176
2021/12/24,142
2021/12/25,61
2021/12/26,43
2021/12/27,96
2021/12/28,183
2021/12/29,217
2021/12/30,273
2021/12/31,297
2022/01/01,525
2022/01/02,177
2022/01/03,275
2022/01/04,415
2022/01/05,746
2022/01/06,1149
2022/01/07,849
2022/01/08,698
2022/01/09,1345
2022/01/10,353
2022/01/11,1093
2022/01/12,952
2022/01/13,797
2022/01/14,699
2022/01/15,623
2022/01/16,510
2022/01/17,201
2022/01/18,735
2022/01/19,590
2022/01/20,541
2022/01/21,628
2022/01/22,489
2022/01/23,362
2022/01/24,258
2022/01/25,569
2022/01/26,536
2022/01/27,526
2022/01/28,588
2022/01/29,577
2022/01/30,329
2022/01/31,248
2022/02/01,650
2022/02/02,615
2022/02/03,438
2022/02/04,490
2022/02/05,555
2022/02/06,399
2022/02/07,245
2022/02/08,458
2022/02/09,519
2022/02/10,473
2022/02/11,304
2022/02/12,357
2022/02/13,206
2022/02/14,160
2022/02/15,466
2022/02/16,365
2022/02/17,323
2022/02/18,295
2022/02/19,304
2022/02/20,213
2022/02/21,89
2022/02/22,372
2022/02/23,232
2022/02/24,324
2022/02/25,219
2022/02/26,203
2022/02/27,191
2022/02/28,85
2022/03/01,247
2022/03/02,215
2022/03/03,256
2022/03/04,106
2022/03/05,274
2022/03/06,219
2022/03/07,140
2022/03/08,399
2022/03/09,318
2022/03/10,326
2022/03/11,321
2022/03/12,320
2022/03/13,265
2022/03/14,190
2022/03/15,452
2022/03/16,572
2022/03/17,504
2022/03/18,541
2022/03/19,492
2022/03/20,324
2022/03/21,171
2022/03/22,529
2022/03/23,363
2022/03/24,375
2022/03/25,300
2022/03/26,378
2022/03/27,307
2022/03/28,36
2022/03/29,539
2022/03/30,400
2022/03/31,220
2022/04/01,508
2022/04/02,308
2022/04/03,206
2022/04/04,112
2022/04/05,325
2022/04/06,262
2022/04/07,232
2022/04/08,245
2022/04/09,232
2022/04/10,164
2022/04/11,103
2022/04/12,284
2022/04/13,199
2022/04/14,193
2022/04/15,171
2022/04/16,168
2022/04/17,144
2022/04/18,126
2022/04/19,91
2022/04/20,333
2022/04/21,238
2022/04/22,248
2022/04/23,291
2022/04/24,214
2022/04/25,101
2022/04/26,88
2022/04/27,391
2022/04/28,242
2022/04/29,217
2022/04/30,193
2022/05/01,160
2022/05/02,90
2022/05/03,292
2022/05/04,202
2022/05/05,200
2022/05/06,187
2022/05/07,199
2022/05/08,146
2022/05/09,91
2022/05/10,261
2022/05/11,216
2022/05/12,121
2022/05/13,207
2022/05/14,157
2022/05/15,111
2022/05/16,68
2022/05/17,224
2022/05/18,171
2022/05/19,169
2022/05/20,130
2022/05/21,144
2022/05/22,101
2022/05/23,74
2022/05/24,201
2022/05/25,126
2022/05/26,168
2022/05/27,118
2022/05/28,116
2022/05/29,87
2022/05/30,43
2022/05/31,163
2022/06/01,89
2022/06/02,114
2022/06/03,50
2022/06/04,100
2022/06/05,66
2022/06/06,39
2022/06/07,152
2022/06/08,102
2022/06/09,101
2022/06/10,132
2022/06/11,116
2022/06/12,102
2022/06/13,47
2022/06/14,199
2022/06/15,127
2022/06/16,117
2022/06/17,116
2022/06/18,5
2022/06/19,153
2022/06/20,52
2022/06/21,208
2022/06/22,131
2022/06/23,155
2022/06/24,168
2022/06/25,137
2022/06/26,111
2022/06/27,74
2022/06/28,294
2022/06/29,233
2022/06/30,272
2022/07/01,272
2022/07/02,307
2022/07/03,240
2022/07/04,184
2022/07/05,600
2022/07/06,412
2022/07/07,470
2022/07/08,393
2022/07/09,431
2022/07/10,321
2022/07/11,178
2022/07/12,625
2022/07/13,475
2022/07/14,426
2022/07/15,410
2022/07/16,401
2022/07/17,262
2022/07/18,123
2022/07/19,514
2022/07/20,285
2022/07/21,333
2022/07/22,268
2022/07/23,301
2022/07/24,178
2022/07/25,63
2022/07/26,374
2022/07/27,223
2022/07/28,174
2022/07/29,181
2022/07/30,165
2022/07/31,82
2022/08/01,68
2022/08/02,268
2022/08/03,121
2022/08/04,158
2022/08/05,134
2022/08/06,147
2022/08/07,80
2022/08/08,31
2022/08/09,175
2022/08/10,95
2022/08/11,98
2022/08/12,92
2022/08/13,94
2022/08/14,84
2022/08/15,45
2022/08/16,57
2022/08/17,175
2022/08/18,103
2022/08/19,105
2022/08/20,109
2022/08/21,96
2022/08/22,40
2022/08/23,154
2022/08/24,101
2022/08/25,86
2022/08/26,85
2022/08/27,96
2022/08/28,60
2022/08/29,36
2022/08/30,124
2022/08/31,82
2022/09/01,59
2022/09/02,48
2022/09/03,36
2022/09/04,35
2022/09/05,21
2022/09/06,100
2022/09/07,42
2022/09/08,48
2022/09/09,37
2022/09/10,52
2022/09/11,14
2022/09/12,12
2022/09/13,59
2022/09/14,24
2022/09/15,41
2022/09/16,20
2022/09/17,21
2022/09/18,26
2022/09/19,13
2022/09/20,61
2022/09/21,32
2022/09/22,30
2022/09/23,40
2022/09/24,30
2022/09/25,23
2022/09/26,7
2022/09/27,64
2022/09/28,64
2022/09/29,36
2022/09/30,31
2022/10/01,36
2022/10/02,30
2022/10/03,10
