Datas,Nuoro
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,1
2020/07/23,1
2020/07/24,2
2020/07/25,0
2020/07/26,0
2020/07/27,0
2020/07/28,0
2020/07/29,1
2020/07/30,0
2020/07/31,0
2020/08/01,0
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,1
2020/08/06,0
2020/08/07,0
2020/08/08,0
2020/08/09,0
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,1
2020/08/14,0
2020/08/15,0
2020/08/16,0
2020/08/17,1
2020/08/18,1
2020/08/19,13
2020/08/20,0
2020/08/21,0
2020/08/22,3
2020/08/23,5
2020/08/24,0
2020/08/25,5
2020/08/26,1
2020/08/27,6
2020/08/28,2
2020/08/29,0
2020/08/30,3
2020/08/31,20
2020/09/01,15
2020/09/02,5
2020/09/03,11
2020/09/04,5
2020/09/05,2
2020/09/06,2
2020/09/07,14
2020/09/08,6
2020/09/09,10
2020/09/10,13
2020/09/11,9
2020/09/12,5
2020/09/13,8
2020/09/14,4
2020/09/15,8
2020/09/16,7
2020/09/17,12
2020/09/18,8
2020/09/19,12
2020/09/20,9
2020/09/21,28
2020/09/22,22
2020/09/23,14
2020/09/24,17
2020/09/25,11
2020/09/26,19
2020/09/27,33
2020/09/28,17
2020/09/29,12
2020/09/30,18
2020/10/01,30
2020/10/02,16
2020/10/03,22
2020/10/04,36
2020/10/05,43
2020/10/06,18
2020/10/07,10
2020/10/08,1
2020/10/09,26
2020/10/10,0
2020/10/11,0
2020/10/12,49
2020/10/13,36
2020/10/14,33
2020/10/15,33
2020/10/16,36
2020/10/17,4
2020/10/18,15
2020/10/19,23
2020/10/20,22
2020/10/21,23
2020/10/22,19
2020/10/23,45
2020/10/24,56
2020/10/25,4
2020/10/26,32
2020/10/27,0
2020/10/28,14
2020/10/29,0
2020/10/30,61
2020/10/31,3
2020/11/01,41
2020/11/02,49
2020/11/03,36
2020/11/04,23
2020/11/05,34
2020/11/06,43
2020/11/07,17
2020/11/08,14
2020/11/09,35
2020/11/10,154
2020/11/11,88
2020/11/12,13
2020/11/13,167
2020/11/14,131
2020/11/15,145
2020/11/16,149
2020/11/17,150
2020/11/18,178
2020/11/19,136
2020/11/20,182
2020/11/21,109
2020/11/22,23
2020/11/23,158
2020/11/24,62
2020/11/25,123
2020/11/26,153
2020/11/27,91
2020/11/28,10
2020/11/29,130
2020/11/30,101
2020/12/01,77
2020/12/02,95
2020/12/03,112
2020/12/04,156
2020/12/05,140
2020/12/06,1
2020/12/07,76
2020/12/08,3
2020/12/09,78
2020/12/10,2
2020/12/11,10
2020/12/12,7
2020/12/13,491
2020/12/14,20
2020/12/15,48
2020/12/16,144
2020/12/17,76
2020/12/18,62
2020/12/19,105
2020/12/20,49
2020/12/21,36
2020/12/22,48
2020/12/23,15
2020/12/24,103
2020/12/25,35
2020/12/26,53
2020/12/27,15
2020/12/28,31
2020/12/29,0
2020/12/30,94
2020/12/31,62
2021/01/01,80
2021/01/02,35
2021/01/03,56
2021/01/04,22
2021/01/05,46
2021/01/06,126
2021/01/07,75
2021/01/08,97
2021/01/09,106
2021/01/10,34
2021/01/11,35
2021/01/12,58
2021/01/13,52
2021/01/14,77
2021/01/15,53
2021/01/16,11
2021/01/17,65
2021/01/18,3
2021/01/19,17
2021/01/20,39
2021/01/21,47
2021/01/22,29
2021/01/23,44
2021/01/24,33
2021/01/25,46
2021/01/26,38
2021/01/27,48
2021/01/28,44
2021/01/29,44
2021/01/30,41
2021/01/31,6
2021/02/01,43
2021/02/02,3
2021/02/03,35
2021/02/04,30
2021/02/05,36
2021/02/06,16
2021/02/07,37
2021/02/08,13
2021/02/09,26
2021/02/10,17
2021/02/11,6
2021/02/12,14
2021/02/13,7
2021/02/14,7
2021/02/15,19
2021/02/16,24
2021/02/17,47
2021/02/18,11
2021/02/19,2
2021/02/20,5
2021/02/21,0
2021/02/22,9
2021/02/23,5
2021/02/24,17
2021/02/25,12
2021/02/26,13
2021/02/27,7
2021/02/28,12
2021/03/01,4
2021/03/02,21
2021/03/03,13
2021/03/04,8
2021/03/05,6
2021/03/06,13
2021/03/07,1
2021/03/08,6
2021/03/09,18
2021/03/10,11
2021/03/11,19
2021/03/12,26
2021/03/13,24
2021/03/14,18
2021/03/15,7
2021/03/16,27
2021/03/17,22
2021/03/18,12
2021/03/19,37
2021/03/20,0
2021/03/21,20
2021/03/22,20
2021/03/23,34
2021/03/24,40
2021/03/25,34
2021/03/26,34
2021/03/27,85
2021/03/28,28
2021/03/29,13
2021/03/30,60
2021/03/31,132
2021/04/01,80
2021/04/02,85
2021/04/03,61
2021/04/04,81
2021/04/05,35
2021/04/06,12
2021/04/07,48
2021/04/08,83
2021/04/09,104
2021/04/10,87
2021/04/11,106
2021/04/12,23
2021/04/13,61
2021/04/14,116
2021/04/15,56
2021/04/16,55
2021/04/17,86
2021/04/18,36
2021/04/19,13
2021/04/20,48
2021/04/21,50
2021/04/22,47
2021/04/23,52
2021/04/24,59
2021/04/25,2
2021/04/26,43
2021/04/27,18
2021/04/28,28
2021/04/29,36
2021/04/30,9
2021/05/01,54
2021/05/02,6
2021/05/03,11
2021/05/04,15
2021/05/05,12
2021/05/06,5
2021/05/07,13
2021/05/08,27
2021/05/09,4
2021/05/10,4
2021/05/11,7
2021/05/12,11
2021/05/13,16
2021/05/14,9
2021/05/15,0
2021/05/16,3
2021/05/17,9
2021/05/18,7
2021/05/19,8
2021/05/20,0
2021/05/21,0
2021/05/22,2
2021/05/23,0
2021/05/24,2
2021/05/25,8
2021/05/26,7
2021/05/27,2
2021/05/28,9
2021/05/29,5
2021/05/30,8
2021/05/31,0
2021/06/01,5
2021/06/02,5
2021/06/03,20
2021/06/04,7
2021/06/05,11
2021/06/06,17
2021/06/07,2
2021/06/08,2
2021/06/09,5
2021/06/10,3
2021/06/11,10
2021/06/12,3
2021/06/13,1
2021/06/14,1
2021/06/15,6
2021/06/16,3
2021/06/17,0
2021/06/18,1
2021/06/19,1
2021/06/20,0
2021/06/21,0
2021/06/22,2
2021/06/23,2
2021/06/24,0
2021/06/25,0
2021/06/26,1
2021/06/27,0
2021/06/28,0
2021/06/29,0
2021/06/30,0
2021/07/01,0
2021/07/02,0
2021/07/03,0
2021/07/04,0
2021/07/05,0
2021/07/06,0
2021/07/07,0
2021/07/08,1
2021/07/09,0
2021/07/10,1
2021/07/11,0
2021/07/12,1
2021/07/13,7
2021/07/14,0
2021/07/15,1
2021/07/16,4
2021/07/17,3
2021/07/18,2
2021/07/19,1
2021/07/20,4
2021/07/21,3
2021/07/22,7
2021/07/23,16
2021/07/24,7
2021/07/25,12
2021/07/26,27
2021/07/27,11
2021/07/28,3
2021/07/29,10
2021/07/30,16
2021/07/31,17
2021/08/01,3
2021/08/02,14
2021/08/03,22
2021/08/04,10
2021/08/05,3
2021/08/06,34
2021/08/07,39
2021/08/08,1
2021/08/09,24
2021/08/10,9
2021/08/11,32
2021/08/12,15
2021/08/13,12
2021/08/14,6
2021/08/15,7
2021/08/16,5
2021/08/17,5
2021/08/18,76
2021/08/19,23
2021/08/20,26
2021/08/21,0
2021/08/22,8
2021/08/23,56
2021/08/24,11
2021/08/25,27
2021/08/26,24
2021/08/27,4
2021/08/28,0
2021/08/29,1
2021/08/30,37
2021/08/31,1
2021/09/01,25
2021/09/02,18
2021/09/03,12
2021/09/04,33
2021/09/05,2
2021/09/06,24
2021/09/07,10
2021/09/08,21
2021/09/09,40
2021/09/10,25
2021/09/11,10
2021/09/12,5
2021/09/13,8
2021/09/14,10
2021/09/15,19
2021/09/16,13
2021/09/17,7
2021/09/18,2
2021/09/19,7
2021/09/20,16
2021/09/21,6
2021/09/22,2
2021/09/23,2
2021/09/24,16
2021/09/25,10
2021/09/26,0
2021/09/27,3
2021/09/28,1
2021/09/29,8
2021/09/30,12
2021/10/01,27
2021/10/02,3
2021/10/03,0
2021/10/04,3
2021/10/05,11
2021/10/06,1
2021/10/07,6
2021/10/08,2
2021/10/09,0
2021/10/10,0
2021/10/11,3
2021/10/12,3
2021/10/13,8
2021/10/14,7
2021/10/15,4
2021/10/16,5
2021/10/17,0
2021/10/18,0
2021/10/19,5
2021/10/20,2
2021/10/21,6
2021/10/22,1
2021/10/23,2
2021/10/24,0
2021/10/25,4
2021/10/26,4
2021/10/27,8
2021/10/28,18
2021/10/29,15
2021/10/30,0
2021/10/31,9
2021/11/01,3
2021/11/02,23
2021/11/03,3
2021/11/04,10
2021/11/05,26
2021/11/06,9
2021/11/07,6
2021/11/08,16
2021/11/09,9
2021/11/10,10
2021/11/11,13
2021/11/12,12
2021/11/13,1
2021/11/14,6
2021/11/15,18
2021/11/16,14
2021/11/17,14
2021/11/18,8
2021/11/19,34
2021/11/20,15
2021/11/21,5
2021/11/22,18
2021/11/23,12
2021/11/24,46
2021/11/25,42
2021/11/26,31
2021/11/27,30
2021/11/28,1
2021/11/29,42
2021/11/30,28
2021/12/01,26
2021/12/02,31
2021/12/03,41
2021/12/04,0
2021/12/05,23
2021/12/06,33
2021/12/07,1
2021/12/08,30
2021/12/09,55
2021/12/10,49
2021/12/11,9
2021/12/12,5
2021/12/13,78
2021/12/14,27
2021/12/15,37
2021/12/16,33
2021/12/17,44
2021/12/18,2
2021/12/19,0
2021/12/20,90
2021/12/21,41
2021/12/22,27
2021/12/23,68
2021/12/24,54
2021/12/25,3
2021/12/26,5
2021/12/27,212
2021/12/28,3
2021/12/29,5
2021/12/30,22
2021/12/31,331
2022/01/01,157
2022/01/02,14
2022/01/03,28
2022/01/04,537
2022/01/05,381
2022/01/06,32
2022/01/07,389
2022/01/08,37
2022/01/09,52
2022/01/10,915
2022/01/11,412
2022/01/12,137
2022/01/13,200
2022/01/14,181
2022/01/15,362
2022/01/16,291
2022/01/17,250
2022/01/18,0
2022/01/19,832
2022/01/20,314
2022/01/21,246
2022/01/22,335
2022/01/23,234
2022/01/24,323
2022/01/25,525
2022/01/26,384
2022/01/27,371
2022/01/28,392
2022/01/29,327
2022/01/30,388
2022/01/31,30
2022/02/01,298
2022/02/02,325
2022/02/03,242
2022/02/04,258
2022/02/05,244
2022/02/06,297
2022/02/07,68
2022/02/08,333
2022/02/09,249
2022/02/10,259
2022/02/11,170
2022/02/12,172
2022/02/13,339
2022/02/14,37
2022/02/15,157
2022/02/16,276
2022/02/17,117
2022/02/18,166
2022/02/19,146
2022/02/20,99
2022/02/21,63
2022/02/22,178
2022/02/23,154
2022/02/24,74
2022/02/25,120
2022/02/26,65
2022/02/27,21
2022/02/28,32
2022/03/01,105
2022/03/02,92
2022/03/03,68
2022/03/04,85
2022/03/05,69
2022/03/06,65
2022/03/07,15
2022/03/08,109
2022/03/09,130
2022/03/10,64
2022/03/11,102
2022/03/12,90
2022/03/13,61
2022/03/14,34
2022/03/15,133
2022/03/16,233
2022/03/17,161
2022/03/18,197
2022/03/19,168
2022/03/20,109
2022/03/21,46
2022/03/22,445
2022/03/23,328
2022/03/24,312
2022/03/25,333
2022/03/26,340
2022/03/27,177
2022/03/28,71
2022/03/29,463
2022/03/30,342
2022/03/31,219
2022/04/01,315
2022/04/02,239
2022/04/03,107
2022/04/04,60
2022/04/05,374
2022/04/06,329
2022/04/07,237
2022/04/08,290
2022/04/09,248
2022/04/10,141
2022/04/11,57
2022/04/12,332
2022/04/13,307
2022/04/14,197
2022/04/15,317
2022/04/16,220
2022/04/17,0
2022/04/18,0
2022/04/19,238
2022/04/20,218
2022/04/21,523
2022/04/22,295
2022/04/23,240
2022/04/24,192
2022/04/25,3
2022/04/26,109
2022/04/27,384
2022/04/28,209
2022/04/29,236
2022/04/30,194
2022/05/01,1
2022/05/02,153
2022/05/03,303
2022/05/04,235
2022/05/05,188
2022/05/06,162
2022/05/07,176
2022/05/08,103
2022/05/09,1
2022/05/10,107
2022/05/11,441
2022/05/12,169
2022/05/13,174
2022/05/14,101
2022/05/15,99
2022/05/16,83
2022/05/17,223
2022/05/18,155
2022/05/19,116
2022/05/20,123
2022/05/21,124
2022/05/22,49
2022/05/23,16
2022/05/24,148
2022/05/25,116
2022/05/26,101
2022/05/27,110
2022/05/28,92
2022/05/29,54
2022/05/30,17
2022/05/31,111
2022/06/01,97
2022/06/02,23
2022/06/03,79
2022/06/04,55
2022/06/05,66
2022/06/06,77
2022/06/07,95
2022/06/08,89
2022/06/09,54
2022/06/10,70
2022/06/11,59
2022/06/12,45
2022/06/13,16
2022/06/14,136
2022/06/15,107
2022/06/16,122
2022/06/17,99
2022/06/18,122
2022/06/19,68
2022/06/20,15
2022/06/21,172
2022/06/22,138
2022/06/23,149
2022/06/24,148
2022/06/25,167
2022/06/26,79
2022/06/27,28
2022/06/28,282
2022/06/29,239
2022/06/30,257
2022/07/01,223
2022/07/02,219
2022/07/03,131
2022/07/04,63
2022/07/05,514
2022/07/06,425
2022/07/07,343
2022/07/08,303
2022/07/09,344
2022/07/10,166
2022/07/11,72
2022/07/12,549
2022/07/13,467
2022/07/14,475
2022/07/15,328
2022/07/16,371
2022/07/17,171
2022/07/18,56
2022/07/19,406
2022/07/20,399
2022/07/21,275
2022/07/22,223
2022/07/23,241
2022/07/24,124
2022/07/25,47
2022/07/26,362
2022/07/27,243
2022/07/28,207
2022/07/29,170
2022/07/30,181
2022/07/31,1
2022/08/01,138
2022/08/02,285
2022/08/03,168
2022/08/04,180
2022/08/05,43
2022/08/06,141
2022/08/07,0
2022/08/08,185
2022/08/09,229
2022/08/10,123
2022/08/11,115
2022/08/12,91
2022/08/13,96
2022/08/14,0
2022/08/15,0
2022/08/16,0
2022/08/17,172
2022/08/18,103
2022/08/19,102
2022/08/20,88
2022/08/21,0
2022/08/22,66
2022/08/23,178
2022/08/24,80
2022/08/25,89
2022/08/26,85
2022/08/27,67
2022/08/28,0
2022/08/29,47
2022/08/30,120
2022/08/31,78
2022/09/01,69
2022/09/02,50
2022/09/03,19
2022/09/04,1
2022/09/05,104
2022/09/06,78
2022/09/07,74
2022/09/08,64
2022/09/09,62
2022/09/10,15
2022/09/11,0
2022/09/12,63
2022/09/13,117
2022/09/14,54
2022/09/15,40
2022/09/16,45
2022/09/17,9
2022/09/18,0
2022/09/19,61
2022/09/20,82
2022/09/21,52
2022/09/22,64
2022/09/23,56
2022/09/24,42
2022/09/25,1
2022/09/26,50
2022/09/27,130
2022/09/28,75
2022/09/29,87
2022/09/30,73
2022/10/01,49
2022/10/02,0
2022/10/03,66
