Datas,Fermo
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,1
2020/07/18,1
2020/07/19,-1
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,1
2020/07/24,0
2020/07/25,0
2020/07/26,0
2020/07/27,0
2020/07/28,1
2020/07/29,0
2020/07/30,0
2020/07/31,0
2020/08/01,0
2020/08/02,2
2020/08/03,0
2020/08/04,0
2020/08/05,1
2020/08/06,0
2020/08/07,0
2020/08/08,0
2020/08/09,1
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,0
2020/08/14,0
2020/08/15,0
2020/08/16,1
2020/08/17,1
2020/08/18,0
2020/08/19,0
2020/08/20,2
2020/08/21,0
2020/08/22,1
2020/08/23,0
2020/08/24,0
2020/08/25,0
2020/08/26,0
2020/08/27,30
2020/08/28,1
2020/08/29,0
2020/08/30,6
2020/08/31,0
2020/09/01,0
2020/09/02,3
2020/09/03,4
2020/09/04,0
2020/09/05,1
2020/09/06,0
2020/09/07,0
2020/09/08,2
2020/09/09,4
2020/09/10,0
2020/09/11,11
2020/09/12,2
2020/09/13,1
2020/09/14,0
2020/09/15,1
2020/09/16,3
2020/09/17,3
2020/09/18,1
2020/09/19,2
2020/09/20,0
2020/09/21,3
2020/09/22,0
2020/09/23,1
2020/09/24,0
2020/09/25,1
2020/09/26,0
2020/09/27,1
2020/09/28,0
2020/09/29,0
2020/09/30,0
2020/10/01,5
2020/10/02,5
2020/10/03,10
2020/10/04,14
2020/10/05,7
2020/10/06,4
2020/10/07,7
2020/10/08,24
2020/10/09,12
2020/10/10,14
2020/10/11,5
2020/10/12,7
2020/10/13,10
2020/10/14,21
2020/10/15,32
2020/10/16,17
2020/10/17,16
2020/10/18,14
2020/10/19,4
2020/10/20,6
2020/10/21,36
2020/10/22,58
2020/10/23,70
2020/10/24,37
2020/10/25,93
2020/10/26,15
2020/10/27,23
2020/10/28,52
2020/10/29,146
2020/10/30,49
2020/10/31,50
2020/11/01,160
2020/11/02,50
2020/11/03,11
2020/11/04,92
2020/11/05,131
2020/11/06,92
2020/11/07,136
2020/11/08,82
2020/11/09,20
2020/11/10,40
2020/11/11,82
2020/11/12,130
2020/11/13,127
2020/11/14,102
2020/11/15,83
2020/11/16,24
2020/11/17,24
2020/11/18,66
2020/11/19,78
2020/11/20,46
2020/11/21,47
2020/11/22,55
2020/11/23,16
2020/11/24,13
2020/11/25,48
2020/11/26,60
2020/11/27,58
2020/11/28,51
2020/11/29,56
2020/11/30,8
2020/12/01,6
2020/12/02,57
2020/12/03,67
2020/12/04,70
2020/12/05,60
2020/12/06,63
2020/12/07,4
2020/12/08,16
2020/12/09,4
2020/12/10,37
2020/12/11,67
2020/12/12,68
2020/12/13,64
2020/12/14,35
2020/12/15,22
2020/12/16,47
2020/12/17,60
2020/12/18,65
2020/12/19,54
2020/12/20,43
2020/12/21,13
2020/12/22,12
2020/12/23,67
2020/12/24,29
2020/12/25,95
2020/12/26,3
2020/12/27,5
2020/12/28,3
2020/12/29,83
2020/12/30,79
2020/12/31,144
2021/01/01,75
2021/01/02,3
2021/01/03,43
2021/01/04,25
2021/01/05,52
2021/01/06,148
2021/01/07,19
2021/01/08,77
2021/01/09,103
2021/01/10,75
2021/01/11,73
2021/01/12,37
2021/01/13,27
2021/01/14,66
2021/01/15,92
2021/01/16,58
2021/01/17,43
2021/01/18,17
2021/01/19,38
2021/01/20,65
2021/01/21,75
2021/01/22,53
2021/01/23,11
2021/01/24,85
2021/01/25,26
2021/01/26,38
2021/01/27,54
2021/01/28,59
2021/01/29,52
2021/01/30,74
2021/01/31,35
2021/02/01,3
2021/02/02,23
2021/02/03,52
2021/02/04,49
2021/02/05,21
2021/02/06,39
2021/02/07,28
2021/02/08,22
2021/02/09,19
2021/02/10,12
2021/02/11,28
2021/02/12,24
2021/02/13,18
2021/02/14,9
2021/02/15,2
2021/02/16,18
2021/02/17,17
2021/02/18,37
2021/02/19,28
2021/02/20,47
2021/02/21,28
2021/02/22,14
2021/02/23,33
2021/02/24,26
2021/02/25,307
2021/02/26,-194
2021/02/27,73
2021/02/28,37
2021/03/01,46
2021/03/02,14
2021/03/03,76
2021/03/04,72
2021/03/05,74
2021/03/06,59
2021/03/07,101
2021/03/08,21
2021/03/09,37
2021/03/10,69
2021/03/11,96
2021/03/12,81
2021/03/13,59
2021/03/14,38
2021/03/15,32
2021/03/16,44
2021/03/17,111
2021/03/18,86
2021/03/19,75
2021/03/20,85
2021/03/21,61
2021/03/22,21
2021/03/23,24
2021/03/24,68
2021/03/25,54
2021/03/26,56
2021/03/27,57
2021/03/28,29
2021/03/29,24
2021/03/30,23
2021/03/31,50
2021/04/01,22
2021/04/02,17
2021/04/03,32
2021/04/04,13
2021/04/05,4
2021/04/06,0
2021/04/07,21
2021/04/08,20
2021/04/09,36
2021/04/10,37
2021/04/11,14
2021/04/12,7
2021/04/13,5
2021/04/14,29
2021/04/15,24
2021/04/16,26
2021/04/17,13
2021/04/18,23
2021/04/19,10
2021/04/20,10
2021/04/21,44
2021/04/22,29
2021/04/23,26
2021/04/24,43
2021/04/25,46
2021/04/26,3
2021/04/27,12
2021/04/28,25
2021/04/29,24
2021/04/30,23
2021/05/01,34
2021/05/02,6
2021/05/03,2
2021/05/04,31
2021/05/05,24
2021/05/06,21
2021/05/07,18
2021/05/08,22
2021/05/09,33
2021/05/10,0
2021/05/11,7
2021/05/12,12
2021/05/13,29
2021/05/14,30
2021/05/15,14
2021/05/16,6
2021/05/17,6
2021/05/18,19
2021/05/19,5
2021/05/20,15
2021/05/21,6
2021/05/22,11
2021/05/23,9
2021/05/24,0
2021/05/25,4
2021/05/26,12
2021/05/27,21
2021/05/28,5
2021/05/29,15
2021/05/30,9
2021/05/31,1
2021/06/01,0
2021/06/02,7
2021/06/03,1
2021/06/04,5
2021/06/05,7
2021/06/06,10
2021/06/07,0
2021/06/08,5
2021/06/09,12
2021/06/10,13
2021/06/11,8
2021/06/12,2
2021/06/13,2
2021/06/14,0
2021/06/15,3
2021/06/16,3
2021/06/17,1
2021/06/18,0
2021/06/19,0
2021/06/20,2
2021/06/21,0
2021/06/22,4
2021/06/23,2
2021/06/24,1
2021/06/25,3
2021/06/26,1
2021/06/27,4
2021/06/28,0
2021/06/29,2
2021/06/30,2
2021/07/01,4
2021/07/02,2
2021/07/03,1
2021/07/04,0
2021/07/05,0
2021/07/06,2
2021/07/07,1
2021/07/08,4
2021/07/09,1
2021/07/10,0
2021/07/11,2
2021/07/12,1
2021/07/13,2
2021/07/14,8
2021/07/15,3
2021/07/16,1
2021/07/17,2
2021/07/18,3
2021/07/19,0
2021/07/20,5
2021/07/21,5
2021/07/22,17
2021/07/23,5
2021/07/24,10
2021/07/25,12
2021/07/26,0
2021/07/27,3
2021/07/28,15
2021/07/29,19
2021/07/30,11
2021/07/31,45
2021/08/01,17
2021/08/02,0
2021/08/03,17
2021/08/04,36
2021/08/05,42
2021/08/06,35
2021/08/07,43
2021/08/08,24
2021/08/09,1
2021/08/10,26
2021/08/11,21
2021/08/12,47
2021/08/13,30
2021/08/14,29
2021/08/15,17
2021/08/16,0
2021/08/17,13
2021/08/18,29
2021/08/19,35
2021/08/20,30
2021/08/21,28
2021/08/22,15
2021/08/23,2
2021/08/24,29
2021/08/25,46
2021/08/26,48
2021/08/27,22
2021/08/28,41
2021/08/29,29
2021/08/30,1
2021/08/31,13
2021/09/01,10
2021/09/02,45
2021/09/03,15
2021/09/04,18
2021/09/05,25
2021/09/06,0
2021/09/07,21
2021/09/08,15
2021/09/09,41
2021/09/10,8
2021/09/11,18
2021/09/12,14
2021/09/13,0
2021/09/14,17
2021/09/15,27
2021/09/16,19
2021/09/17,10
2021/09/18,11
2021/09/19,20
2021/09/20,0
2021/09/21,6
2021/09/22,17
2021/09/23,9
2021/09/24,5
2021/09/25,16
2021/09/26,6
2021/09/27,3
2021/09/28,7
2021/09/29,6
2021/09/30,4
2021/10/01,2
2021/10/02,1
2021/10/03,3
2021/10/04,0
2021/10/05,9
2021/10/06,2
2021/10/07,5
2021/10/08,5
2021/10/09,4
2021/10/10,0
2021/10/11,0
2021/10/12,7
2021/10/13,7
2021/10/14,2
2021/10/15,4
2021/10/16,6
2021/10/17,5
2021/10/18,1
2021/10/19,13
2021/10/20,16
2021/10/21,11
2021/10/22,16
2021/10/23,22
2021/10/24,16
2021/10/25,5
2021/10/26,29
2021/10/27,22
2021/10/28,16
2021/10/29,9
2021/10/30,21
2021/10/31,18
2021/11/01,7
2021/11/02,1
2021/11/03,26
2021/11/04,39
2021/11/05,34
2021/11/06,27
2021/11/07,19
2021/11/08,2
2021/11/09,20
2021/11/10,35
2021/11/11,32
2021/11/12,34
2021/11/13,36
2021/11/14,41
2021/11/15,6
2021/11/16,41
2021/11/17,70
2021/11/18,38
2021/11/19,38
2021/11/20,47
2021/11/21,52
2021/11/22,1
2021/11/23,50
2021/11/24,63
2021/11/25,42
2021/11/26,63
2021/11/27,56
2021/11/28,45
2021/11/29,8
2021/11/30,67
2021/12/01,52
2021/12/02,53
2021/12/03,50
2021/12/04,47
2021/12/05,56
2021/12/06,1
2021/12/07,68
2021/12/08,72
2021/12/09,1
2021/12/10,87
2021/12/11,74
2021/12/12,40
2021/12/13,17
2021/12/14,72
2021/12/15,80
2021/12/16,105
2021/12/17,79
2021/12/18,104
2021/12/19,92
2021/12/20,5
2021/12/21,116
2021/12/22,172
2021/12/23,153
2021/12/24,178
2021/12/25,107
2021/12/26,11
2021/12/27,5
2021/12/28,191
2021/12/29,416
2021/12/30,307
2021/12/31,281
2022/01/01,412
2022/01/02,10
2022/01/03,5
2022/01/04,249
2022/01/05,469
2022/01/06,482
2022/01/07,29
2022/01/08,244
2022/01/09,257
2022/01/10,59
2022/01/11,230
2022/01/12,206
2022/01/13,283
2022/01/14,404
2022/01/15,639
2022/01/16,508
2022/01/17,179
2022/01/18,859
2022/01/19,698
2022/01/20,783
2022/01/21,632
2022/01/22,704
2022/01/23,623
2022/01/24,211
2022/01/25,909
2022/01/26,697
2022/01/27,601
2022/01/28,581
2022/01/29,589
2022/01/30,516
2022/01/31,175
2022/02/01,718
2022/02/02,539
2022/02/03,496
2022/02/04,446
2022/02/05,329
2022/02/06,301
2022/02/07,80
2022/02/08,425
2022/02/09,353
2022/02/10,355
2022/02/11,325
2022/02/12,296
2022/02/13,271
2022/02/14,103
2022/02/15,373
2022/02/16,254
2022/02/17,315
2022/02/18,236
2022/02/19,300
2022/02/20,243
2022/02/21,68
2022/02/22,340
2022/02/23,220
2022/02/24,233
2022/02/25,217
2022/02/26,180
2022/02/27,193
2022/02/28,82
2022/03/01,255
2022/03/02,160
2022/03/03,146
2022/03/04,238
2022/03/05,171
2022/03/06,212
2022/03/07,103
2022/03/08,280
2022/03/09,200
2022/03/10,225
2022/03/11,199
2022/03/12,213
2022/03/13,301
2022/03/14,111
2022/03/15,520
2022/03/16,343
2022/03/17,387
2022/03/18,417
2022/03/19,367
2022/03/20,368
2022/03/21,124
2022/03/22,525
2022/03/23,333
2022/03/24,365
2022/03/25,346
2022/03/26,310
2022/03/27,265
2022/03/28,61
2022/03/29,425
2022/03/30,303
2022/03/31,320
2022/04/01,292
2022/04/02,289
2022/04/03,214
2022/04/04,87
2022/04/05,350
2022/04/06,252
2022/04/07,281
2022/04/08,263
2022/04/09,236
2022/04/10,214
2022/04/11,82
2022/04/12,280
2022/04/13,111
2022/04/14,210
2022/04/15,221
2022/04/16,220
2022/04/17,192
2022/04/18,62
2022/04/19,107
2022/04/20,334
2022/04/21,252
2022/04/22,265
2022/04/23,213
2022/04/24,212
2022/04/25,80
2022/04/26,90
2022/04/27,351
2022/04/28,230
2022/04/29,205
2022/04/30,164
2022/05/01,167
2022/05/02,49
2022/05/03,214
2022/05/04,191
2022/05/05,175
2022/05/06,180
2022/05/07,151
2022/05/08,114
2022/05/09,47
2022/05/10,204
2022/05/11,148
2022/05/12,158
2022/05/13,140
2022/05/14,115
2022/05/15,110
2022/05/16,37
2022/05/17,171
2022/05/18,121
2022/05/19,125
2022/05/20,110
2022/05/21,87
2022/05/22,100
2022/05/23,36
2022/05/24,119
2022/05/25,78
2022/05/26,81
2022/05/27,63
2022/05/28,54
2022/05/29,42
2022/05/30,15
2022/05/31,62
2022/06/01,54
2022/06/02,43
2022/06/03,4
2022/06/04,57
2022/06/05,25
2022/06/06,21
2022/06/07,68
2022/06/08,59
2022/06/09,66
2022/06/10,44
2022/06/11,47
2022/06/12,58
2022/06/13,29
2022/06/14,96
2022/06/15,64
2022/06/16,84
2022/06/17,95
2022/06/18,86
2022/06/19,86
2022/06/20,32
2022/06/21,160
2022/06/22,106
2022/06/23,135
2022/06/24,124
2022/06/25,155
2022/06/26,143
2022/06/27,77
2022/06/28,238
2022/06/29,203
2022/06/30,204
2022/07/01,232
2022/07/02,233
2022/07/03,227
2022/07/04,89
2022/07/05,440
2022/07/06,313
2022/07/07,320
2022/07/08,338
2022/07/09,273
2022/07/10,284
2022/07/11,117
2022/07/12,445
2022/07/13,369
2022/07/14,384
2022/07/15,329
2022/07/16,352
2022/07/17,293
2022/07/18,116
2022/07/19,411
2022/07/20,293
2022/07/21,304
2022/07/22,266
2022/07/23,237
2022/07/24,279
2022/07/25,107
2022/07/26,386
2022/07/27,302
2022/07/28,302
2022/07/29,277
2022/07/30,249
2022/07/31,210
2022/08/01,78
2022/08/02,299
2022/08/03,218
2022/08/04,188
2022/08/05,180
2022/08/06,145
2022/08/07,151
2022/08/08,51
2022/08/09,207
2022/08/10,102
2022/08/11,126
2022/08/12,99
2022/08/13,115
2022/08/14,91
2022/08/15,73
2022/08/16,25
2022/08/17,151
2022/08/18,113
2022/08/19,108
2022/08/20,90
2022/08/21,68
2022/08/22,34
2022/08/23,142
2022/08/24,97
2022/08/25,88
2022/08/26,82
2022/08/27,90
2022/08/28,82
2022/08/29,27
2022/08/30,118
2022/08/31,79
2022/09/01,80
2022/09/02,56
2022/09/03,56
2022/09/04,57
2022/09/05,26
2022/09/06,99
2022/09/07,58
2022/09/08,55
2022/09/09,54
2022/09/10,40
2022/09/11,61
2022/09/12,26
2022/09/13,83
2022/09/14,53
2022/09/15,73
2022/09/16,57
2022/09/17,67
2022/09/18,53
2022/09/19,14
2022/09/20,86
2022/09/21,68
2022/09/22,85
2022/09/23,72
2022/09/24,75
2022/09/25,86
2022/09/26,35
2022/09/27,187
2022/09/28,138
2022/09/29,144
2022/09/30,139
2022/10/01,124
2022/10/02,112
2022/10/03,51
