Datas,Vibo Valentia
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,1
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,0
2020/07/24,0
2020/07/25,1
2020/07/26,0
2020/07/27,0
2020/07/28,0
2020/07/29,0
2020/07/30,0
2020/07/31,3
2020/08/01,0
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,0
2020/08/06,0
2020/08/07,0
2020/08/08,0
2020/08/09,0
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,1
2020/08/14,0
2020/08/15,0
2020/08/16,0
2020/08/17,0
2020/08/18,0
2020/08/19,0
2020/08/20,0
2020/08/21,0
2020/08/22,0
2020/08/23,0
2020/08/24,0
2020/08/25,0
2020/08/26,0
2020/08/27,0
2020/08/28,0
2020/08/29,0
2020/08/30,0
2020/08/31,4
2020/09/01,0
2020/09/02,0
2020/09/03,0
2020/09/04,0
2020/09/05,0
2020/09/06,0
2020/09/07,0
2020/09/08,0
2020/09/09,1
2020/09/10,1
2020/09/11,0
2020/09/12,0
2020/09/13,0
2020/09/14,2
2020/09/15,0
2020/09/16,0
2020/09/17,0
2020/09/18,2
2020/09/19,3
2020/09/20,3
2020/09/21,0
2020/09/22,0
2020/09/23,3
2020/09/24,0
2020/09/25,4
2020/09/26,0
2020/09/27,1
2020/09/28,2
2020/09/29,0
2020/09/30,6
2020/10/01,0
2020/10/02,2
2020/10/03,3
2020/10/04,0
2020/10/05,0
2020/10/06,0
2020/10/07,0
2020/10/08,0
2020/10/09,1
2020/10/10,0
2020/10/11,0
2020/10/12,0
2020/10/13,0
2020/10/14,1
2020/10/15,0
2020/10/16,3
2020/10/17,0
2020/10/18,3
2020/10/19,1
2020/10/20,2
2020/10/21,5
2020/10/22,5
2020/10/23,0
2020/10/24,2
2020/10/25,3
2020/10/26,5
2020/10/27,0
2020/10/28,1
2020/10/29,4
2020/10/30,8
2020/10/31,6
2020/11/01,12
2020/11/02,16
2020/11/03,5
2020/11/04,1
2020/11/05,7
2020/11/06,9
2020/11/07,19
2020/11/08,36
2020/11/09,5
2020/11/10,19
2020/11/11,13
2020/11/12,32
2020/11/13,25
2020/11/14,9
2020/11/15,30
2020/11/16,30
2020/11/17,26
2020/11/18,216
2020/11/19,47
2020/11/20,27
2020/11/21,33
2020/11/22,33
2020/11/23,43
2020/11/24,6
2020/11/25,23
2020/11/26,11
2020/11/27,24
2020/11/28,6
2020/11/29,3
2020/11/30,0
2020/12/01,0
2020/12/02,13
2020/12/03,5
2020/12/04,12
2020/12/05,5
2020/12/06,44
2020/12/07,43
2020/12/08,5
2020/12/09,5
2020/12/10,13
2020/12/11,5
2020/12/12,5
2020/12/13,19
2020/12/14,21
2020/12/15,11
2020/12/16,21
2020/12/17,14
2020/12/18,18
2020/12/19,16
2020/12/20,1
2020/12/21,16
2020/12/22,6
2020/12/23,50
2020/12/24,12
2020/12/25,53
2020/12/26,32
2020/12/27,82
2020/12/28,94
2020/12/29,47
2020/12/30,171
2020/12/31,42
2021/01/01,40
2021/01/02,32
2021/01/03,29
2021/01/04,41
2021/01/05,9
2021/01/06,38
2021/01/07,85
2021/01/08,43
2021/01/09,55
2021/01/10,73
2021/01/11,65
2021/01/12,10
2021/01/13,12
2021/01/14,51
2021/01/15,56
2021/01/16,7
2021/01/17,19
2021/01/18,9
2021/01/19,14
2021/01/20,24
2021/01/21,17
2021/01/22,20
2021/01/23,32
2021/01/24,4
2021/01/25,15
2021/01/26,-9
2021/01/27,50
2021/01/28,66
2021/01/29,18
2021/01/30,36
2021/01/31,17
2021/02/01,25
2021/02/02,12
2021/02/03,25
2021/02/04,14
2021/02/05,29
2021/02/06,47
2021/02/07,16
2021/02/08,20
2021/02/09,24
2021/02/10,25
2021/02/11,49
2021/02/12,1
2021/02/13,35
2021/02/14,32
2021/02/15,6
2021/02/16,26
2021/02/17,23
2021/02/18,44
2021/02/19,61
2021/02/20,45
2021/02/21,25
2021/02/22,5
2021/02/23,15
2021/02/24,22
2021/02/25,39
2021/02/26,41
2021/02/27,32
2021/02/28,28
2021/03/01,17
2021/03/02,0
2021/03/03,19
2021/03/04,19
2021/03/05,25
2021/03/06,10
2021/03/07,24
2021/03/08,14
2021/03/09,11
2021/03/10,16
2021/03/11,133
2021/03/12,35
2021/03/13,14
2021/03/14,12
2021/03/15,20
2021/03/16,12
2021/03/17,7
2021/03/18,54
2021/03/19,24
2021/03/20,21
2021/03/21,27
2021/03/22,30
2021/03/23,6
2021/03/24,23
2021/03/25,33
2021/03/26,34
2021/03/27,34
2021/03/28,18
2021/03/29,15
2021/03/30,15
2021/03/31,19
2021/04/01,34
2021/04/02,12
2021/04/03,26
2021/04/04,14
2021/04/05,2
2021/04/06,0
2021/04/07,10
2021/04/08,43
2021/04/09,46
2021/04/10,37
2021/04/11,40
2021/04/12,0
2021/04/13,19
2021/04/14,8
2021/04/15,29
2021/04/16,12
2021/04/17,31
2021/04/18,9
2021/04/19,0
2021/04/20,6
2021/04/21,52
2021/04/22,24
2021/04/23,11
2021/04/24,27
2021/04/25,65
2021/04/26,1
2021/04/27,32
2021/04/28,35
2021/04/29,34
2021/04/30,20
2021/05/01,31
2021/05/02,6
2021/05/03,4
2021/05/04,10
2021/05/05,17
2021/05/06,24
2021/05/07,18
2021/05/08,17
2021/05/09,31
2021/05/10,4
2021/05/11,13
2021/05/12,11
2021/05/13,15
2021/05/14,6
2021/05/15,17
2021/05/16,29
2021/05/17,0
2021/05/18,0
2021/05/19,12
2021/05/20,17
2021/05/21,15
2021/05/22,9
2021/05/23,1
2021/05/24,14
2021/05/25,4
2021/05/26,8
2021/05/27,10
2021/05/28,0
2021/05/29,31
2021/05/30,18
2021/05/31,0
2021/06/01,1
2021/06/02,31
2021/06/03,4
2021/06/04,16
2021/06/05,13
2021/06/06,8
2021/06/07,0
2021/06/08,13
2021/06/09,1
2021/06/10,8
2021/06/11,5
2021/06/12,13
2021/06/13,6
2021/06/14,0
2021/06/15,0
2021/06/16,9
2021/06/17,4
2021/06/18,15
2021/06/19,6
2021/06/20,8
2021/06/21,0
2021/06/22,3
2021/06/23,2
2021/06/24,1
2021/06/25,4
2021/06/26,1
2021/06/27,3
2021/06/28,0
2021/06/29,4
2021/06/30,1
2021/07/01,0
2021/07/02,1
2021/07/03,0
2021/07/04,0
2021/07/05,1
2021/07/06,1
2021/07/07,3
2021/07/08,1
2021/07/09,0
2021/07/10,3
2021/07/11,0
2021/07/12,0
2021/07/13,3
2021/07/14,3
2021/07/15,-2
2021/07/16,0
2021/07/17,3
2021/07/18,1
2021/07/19,0
2021/07/20,2
2021/07/21,7
2021/07/22,0
2021/07/23,2
2021/07/24,3
2021/07/25,1
2021/07/26,0
2021/07/27,7
2021/07/28,11
2021/07/29,11
2021/07/30,0
2021/07/31,8
2021/08/01,8
2021/08/02,0
2021/08/03,8
2021/08/04,3
2021/08/05,9
2021/08/06,11
2021/08/07,23
2021/08/08,24
2021/08/09,0
2021/08/10,18
2021/08/11,15
2021/08/12,24
2021/08/13,17
2021/08/14,1
2021/08/15,32
2021/08/16,0
2021/08/17,1
2021/08/18,40
2021/08/19,15
2021/08/20,37
2021/08/21,18
2021/08/22,18
2021/08/23,34
2021/08/24,8
2021/08/25,24
2021/08/26,14
2021/08/27,21
2021/08/28,18
2021/08/29,20
2021/08/30,24
2021/08/31,16
2021/09/01,9
2021/09/02,11
2021/09/03,12
2021/09/04,6
2021/09/05,33
2021/09/06,2
2021/09/07,14
2021/09/08,13
2021/09/09,9
2021/09/10,0
2021/09/11,6
2021/09/12,9
2021/09/13,1
2021/09/14,5
2021/09/15,2
2021/09/16,7
2021/09/17,4
2021/09/18,1
2021/09/19,5
2021/09/20,0
2021/09/21,7
2021/09/22,2
2021/09/23,6
2021/09/24,9
2021/09/25,1
2021/09/26,13
2021/09/27,1
2021/09/28,5
2021/09/29,8
2021/09/30,13
2021/10/01,7
2021/10/02,17
2021/10/03,1
2021/10/04,1
2021/10/05,17
2021/10/06,8
2021/10/07,13
2021/10/08,14
2021/10/09,11
2021/10/10,23
2021/10/11,0
2021/10/12,23
2021/10/13,49
2021/10/14,37
2021/10/15,10
2021/10/16,12
2021/10/17,21
2021/10/18,13
2021/10/19,25
2021/10/20,22
2021/10/21,39
2021/10/22,47
2021/10/23,23
2021/10/24,41
2021/10/25,2
2021/10/26,12
2021/10/27,37
2021/10/28,19
2021/10/29,14
2021/10/30,15
2021/10/31,35
2021/11/01,6
2021/11/02,0
2021/11/03,18
2021/11/04,21
2021/11/05,15
2021/11/06,21
2021/11/07,33
2021/11/08,23
2021/11/09,13
2021/11/10,3
2021/11/11,21
2021/11/12,20
2021/11/13,18
2021/11/14,25
2021/11/15,1
2021/11/16,28
2021/11/17,29
2021/11/18,11
2021/11/19,2
2021/11/20,58
2021/11/21,26
2021/11/22,0
2021/11/23,10
2021/11/24,37
2021/11/25,20
2021/11/26,26
2021/11/27,46
2021/11/28,27
2021/11/29,3
2021/11/30,26
2021/12/01,14
2021/12/02,21
2021/12/03,59
2021/12/04,16
2021/12/05,46
2021/12/06,26
2021/12/07,33
2021/12/08,21
2021/12/09,31
2021/12/10,42
2021/12/11,58
2021/12/12,35
2021/12/13,55
2021/12/14,39
2021/12/15,49
2021/12/16,78
2021/12/17,65
2021/12/18,70
2021/12/19,44
2021/12/20,17
2021/12/21,16
2021/12/22,69
2021/12/23,96
2021/12/24,32
2021/12/25,102
2021/12/26,32
2021/12/27,57
2021/12/28,184
2021/12/29,403
2021/12/30,647
2021/12/31,589
2022/01/01,302
2022/01/02,115
2022/01/03,197
2022/01/04,413
2022/01/05,567
2022/01/06,579
2022/01/07,244
2022/01/08,569
2022/01/09,448
2022/01/10,104
2022/01/11,403
2022/01/12,552
2022/01/13,336
2022/01/14,273
2022/01/15,365
2022/01/16,471
2022/01/17,107
2022/01/18,381
2022/01/19,314
2022/01/20,322
2022/01/21,271
2022/01/22,211
2022/01/23,261
2022/01/24,50
2022/01/25,334
2022/01/26,260
2022/01/27,245
2022/01/28,277
2022/01/29,244
2022/01/30,122
2022/01/31,264
2022/02/01,300
2022/02/02,346
2022/02/03,355
2022/02/04,234
2022/02/05,44
2022/02/06,39
2022/02/07,154
2022/02/08,346
2022/02/09,232
2022/02/10,260
2022/02/11,300
2022/02/12,31
2022/02/13,38
2022/02/14,136
2022/02/15,439
2022/02/16,507
2022/02/17,169
2022/02/18,187
2022/02/19,33
2022/02/20,29
2022/02/21,340
2022/02/22,292
2022/02/23,260
2022/02/24,218
2022/02/25,136
2022/02/26,7
2022/02/27,29
2022/02/28,407
2022/03/01,274
2022/03/02,36
2022/03/03,219
2022/03/04,208
2022/03/05,27
2022/03/06,3
2022/03/07,284
2022/03/08,537
2022/03/09,273
2022/03/10,329
2022/03/11,292
2022/03/12,180
2022/03/13,36
2022/03/14,24
2022/03/15,505
2022/03/16,404
2022/03/17,344
2022/03/18,258
2022/03/19,182
2022/03/20,68
2022/03/21,413
2022/03/22,459
2022/03/23,274
2022/03/24,276
2022/03/25,265
2022/03/26,175
2022/03/27,36
2022/03/28,227
2022/03/29,393
2022/03/30,302
2022/03/31,208
2022/04/01,203
2022/04/02,176
2022/04/03,55
2022/04/04,371
2022/04/05,360
2022/04/06,157
2022/04/07,202
2022/04/08,189
2022/04/09,69
2022/04/10,152
2022/04/11,213
2022/04/12,282
2022/04/13,209
2022/04/14,185
2022/04/15,114
2022/04/16,96
2022/04/17,128
2022/04/18,120
2022/04/19,27
2022/04/20,192
2022/04/21,154
2022/04/22,182
2022/04/23,179
2022/04/24,132
2022/04/25,32
2022/04/26,49
2022/04/27,214
2022/04/28,156
2022/04/29,111
2022/04/30,98
2022/05/01,41
2022/05/02,2
2022/05/03,94
2022/05/04,81
2022/05/05,55
2022/05/06,116
2022/05/07,69
2022/05/08,63
2022/05/09,15
2022/05/10,100
2022/05/11,35
2022/05/12,53
2022/05/13,43
2022/05/14,70
2022/05/15,30
2022/05/16,10
2022/05/17,63
2022/05/18,33
2022/05/19,46
2022/05/20,31
2022/05/21,42
2022/05/22,20
2022/05/23,4
2022/05/24,51
2022/05/25,29
2022/05/26,30
2022/05/27,30
2022/05/28,15
2022/05/29,16
2022/05/30,13
2022/05/31,34
2022/06/01,30
2022/06/02,9
2022/06/03,5
2022/06/04,29
2022/06/05,18
2022/06/06,5
2022/06/07,54
2022/06/08,39
2022/06/09,26
2022/06/10,24
2022/06/11,18
2022/06/12,17
2022/06/13,3
2022/06/14,40
2022/06/15,26
2022/06/16,17
2022/06/17,33
2022/06/18,25
2022/06/19,10
2022/06/20,7
2022/06/21,32
2022/06/22,55
2022/06/23,23
2022/06/24,31
2022/06/25,67
2022/06/26,27
2022/06/27,15
2022/06/28,41
2022/06/29,105
2022/06/30,63
2022/07/01,66
2022/07/02,69
2022/07/03,52
2022/07/04,14
2022/07/05,106
2022/07/06,101
2022/07/07,153
2022/07/08,178
2022/07/09,197
2022/07/10,64
2022/07/11,52
2022/07/12,210
2022/07/13,114
2022/07/14,178
2022/07/15,197
2022/07/16,107
2022/07/17,44
2022/07/18,29
2022/07/19,165
2022/07/20,193
2022/07/21,142
2022/07/22,80
2022/07/23,145
2022/07/24,52
2022/07/25,32
2022/07/26,130
2022/07/27,149
2022/07/28,88
2022/07/29,94
2022/07/30,63
2022/07/31,37
2022/08/01,65
2022/08/02,99
2022/08/03,88
2022/08/04,66
2022/08/05,125
2022/08/06,100
2022/08/07,6
2022/08/08,17
2022/08/09,128
2022/08/10,52
2022/08/11,119
2022/08/12,113
2022/08/13,126
2022/08/14,84
2022/08/15,44
2022/08/16,104
2022/08/17,151
2022/08/18,160
2022/08/19,148
2022/08/20,210
2022/08/21,137
2022/08/22,18
2022/08/23,169
2022/08/24,177
2022/08/25,154
2022/08/26,135
2022/08/27,100
2022/08/28,201
2022/08/29,17
2022/08/30,195
2022/08/31,96
2022/09/01,121
2022/09/02,102
2022/09/03,112
2022/09/04,88
2022/09/05,6
2022/09/06,79
2022/09/07,107
2022/09/08,68
2022/09/09,72
2022/09/10,90
2022/09/11,36
2022/09/12,3
2022/09/13,61
2022/09/14,54
2022/09/15,31
2022/09/16,36
2022/09/17,53
2022/09/18,53
2022/09/19,3
2022/09/20,50
2022/09/21,51
2022/09/22,40
2022/09/23,26
2022/09/24,41
2022/09/25,38
2022/09/26,2
2022/09/27,35
2022/09/28,52
2022/09/29,26
2022/09/30,26
2022/10/01,54
2022/10/02,39
2022/10/03,13
