Datas,Isernia
2020/07/05,0
2020/07/06,0
2020/07/07,0
2020/07/08,0
2020/07/09,0
2020/07/10,0
2020/07/11,0
2020/07/12,0
2020/07/13,0
2020/07/14,0
2020/07/15,0
2020/07/16,0
2020/07/17,0
2020/07/18,0
2020/07/19,0
2020/07/20,0
2020/07/21,0
2020/07/22,0
2020/07/23,0
2020/07/24,0
2020/07/25,0
2020/07/26,3
2020/07/27,0
2020/07/28,0
2020/07/29,0
2020/07/30,0
2020/07/31,0
2020/08/01,2
2020/08/02,0
2020/08/03,0
2020/08/04,0
2020/08/05,0
2020/08/06,0
2020/08/07,0
2020/08/08,0
2020/08/09,0
2020/08/10,0
2020/08/11,0
2020/08/12,0
2020/08/13,1
2020/08/14,0
2020/08/15,0
2020/08/16,0
2020/08/17,0
2020/08/18,0
2020/08/19,2
2020/08/20,0
2020/08/21,1
2020/08/22,0
2020/08/23,0
2020/08/24,0
2020/08/25,0
2020/08/26,4
2020/08/27,0
2020/08/28,1
2020/08/29,1
2020/08/30,0
2020/08/31,0
2020/09/01,0
2020/09/02,0
2020/09/03,0
2020/09/04,1
2020/09/05,0
2020/09/06,0
2020/09/07,0
2020/09/08,1
2020/09/09,1
2020/09/10,0
2020/09/11,0
2020/09/12,0
2020/09/13,0
2020/09/14,2
2020/09/15,1
2020/09/16,4
2020/09/17,1
2020/09/18,0
2020/09/19,1
2020/09/20,0
2020/09/21,2
2020/09/22,0
2020/09/23,1
2020/09/24,0
2020/09/25,-1
2020/09/26,1
2020/09/27,1
2020/09/28,1
2020/09/29,1
2020/09/30,0
2020/10/01,0
2020/10/02,1
2020/10/03,0
2020/10/04,5
2020/10/05,1
2020/10/06,3
2020/10/07,0
2020/10/08,0
2020/10/09,8
2020/10/10,7
2020/10/11,19
2020/10/12,2
2020/10/13,38
2020/10/14,15
2020/10/15,20
2020/10/16,12
2020/10/17,56
2020/10/18,20
2020/10/19,22
2020/10/20,23
2020/10/21,11
2020/10/22,5
2020/10/23,34
2020/10/24,32
2020/10/25,20
2020/10/26,32
2020/10/27,34
2020/10/28,5
2020/10/29,79
2020/10/30,17
2020/10/31,37
2020/11/01,58
2020/11/02,55
2020/11/03,29
2020/11/04,7
2020/11/05,46
2020/11/06,19
2020/11/07,68
2020/11/08,15
2020/11/09,25
2020/11/10,7
2020/11/11,21
2020/11/12,16
2020/11/13,13
2020/11/14,44
2020/11/15,34
2020/11/16,57
2020/11/17,32
2020/11/18,32
2020/11/19,59
2020/11/20,29
2020/11/21,82
2020/11/22,17
2020/11/23,30
2020/11/24,36
2020/11/25,43
2020/11/26,28
2020/11/27,28
2020/11/28,59
2020/11/29,19
2020/11/30,43
2020/12/01,9
2020/12/02,50
2020/12/03,16
2020/12/04,113
2020/12/05,21
2020/12/06,10
2020/12/07,25
2020/12/08,5
2020/12/09,2
2020/12/10,17
2020/12/11,24
2020/12/12,24
2020/12/13,30
2020/12/14,8
2020/12/15,14
2020/12/16,8
2020/12/17,11
2020/12/18,24
2020/12/19,2
2020/12/20,27
2020/12/21,17
2020/12/22,0
2020/12/23,2
2020/12/24,25
2020/12/25,12
2020/12/26,3
2020/12/27,0
2020/12/28,0
2020/12/29,5
2020/12/30,10
2020/12/31,1
2021/01/01,36
2021/01/02,1
2021/01/03,2
2021/01/04,18
2021/01/05,0
2021/01/06,2
2021/01/07,16
2021/01/08,12
2021/01/09,1
2021/01/10,35
2021/01/11,3
2021/01/12,2
2021/01/13,21
2021/01/14,32
2021/01/15,18
2021/01/16,10
2021/01/17,17
2021/01/18,12
2021/01/19,7
2021/01/20,12
2021/01/21,14
2021/01/22,3
2021/01/23,7
2021/01/24,15
2021/01/25,6
2021/01/26,0
2021/01/27,5
2021/01/28,23
2021/01/29,11
2021/01/30,21
2021/01/31,9
2021/02/01,1
2021/02/02,6
2021/02/03,8
2021/02/04,2
2021/02/05,14
2021/02/06,1
2021/02/07,24
2021/02/08,3
2021/02/09,7
2021/02/10,12
2021/02/11,3
2021/02/12,24
2021/02/13,2
2021/02/14,12
2021/02/15,5
2021/02/16,0
2021/02/17,13
2021/02/18,8
2021/02/19,24
2021/02/20,8
2021/02/21,18
2021/02/22,12
2021/02/23,4
2021/02/24,39
2021/02/25,5
2021/02/26,68
2021/02/27,9
2021/02/28,57
2021/03/01,1
2021/03/02,4
2021/03/03,55
2021/03/04,3
2021/03/05,55
2021/03/06,10
2021/03/07,37
2021/03/08,11
2021/03/09,3
2021/03/10,27
2021/03/11,12
2021/03/12,35
2021/03/13,36
2021/03/14,22
2021/03/15,7
2021/03/16,3
2021/03/17,26
2021/03/18,19
2021/03/19,8
2021/03/20,19
2021/03/21,15
2021/03/22,3
2021/03/23,-1
2021/03/24,7
2021/03/25,6
2021/03/26,14
2021/03/27,1
2021/03/28,12
2021/03/29,4
2021/03/30,0
2021/03/31,1
2021/04/01,5
2021/04/02,17
2021/04/03,2
2021/04/04,8
2021/04/05,0
2021/04/06,0
2021/04/07,2
2021/04/08,3
2021/04/09,3
2021/04/10,12
2021/04/11,24
2021/04/12,2
2021/04/13,0
2021/04/14,18
2021/04/15,0
2021/04/16,18
2021/04/17,3
2021/04/18,9
2021/04/19,2
2021/04/20,0
2021/04/21,6
2021/04/22,3
2021/04/23,7
2021/04/24,3
2021/04/25,8
2021/04/26,1
2021/04/27,2
2021/04/28,11
2021/04/29,5
2021/04/30,10
2021/05/01,2
2021/05/02,4
2021/05/03,8
2021/05/04,1
2021/05/05,5
2021/05/06,1
2021/05/07,14
2021/05/08,4
2021/05/09,5
2021/05/10,2
2021/05/11,0
2021/05/12,10
2021/05/13,0
2021/05/14,5
2021/05/15,2
2021/05/16,14
2021/05/17,1
2021/05/18,0
2021/05/19,3
2021/05/20,2
2021/05/21,8
2021/05/22,6058
2021/05/23,-6053
2021/05/24,1
2021/05/25,0
2021/05/26,3
2021/05/27,1
2021/05/28,2
2021/05/29,1
2021/05/30,3
2021/05/31,0
2021/06/01,0
2021/06/02,2
2021/06/03,0
2021/06/04,0
2021/06/05,1
2021/06/06,3
2021/06/07,1
2021/06/08,0
2021/06/09,1
2021/06/10,2
2021/06/11,0
2021/06/12,3
2021/06/13,0
2021/06/14,0
2021/06/15,0
2021/06/16,1
2021/06/17,2
2021/06/18,0
2021/06/19,1
2021/06/20,7
2021/06/21,0
2021/06/22,0
2021/06/23,2
2021/06/24,0
2021/06/25,0
2021/06/26,0
2021/06/27,2
2021/06/28,0
2021/06/29,0
2021/06/30,1
2021/07/01,0
2021/07/02,-1
2021/07/03,0
2021/07/04,1
2021/07/05,0
2021/07/06,0
2021/07/07,2
2021/07/08,0
2021/07/09,9
2021/07/10,0
2021/07/11,0
2021/07/12,0
2021/07/13,0
2021/07/14,0
2021/07/15,0
2021/07/16,0
2021/07/17,1
2021/07/18,0
2021/07/19,0
2021/07/20,0
2021/07/21,3
2021/07/22,1
2021/07/23,14
2021/07/24,0
2021/07/25,6
2021/07/26,0
2021/07/27,0
2021/07/28,6
2021/07/29,1
2021/07/30,6
2021/07/31,2
2021/08/01,15
2021/08/02,0
2021/08/03,2
2021/08/04,7
2021/08/05,0
2021/08/06,9
2021/08/07,1
2021/08/08,3
2021/08/09,0
2021/08/10,0
2021/08/11,11
2021/08/12,0
2021/08/13,7
2021/08/14,0
2021/08/15,6
2021/08/16,0
2021/08/17,1
2021/08/18,0
2021/08/19,2
2021/08/20,9
2021/08/21,0
2021/08/22,1
2021/08/23,1
2021/08/24,0
2021/08/25,6
2021/08/26,1
2021/08/27,24
2021/08/28,0
2021/08/29,8
2021/08/30,2
2021/08/31,0
2021/09/01,3
2021/09/02,3
2021/09/03,9
2021/09/04,4
2021/09/05,9
2021/09/06,-1
2021/09/07,0
2021/09/08,6
2021/09/09,1
2021/09/10,4
2021/09/11,4
2021/09/12,2
2021/09/13,0
2021/09/14,1
2021/09/15,0
2021/09/16,0
2021/09/17,7
2021/09/18,1
2021/09/19,15
2021/09/20,1
2021/09/21,0
2021/09/22,5
2021/09/23,0
2021/09/24,4
2021/09/25,1
2021/09/26,6
2021/09/27,0
2021/09/28,0
2021/09/29,2
2021/09/30,0
2021/10/01,2
2021/10/02,2
2021/10/03,3
2021/10/04,1
2021/10/05,0
2021/10/06,4
2021/10/07,0
2021/10/08,7
2021/10/09,0
2021/10/10,3
2021/10/11,0
2021/10/12,0
2021/10/13,3
2021/10/14,1
2021/10/15,2
2021/10/16,2
2021/10/17,0
2021/10/18,0
2021/10/19,0
2021/10/20,0
2021/10/21,1
2021/10/22,4
2021/10/23,0
2021/10/24,2
2021/10/25,0
2021/10/26,0
2021/10/27,1
2021/10/28,2
2021/10/29,7
2021/10/30,1
2021/10/31,3
2021/11/01,0
2021/11/02,0
2021/11/03,0
2021/11/04,1
2021/11/05,1
2021/11/06,1
2021/11/07,21
2021/11/08,0
2021/11/09,0
2021/11/10,15
2021/11/11,4
2021/11/12,18
2021/11/13,5
2021/11/14,23
2021/11/15,5
2021/11/16,0
2021/11/17,9
2021/11/18,29
2021/11/19,15
2021/11/20,9
2021/11/21,10
2021/11/22,3
2021/11/23,0
2021/11/24,3
2021/11/25,17
2021/11/26,8
2021/11/27,6
2021/11/28,11
2021/11/29,1
2021/11/30,0
2021/12/01,5
2021/12/02,4
2021/12/03,0
2021/12/04,0
2021/12/05,6
2021/12/06,0
2021/12/07,0
2021/12/08,11
2021/12/09,4
2021/12/10,0
2021/12/11,6
2021/12/12,2
2021/12/13,0
2021/12/14,0
2021/12/15,3
2021/12/16,1
2021/12/17,7
2021/12/18,1
2021/12/19,11
2021/12/20,0
2021/12/21,1
2021/12/22,12
2021/12/23,2
2021/12/24,17
2021/12/25,1
2021/12/26,26
2021/12/27,0
2021/12/28,3
2021/12/29,30
2021/12/30,9
2021/12/31,179
2022/01/01,100
2022/01/02,140
2022/01/03,2
2022/01/04,109
2022/01/05,201
2022/01/06,112
2022/01/07,46
2022/01/08,34
2022/01/09,212
2022/01/10,160
2022/01/11,105
2022/01/12,225
2022/01/13,171
2022/01/14,102
2022/01/15,146
2022/01/16,172
2022/01/17,259
2022/01/18,128
2022/01/19,208
2022/01/20,125
2022/01/21,135
2022/01/22,142
2022/01/23,145
2022/01/24,99
2022/01/25,140
2022/01/26,152
2022/01/27,172
2022/01/28,116
2022/01/29,96
2022/01/30,144
2022/01/31,75
2022/02/01,82
2022/02/02,151
2022/02/03,110
2022/02/04,75
2022/02/05,82
2022/02/06,97
2022/02/07,64
2022/02/08,64
2022/02/09,137
2022/02/10,69
2022/02/11,73
2022/02/12,46
2022/02/13,106
2022/02/14,41
2022/02/15,78
2022/02/16,73
2022/02/17,102
2022/02/18,73
2022/02/19,15
2022/02/20,75
2022/02/21,17
2022/02/22,57
2022/02/23,78
2022/02/24,69
2022/02/25,61
2022/02/26,71
2022/02/27,59
2022/02/28,40
2022/03/01,65
2022/03/02,99
2022/03/03,42
2022/03/04,69
2022/03/05,83
2022/03/06,68
2022/03/07,62
2022/03/08,42
2022/03/09,56
2022/03/10,61
2022/03/11,50
2022/03/12,69
2022/03/13,93
2022/03/14,38
2022/03/15,51
2022/03/16,93
2022/03/17,46
2022/03/18,120
2022/03/19,116
2022/03/20,54
2022/03/21,22
2022/03/22,66
2022/03/23,155
2022/03/24,58
2022/03/25,67
2022/03/26,98
2022/03/27,100
2022/03/28,27
2022/03/29,44
2022/03/30,149
2022/03/31,99
2022/04/01,64
2022/04/02,129
2022/04/03,120
2022/04/04,48
2022/04/05,64
2022/04/06,123
2022/04/07,121
2022/04/08,78
2022/04/09,39
2022/04/10,106
2022/04/11,37
2022/04/12,82
2022/04/13,152
2022/04/14,117
2022/04/15,103
2022/04/16,119
2022/04/17,150
2022/04/18,30
2022/04/19,55
2022/04/20,74
2022/04/21,197
2022/04/22,133
2022/04/23,123
2022/04/24,139
2022/04/25,62
2022/04/26,26
2022/04/27,119
2022/04/28,167
2022/04/29,124
2022/04/30,89
2022/05/01,116
2022/05/02,39
2022/05/03,56
2022/05/04,109
2022/05/05,93
2022/05/06,106
2022/05/07,59
2022/05/08,82
2022/05/09,14
2022/05/10,82
2022/05/11,65
2022/05/12,62
2022/05/13,90
2022/05/14,56
2022/05/15,70
2022/05/16,15
2022/05/17,45
2022/05/18,72
2022/05/19,45
2022/05/20,38
2022/05/21,45
2022/05/22,53
2022/05/23,10
2022/05/24,35
2022/05/25,28
2022/05/26,16
2022/05/27,41
2022/05/28,32
2022/05/29,30
2022/05/30,9
2022/05/31,1
2022/06/01,27
2022/06/02,34
2022/06/03,21
2022/06/04,15
2022/06/05,29
2022/06/06,11
2022/06/07,27
2022/06/08,22
2022/06/09,27
2022/06/10,21
2022/06/11,22
2022/06/12,29
2022/06/13,7
2022/06/14,19
2022/06/15,38
2022/06/16,34
2022/06/17,38
2022/06/18,21
2022/06/19,33
2022/06/20,22
2022/06/21,21
2022/06/22,52
2022/06/23,67
2022/06/24,45
2022/06/25,87
2022/06/26,86
2022/06/27,25
2022/06/28,45
2022/06/29,87
2022/06/30,72
2022/07/01,126
2022/07/02,84
2022/07/03,87
2022/07/04,77
2022/07/05,80
2022/07/06,201
2022/07/07,114
2022/07/08,124
2022/07/09,108
2022/07/10,121
2022/07/11,56
2022/07/12,92
2022/07/13,113
2022/07/14,199
2022/07/15,124
2022/07/16,93
2022/07/17,91
2022/07/18,63
2022/07/19,117
2022/07/20,109
2022/07/21,83
2022/07/22,96
2022/07/23,72
2022/07/24,90
2022/07/25,7
2022/07/26,89
2022/07/27,115
2022/07/28,63
2022/07/29,63
2022/07/30,67
2022/07/31,52
2022/08/01,34
2022/08/02,43
2022/08/03,58
2022/08/04,50
2022/08/05,36
2022/08/06,30
2022/08/07,53
2022/08/08,22
2022/08/09,33
2022/08/10,54
2022/08/11,44
2022/08/12,30
2022/08/13,36
2022/08/14,54
2022/08/15,33
2022/08/16,12
2022/08/17,42
2022/08/18,56
2022/08/19,47
2022/08/20,46
2022/08/21,61
2022/08/22,40
2022/08/23,40
2022/08/24,65
2022/08/25,40
2022/08/26,38
2022/08/27,48
2022/08/28,49
2022/08/29,20
2022/08/30,27
2022/08/31,40
2022/09/01,30
2022/09/02,26
2022/09/03,31
2022/09/04,29
2022/09/05,22
2022/09/06,18
2022/09/07,47
2022/09/08,30
2022/09/09,19
2022/09/10,21
2022/09/11,17
2022/09/12,13
2022/09/13,11
2022/09/14,29
2022/09/15,19
2022/09/16,14
2022/09/17,27
2022/09/18,17
2022/09/19,7
2022/09/20,31
2022/09/21,20
2022/09/22,42
2022/09/23,22
2022/09/24,17
2022/09/25,23
2022/09/26,6
2022/09/27,12
2022/09/28,30
2022/09/29,25
2022/09/30,28
2022/10/01,24
2022/10/02,37
2022/10/03,21
