Datas,Greenland
21/07/20,2
21/07/21,0
21/07/22,1
21/07/23,1
21/07/24,4
21/07/25,3
21/07/26,0
21/07/27,0
21/07/28,16
21/07/29,9
21/07/30,1
21/07/31,1
21/08/01,3
21/08/02,0
21/08/03,8
21/08/04,5
21/08/05,16
21/08/06,9
21/08/07,8
21/08/08,7
21/08/09,7
21/08/10,5
21/08/11,14
21/08/12,20
21/08/13,14
21/08/14,10
21/08/15,0
21/08/16,4
21/08/17,8
21/08/18,16
21/08/19,12
21/08/20,11
21/08/21,2
21/08/22,0
21/08/23,7
21/08/24,5
21/08/25,3
21/08/26,5
21/08/27,11
21/08/28,0
21/08/29,4
21/08/30,0
21/08/31,1
21/09/01,9
21/09/02,4
21/09/03,0
21/09/04,2
21/09/05,4
21/09/06,0
21/09/07,7
21/09/08,17
21/09/09,0
21/09/10,5
21/09/11,8
21/09/12,5
21/09/13,0
21/09/14,14
21/09/15,24
21/09/16,8
21/09/17,13
21/09/18,10
21/09/19,0
21/09/20,5
21/09/21,35
21/09/22,24
21/09/23,13
21/09/24,12
21/09/25,0
21/09/26,12
21/09/27,0
21/09/28,6
21/09/29,2
21/09/30,3
21/10/01,8
21/10/02,0
21/10/03,7
21/10/04,0
21/10/05,4
21/10/06,5
21/10/07,1
21/10/08,19
21/10/09,3
21/10/10,0
21/10/11,0
21/10/12,7
21/10/13,8
21/10/14,7
21/10/15,9
21/10/16,0
21/10/17,0
21/10/18,0
21/10/19,34
21/10/20,12
21/10/21,16
21/10/22,15
21/10/23,0
21/10/24,0
21/10/25,15
21/10/26,26
21/10/27,7
21/10/28,8
21/10/29,12
21/10/30,0
21/10/31,0
21/11/01,11
21/11/02,13
21/11/03,12
21/11/04,11
21/11/05,13
21/11/06,0
21/11/07,0
21/11/08,23
21/11/09,40
21/11/10,41
21/11/11,19
21/11/12,8
21/11/13,0
21/11/14,0
21/11/15,49
21/11/16,31
21/11/17,25
21/11/18,21
21/11/19,13
21/11/20,0
21/11/21,0
21/11/22,59
21/11/23,104
21/11/24,19
21/11/25,0
21/11/26,21
21/11/27,0
21/11/28,0
21/11/29,124
21/11/30,0
21/12/01,0
21/12/02,86
21/12/03,40
21/12/04,0
21/12/05,0
21/12/06,39
21/12/07,42
21/12/08,83
21/12/09,28
21/12/10,0
21/12/11,39
21/12/12,18
21/12/13,45
21/12/14,0
21/12/15,41
21/12/16,20
21/12/17,32
21/12/18,0
21/12/19,0
21/12/20,0
21/12/21,0
21/12/22,213
21/12/23,67
21/12/24,0
21/12/25,0
21/12/26,0
21/12/27,57
21/12/28,131
21/12/29,0
21/12/30,173
21/12/31,1
22/01/01,0
22/01/02,0
22/01/03,319
22/01/04,204
22/01/05,270
22/01/06,0
22/01/07,591
22/01/08,504
22/01/09,497
22/01/10,476
22/01/11,524
22/01/12,457
22/01/13,630
22/01/14,0
22/01/15,0
22/01/16,788
22/01/17,154
22/01/18,765
22/01/19,224
22/01/20,242
22/01/21,151
22/01/22,78
22/01/23,0
22/01/24,338
22/01/25,205
22/01/26,129
22/01/27,202
22/01/28,174
22/01/29,94
22/01/30,35
22/01/31,45
22/02/01,114
22/02/02,0
22/02/03,104
22/02/04,100
22/02/05,0
22/02/06,0
22/02/07,52
22/02/08,199
22/02/09,24
22/02/10,33
22/02/11,76
22/02/12,0
22/02/13,0
22/02/14,19
22/02/15,32
22/02/16,39
22/02/17,48
22/02/18,18
22/02/19,0
22/02/20,0
22/02/21,16
22/02/22,64
22/02/23,0
22/02/24,44
22/02/25,26
22/02/26,0
22/02/27,0
22/02/28,10
22/03/01,22
22/03/02,12
22/03/03,19
22/03/04,28
22/03/05,0
22/03/06,0
22/03/07,4
22/03/08,15
22/03/09,7
22/03/10,17
22/03/11,7
22/03/12,0
22/03/13,0
22/03/14,23
22/03/15,16
22/03/16,6
22/03/17,14
22/03/18,11
22/03/19,0
22/03/20,0
22/03/21,10
22/03/22,15
22/03/23,1
22/03/24,1
22/03/25,18
22/03/26,0
22/03/27,0
22/03/28,0
22/03/29,0
22/03/30,0
22/03/31,0
22/04/01,0
22/04/02,0
22/04/03,0
22/04/04,0
22/04/05,0
22/04/06,0
22/04/07,0
22/04/08,0
22/04/09,0
22/04/10,0
22/04/11,0
22/04/12,0
22/04/13,0
22/04/14,0
22/04/15,0
22/04/16,0
22/04/17,0
22/04/18,0
22/04/19,0
22/04/20,0
22/04/21,0
22/04/22,0
22/04/23,0
22/04/24,0
22/04/25,0
22/04/26,0
22/04/27,0
22/04/28,0
22/04/29,0
22/04/30,0
22/05/01,0
22/05/02,0
22/05/03,0
22/05/04,0
22/05/05,0
22/05/06,0
22/05/07,0
22/05/08,0
22/05/09,0
22/05/10,0
22/05/11,0
22/05/12,0
22/05/13,0
22/05/14,0
22/05/15,0
22/05/16,0
22/05/17,0
22/05/18,0
22/05/19,0
22/05/20,0
22/05/21,0
22/05/22,0
22/05/23,0
22/05/24,0
22/05/25,0
22/05/26,0
22/05/27,0
22/05/28,0
22/05/29,0
22/05/30,0
22/05/31,0
22/06/01,0
22/06/02,0
22/06/03,0
22/06/04,0
22/06/05,0
22/06/06,0
22/06/07,0
22/06/08,0
22/06/09,0
22/06/10,0
22/06/11,0
22/06/12,0
22/06/13,0
22/06/14,0
22/06/15,0
22/06/16,0
22/06/17,0
22/06/18,0
22/06/19,0
22/06/20,0
22/06/21,0
22/06/22,0
22/06/23,0
22/06/24,0
22/06/25,0
22/06/26,0
22/06/27,0
22/06/28,0
22/06/29,0
22/06/30,0
22/07/01,0
22/07/02,0
22/07/03,0
22/07/04,0
22/07/05,0
22/07/06,0
22/07/07,0
22/07/08,0
22/07/09,0
22/07/10,0
22/07/11,0
22/07/12,0
22/07/13,0
22/07/14,0
22/07/15,0
22/07/16,0
22/07/17,0
22/07/18,0
22/07/19,0
22/07/20,0
22/07/21,0
22/07/22,0
22/07/23,0
22/07/24,0
22/07/25,0
22/07/26,0
22/07/27,0
22/07/28,0
22/07/29,0
22/07/30,0
22/07/31,0
22/08/01,0
22/08/02,0
22/08/03,0
22/08/04,0
22/08/05,0
22/08/06,0
22/08/07,0
22/08/08,0
22/08/09,0
22/08/10,0
22/08/11,0
22/08/12,0
22/08/13,0
22/08/14,0
22/08/15,0
22/08/16,0
22/08/17,0
22/08/18,0
22/08/19,0
22/08/20,0
22/08/21,0
22/08/22,0
22/08/23,0
22/08/24,0
22/08/25,0
22/08/26,0
22/08/27,0
22/08/28,0
22/08/29,0
22/08/30,0
22/08/31,0
22/09/01,0
22/09/02,0
22/09/03,0
22/09/04,0
22/09/05,0
22/09/06,0
22/09/07,0
22/09/08,0
22/09/09,0
22/09/10,0
22/09/11,0
22/09/12,0
22/09/13,0
22/09/14,0
22/09/15,0
22/09/16,0
22/09/17,0
22/09/18,0
22/09/19,0
22/09/20,0
22/09/21,0
22/09/22,0
22/09/23,0
22/09/24,0
22/09/25,0
