Datas,Ulsan
08/13/2020,1
08/14/2020,1
08/15/2020,0
08/16/2020,3
08/17/2020,0
08/18/2020,3
08/19/2020,0
08/20/2020,0
08/21/2020,1
08/22/2020,3
08/23/2020,3
08/24/2020,1
08/25/2020,0
08/26/2020,2
08/27/2020,2
08/28/2020,1
08/29/2020,0
08/30/2020,3
08/31/2020,5
09/01/2020,6
09/02/2020,5
09/03/2020,8
09/04/2020,3
09/05/2020,1
09/06/2020,1
09/07/2020,3
09/08/2020,3
09/09/2020,4
09/10/2020,4
09/11/2020,5
09/12/2020,1
09/13/2020,7
09/14/2020,1
09/15/2020,0
09/16/2020,0
09/17/2020,0
09/18/2020,0
09/19/2020,0
09/20/2020,1
09/21/2020,0
09/22/2020,1
09/23/2020,2
09/24/2020,0
09/25/2020,0
09/26/2020,0
09/27/2020,0
09/28/2020,1
09/29/2020,0
09/30/2020,1
10/01/2020,0
10/02/2020,0
10/03/2020,0
10/04/2020,1
10/05/2020,4
10/06/2020,1
10/07/2020,1
10/08/2020,0
10/09/2020,0
10/10/2020,0
10/11/2020,1
10/12/2020,0
10/13/2020,0
10/14/2020,1
10/15/2020,0
10/16/2020,0
10/17/2020,0
10/18/2020,0
10/19/2020,0
10/20/2020,0
10/21/2020,1
10/22/2020,0
10/23/2020,0
10/24/2020,0
10/25/2020,1
10/26/2020,1
10/27/2020,0
10/28/2020,0
10/29/2020,2
10/30/2020,2
10/31/2020,0
11/01/2020,0
11/02/2020,1
11/03/2020,0
11/04/2020,1
11/05/2020,0
11/06/2020,0
11/07/2020,0
11/08/2020,1
11/09/2020,0
11/10/2020,0
11/11/2020,0
11/12/2020,1
11/13/2020,0
11/14/2020,0
11/15/2020,0
11/16/2020,0
11/17/2020,0
11/18/2020,3
11/19/2020,0
11/20/2020,0
11/21/2020,1
11/22/2020,1
11/23/2020,1
11/24/2020,2
11/25/2020,3
11/26/2020,7
11/27/2020,7
11/28/2020,3
11/29/2020,0
11/30/2020,3
12/01/2020,3
12/02/2020,10
12/03/2020,2
12/04/2020,5
12/05/2020,1
12/06/2020,3
12/07/2020,38
12/08/2020,61
12/09/2020,14
12/10/2020,16
12/11/2020,47
12/12/2020,23
12/13/2020,8
12/14/2020,5
12/15/2020,49
12/16/2020,6
12/17/2020,10
12/18/2020,31
12/19/2020,9
12/20/2020,6
12/21/2020,17
12/22/2020,6
12/23/2020,18
12/24/2020,9
12/25/2020,12
12/26/2020,8
12/27/2020,1
12/28/2020,2
12/29/2020,4
12/30/2020,16
12/31/2020,35
01/01/2021,43
01/02/2021,17
01/03/2021,7
01/04/2021,5
01/05/2021,4
01/06/2021,2
01/07/2021,9
01/08/2021,10
01/09/2021,8
01/10/2021,34
01/11/2021,14
01/12/2021,7
01/13/2021,11
01/14/2021,10
01/15/2021,6
01/16/2021,8
01/17/2021,18
01/18/2021,6
01/19/2021,8
01/20/2021,3
01/21/2021,3
01/22/2021,3
01/23/2021,2
01/24/2021,2
01/25/2021,2
01/26/2021,0
01/27/2021,6
01/28/2021,6
01/29/2021,2
01/30/2021,2
01/31/2021,6
02/01/2021,1
02/02/2021,1
02/03/2021,0
02/04/2021,2
02/05/2021,0
02/06/2021,2
02/07/2021,1
02/08/2021,1
02/09/2021,3
02/10/2021,0
02/11/2021,2
02/12/2021,0
02/13/2021,2
02/14/2021,3
02/15/2021,4
02/16/2021,7
02/17/2021,9
02/18/2021,6
02/19/2021,12
02/20/2021,1
02/21/2021,4
02/22/2021,1
02/23/2021,2
02/24/2021,1
02/25/2021,2
02/26/2021,1
02/27/2021,3
02/28/2021,5
03/01/2021,2
03/02/2021,0
03/03/2021,1
03/04/2021,0
03/05/2021,3
03/06/2021,4
03/07/2021,2
03/08/2021,3
03/09/2021,11
03/10/2021,21
03/11/2021,23
03/12/2021,5
03/13/2021,1
03/14/2021,1
03/15/2021,2
03/16/2021,3
03/17/2021,4
03/18/2021,5
03/19/2021,3
03/20/2021,3
03/21/2021,7
03/22/2021,1
03/23/2021,8
03/24/2021,2
03/25/2021,0
03/26/2021,0
03/27/2021,5
03/28/2021,4
03/29/2021,3
03/30/2021,3
03/31/2021,11
04/01/2021,5
04/02/2021,7
04/03/2021,3
04/04/2021,11
04/05/2021,1
04/06/2021,4
04/07/2021,26
04/08/2021,13
04/09/2021,9
04/10/2021,25
04/11/2021,11
04/12/2021,34
04/13/2021,32
04/14/2021,30
04/15/2021,21
04/16/2021,24
04/17/2021,26
04/18/2021,21
04/19/2021,28
04/20/2021,21
04/21/2021,39
04/22/2021,32
04/23/2021,38
04/24/2021,50
04/25/2021,43
04/26/2021,13
04/27/2021,18
04/28/2021,33
04/29/2021,46
04/30/2021,61
05/01/2021,52
05/02/2021,52
05/03/2021,21
05/04/2021,29
05/05/2021,22
05/06/2021,38
05/07/2021,35
05/08/2021,48
05/09/2021,28
05/10/2021,24
05/11/2021,19
05/12/2021,31
05/13/2021,31
05/14/2021,26
05/15/2021,22
05/16/2021,11
05/17/2021,16
05/18/2021,6
05/19/2021,27
05/20/2021,25
05/21/2021,13
05/22/2021,29
05/23/2021,24
05/24/2021,12
05/25/2021,7
05/26/2021,15
05/27/2021,6
05/28/2021,12
05/29/2021,8
05/30/2021,7
05/31/2021,3
06/01/2021,2
06/02/2021,14
06/03/2021,8
06/04/2021,15
06/05/2021,5
06/06/2021,7
06/07/2021,10
06/08/2021,3
06/09/2021,6
06/10/2021,7
06/11/2021,15
06/12/2021,6
06/13/2021,2
06/14/2021,0
06/15/2021,4
06/16/2021,7
06/17/2021,22
06/18/2021,11
06/19/2021,5
06/20/2021,5
06/21/2021,0
06/22/2021,5
06/23/2021,5
06/24/2021,13
06/25/2021,16
06/26/2021,22
06/27/2021,6
06/28/2021,8
06/29/2021,13
06/30/2021,4
07/01/2021,2
07/02/2021,11
07/03/2021,1
07/04/2021,13
07/05/2021,1
07/06/2021,3
07/07/2021,1
07/08/2021,9
07/09/2021,16
07/10/2021,30
07/11/2021,22
07/12/2021,8
07/13/2021,7
07/14/2021,11
07/15/2021,19
07/16/2021,14
07/17/2021,11
07/18/2021,12
07/19/2021,14
07/20/2021,9
07/21/2021,18
07/22/2021,25
07/23/2021,22
07/24/2021,19
07/25/2021,9
07/26/2021,3
07/27/2021,5
07/28/2021,18
07/29/2021,14
07/30/2021,18
07/31/2021,17
08/01/2021,20
08/02/2021,13
08/03/2021,8
08/04/2021,15
08/05/2021,13
08/06/2021,24
08/07/2021,21
08/08/2021,58
08/09/2021,25
08/10/2021,51
08/11/2021,48
08/12/2021,54
08/13/2021,39
08/14/2021,26
08/15/2021,29
08/16/2021,31
08/17/2021,22
08/18/2021,32
08/19/2021,68
08/20/2021,30
08/21/2021,27
08/22/2021,36
08/23/2021,37
08/24/2021,26
08/25/2021,38
08/26/2021,40
08/27/2021,20
08/28/2021,22
08/29/2021,36
08/30/2021,36
08/31/2021,24
09/01/2021,71
09/02/2021,42
09/03/2021,35
09/04/2021,47
09/05/2021,41
09/06/2021,39
09/07/2021,47
09/08/2021,49
09/09/2021,70
09/10/2021,41
09/11/2021,31
09/12/2021,34
09/13/2021,17
09/14/2021,35
09/15/2021,31
09/16/2021,31
09/17/2021,17
09/18/2021,34
09/19/2021,30
09/20/2021,15
09/21/2021,16
09/22/2021,20
09/23/2021,23
09/24/2021,30
09/25/2021,26
09/26/2021,27
09/27/2021,20
09/28/2021,17
09/29/2021,27
09/30/2021,27
10/01/2021,24
10/02/2021,19
10/03/2021,18
10/04/2021,5
10/05/2021,12
10/06/2021,4
10/07/2021,14
10/08/2021,16
10/09/2021,13
10/10/2021,9
10/11/2021,11
10/12/2021,17
10/13/2021,7
10/14/2021,6
10/15/2021,8
10/16/2021,7
10/17/2021,4
10/18/2021,3
10/19/2021,0
10/20/2021,7
10/21/2021,1
10/22/2021,3
10/23/2021,6
10/24/2021,3
10/25/2021,4
10/26/2021,9
10/27/2021,8
10/28/2021,6
10/29/2021,4
10/30/2021,3
10/31/2021,5
11/01/2021,12
11/02/2021,7
11/03/2021,7
11/04/2021,4
11/05/2021,5
11/06/2021,12
11/07/2021,1
11/08/2021,5
11/09/2021,4
11/10/2021,5
11/11/2021,20
11/12/2021,4
11/13/2021,1
11/14/2021,7
11/15/2021,4
11/16/2021,9
11/17/2021,14
11/18/2021,10
11/19/2021,4
11/20/2021,5
11/21/2021,9
11/22/2021,10
11/23/2021,7
11/24/2021,11
11/25/2021,13
11/26/2021,13
11/27/2021,7
11/28/2021,4
11/29/2021,2
11/30/2021,3
12/01/2021,17
12/02/2021,18
12/03/2021,20
12/04/2021,7
12/05/2021,16
12/06/2021,15
12/07/2021,14
12/08/2021,26
12/09/2021,49
12/10/2021,43
12/11/2021,34
12/12/2021,50
12/13/2021,39
12/14/2021,85
12/15/2021,59
12/16/2021,76
12/17/2021,57
12/18/2021,46
12/19/2021,39
12/20/2021,36
12/21/2021,35
12/22/2021,39
12/23/2021,44
12/24/2021,43
12/25/2021,63
12/26/2021,53
12/27/2021,42
12/28/2021,39
12/29/2021,49
12/30/2021,40
12/31/2021,40
01/01/2022,50
01/02/2022,58
01/03/2022,38
01/04/2022,34
01/05/2022,48
01/06/2022,30
01/07/2022,38
01/08/2022,27
01/09/2022,34
01/10/2022,23
01/11/2022,22
01/12/2022,27
01/13/2022,27
01/14/2022,40
01/15/2022,17
01/16/2022,19
01/17/2022,19
01/18/2022,35
01/19/2022,44
01/20/2022,72
01/21/2022,82
01/22/2022,51
01/23/2022,91
01/24/2022,69
01/25/2022,101
01/26/2022,148
01/27/2022,148
01/28/2022,158
01/29/2022,199
01/30/2022,212
01/31/2022,202
02/01/2022,253
02/02/2022,300
02/03/2022,270
02/04/2022,471
02/05/2022,503
02/06/2022,571
02/07/2022,593
02/08/2022,501
02/09/2022,791
02/10/2022,732
02/11/2022,795
02/12/2022,726
02/13/2022,805
02/14/2022,676
02/15/2022,775
02/16/2022,1758
02/17/2022,1688
02/18/2022,1947
02/19/2022,1829
02/20/2022,1919
02/21/2022,1593
02/22/2022,1939
02/23/2022,3447
02/24/2022,3231
02/25/2022,3532
02/26/2022,3128
02/27/2022,3315
02/28/2022,2484
03/01/2022,2944
03/02/2022,5121
03/03/2022,3389
03/04/2022,5813
03/05/2022,5581
03/06/2022,5015
03/07/2022,3913
03/08/2022,4560
03/09/2022,6582
03/10/2022,8788
03/11/2022,5261
03/12/2022,9098
03/13/2022,9167
03/14/2022,5335
03/15/2022,8302
03/16/2022,10362
03/17/2022,14766
03/18/2022,7802
03/19/2022,7849
03/20/2022,7321
03/21/2022,4238
03/22/2022,8219
03/23/2022,11028
03/24/2022,8355
03/25/2022,7430
03/26/2022,7447
03/27/2022,6860
03/28/2022,3759
03/29/2022,7573
03/30/2022,9094
03/31/2022,6307
04/01/2022,5813
04/02/2022,5594
04/03/2022,5049
04/04/2022,2481
04/05/2022,5458
04/06/2022,6286
04/07/2022,4647
04/08/2022,4243
04/09/2022,3756
04/10/2022,3832
04/11/2022,1782
04/12/2022,4192
04/13/2022,4050
04/14/2022,3043
04/15/2022,2712
04/16/2022,2147
04/17/2022,2018
04/18/2022,931
04/19/2022,2387
04/20/2022,2501
04/21/2022,1946
04/22/2022,1852
04/23/2022,1740
04/24/2022,1689
04/25/2022,689
04/26/2022,1752
04/27/2022,1772
04/28/2022,1389
04/29/2022,1141
04/30/2022,995
05/01/2022,1050
05/02/2022,411
05/03/2022,1195
05/04/2022,1119
05/05/2022,1043
05/06/2022,699
05/07/2022,879
05/08/2022,1118
05/09/2022,474
05/10/2022,1320
05/11/2022,1258
05/12/2022,964
05/13/2022,816
05/14/2022,781
05/15/2022,767
05/16/2022,320
05/17/2022,834
05/18/2022,856
05/19/2022,753
05/20/2022,660
05/21/2022,626
05/22/2022,651
05/23/2022,210
05/24/2022,753
05/25/2022,702
05/26/2022,572
05/27/2022,506
05/28/2022,433
05/29/2022,394
05/30/2022,109
05/31/2022,494
06/01/2022,461
06/02/2022,321
06/03/2022,362
06/04/2022,331
06/05/2022,307
06/06/2022,105
06/07/2022,187
06/08/2022,368
06/09/2022,426
06/10/2022,303
06/11/2022,294
06/12/2022,296
06/13/2022,109
06/14/2022,306
06/15/2022,320
06/16/2022,284
06/17/2022,256
06/18/2022,244
06/19/2022,242
06/20/2022,115
06/21/2022,317
06/22/2022,332
06/23/2022,241
06/24/2022,179
06/25/2022,191
06/26/2022,229
06/27/2022,86
06/28/2022,269
06/29/2022,341
06/30/2022,281
07/01/2022,291
07/02/2022,311
07/03/2022,285
07/04/2022,147
07/05/2022,465
07/06/2022,518
07/07/2022,480
07/08/2022,490
07/09/2022,580
07/10/2022,646
07/11/2022,330
07/12/2022,1000
07/13/2022,1129
07/14/2022,1086
07/15/2022,1054
07/16/2022,1178
07/17/2022,1369
07/18/2022,609
07/19/2022,2067
07/20/2022,2106
07/21/2022,2020
07/22/2022,1866
07/23/2022,1865
07/24/2022,1984
07/25/2022,702
07/26/2022,2393
07/27/2022,2673
07/28/2022,2377
07/29/2022,2157
07/30/2022,2096
07/31/2022,2069
08/01/2022,1096
08/02/2022,2539
08/03/2022,2855
08/04/2022,2877
08/05/2022,2936
08/06/2022,2956
08/07/2022,3132
08/08/2022,1601
08/09/2022,3520
08/10/2022,4190
08/11/2022,3243
08/12/2022,3103
08/13/2022,2963
08/14/2022,2810
08/15/2022,1595
08/16/2022,2104
08/17/2022,3877
08/18/2022,4208
08/19/2022,3137
08/20/2022,3149
08/21/2022,2862
08/22/2022,1282
08/23/2022,3367
08/24/2022,3264
08/25/2022,2553
08/26/2022,2159
08/27/2022,2062
08/28/2022,1916
08/29/2022,814
08/30/2022,2103
08/31/2022,1884
09/01/2022,1600
09/02/2022,1460
09/03/2022,1449
09/04/2022,1463
09/05/2022,620
09/06/2022,1692
09/07/2022,1368
09/08/2022,1411
09/09/2022,1191
09/10/2022,802
09/11/2022,452
09/12/2022,575
09/13/2022,993
09/14/2022,1637
09/15/2022,1334
09/16/2022,936
09/17/2022,718
09/18/2022,653
09/19/2022,293
09/20/2022,678
09/21/2022,737
09/22/2022,532
09/23/2022,461
09/24/2022,462
09/25/2022,451
09/26/2022,214
09/27/2022,564
09/28/2022,621
09/29/2022,498
09/30/2022,486
10/01/2022,454
10/02/2022,465
10/03/2022,189
10/04/2022,357
10/05/2022,539
10/06/2022,579
10/07/2022,353
10/08/2022,365
10/09/2022,310
10/10/2022,187
10/11/2022,345
10/12/2022,542
10/13/2022,537
10/14/2022,488
10/15/2022,461
10/16/2022,440
10/17/2022,210
10/18/2022,617
10/19/2022,575
10/20/2022,505
10/21/2022,450
10/22/2022,452
10/23/2022,534
10/24/2022,293
10/25/2022,771
10/26/2022,791
10/27/2022,726
10/28/2022,704
10/29/2022,764
10/30/2022,637
10/31/2022,396
11/01/2022,970
11/02/2022,990
11/03/2022,787
11/04/2022,731
11/05/2022,745
11/06/2022,768
11/07/2022,280
11/08/2022,993
11/09/2022,1189
11/10/2022,1017
11/11/2022,984
11/12/2022,1020
11/13/2022,963
11/14/2022,465
11/15/2022,1302
11/16/2022,1273
11/17/2022,1134
11/18/2022,874
11/19/2022,937
11/20/2022,1077
11/21/2022,349
11/22/2022,1234
11/23/2022,1421
11/24/2022,1117
11/25/2022,903
11/26/2022,986
11/27/2022,959
11/28/2022,342
11/29/2022,1259
11/30/2022,1290
12/01/2022,1126
12/02/2022,982
