Datas,Gyeongnam
08/13/2020,1
08/14/2020,0
08/15/2020,1
08/16/2020,2
08/17/2020,0
08/18/2020,0
08/19/2020,1
08/20/2020,3
08/21/2020,4
08/22/2020,9
08/23/2020,9
08/24/2020,1
08/25/2020,2
08/26/2020,5
08/27/2020,8
08/28/2020,4
08/29/2020,12
08/30/2020,7
08/31/2020,1
09/01/2020,3
09/02/2020,1
09/03/2020,0
09/04/2020,3
09/05/2020,8
09/06/2020,6
09/07/2020,3
09/08/2020,0
09/09/2020,1
09/10/2020,1
09/11/2020,0
09/12/2020,3
09/13/2020,3
09/14/2020,1
09/15/2020,2
09/16/2020,3
09/17/2020,3
09/18/2020,4
09/19/2020,1
09/20/2020,1
09/21/2020,2
09/22/2020,1
09/23/2020,0
09/24/2020,1
09/25/2020,1
09/26/2020,1
09/27/2020,1
09/28/2020,1
09/29/2020,0
09/30/2020,0
10/01/2020,0
10/02/2020,0
10/03/2020,0
10/04/2020,0
10/05/2020,1
10/06/2020,0
10/07/2020,0
10/08/2020,3
10/09/2020,1
10/10/2020,0
10/11/2020,0
10/12/2020,1
10/13/2020,0
10/14/2020,0
10/15/2020,0
10/16/2020,0
10/17/2020,2
10/18/2020,0
10/19/2020,1
10/20/2020,1
10/21/2020,0
10/22/2020,0
10/23/2020,0
10/24/2020,0
10/25/2020,2
10/26/2020,3
10/27/2020,5
10/28/2020,3
10/29/2020,0
10/30/2020,1
10/31/2020,1
11/01/2020,2
11/02/2020,1
11/03/2020,1
11/04/2020,0
11/05/2020,5
11/06/2020,13
11/07/2020,5
11/08/2020,10
11/09/2020,4
11/10/2020,2
11/11/2020,11
11/12/2020,4
11/13/2020,3
11/14/2020,4
11/15/2020,3
11/16/2020,4
11/17/2020,3
11/18/2020,9
11/19/2020,28
11/20/2020,18
11/21/2020,11
11/22/2020,19
11/23/2020,2
11/24/2020,3
11/25/2020,11
11/26/2020,45
11/27/2020,39
11/28/2020,14
11/29/2020,15
11/30/2020,20
12/01/2020,11
12/02/2020,7
12/03/2020,13
12/04/2020,16
12/05/2020,27
12/06/2020,16
12/07/2020,16
12/08/2020,13
12/09/2020,29
12/10/2020,16
12/11/2020,12
12/12/2020,17
12/13/2020,24
12/14/2020,28
12/15/2020,16
12/16/2020,19
12/17/2020,30
12/18/2020,44
12/19/2020,32
12/20/2020,51
12/21/2020,15
12/22/2020,18
12/23/2020,29
12/24/2020,21
12/25/2020,15
12/26/2020,22
12/27/2020,44
12/28/2020,25
12/29/2020,16
12/30/2020,36
12/31/2020,22
01/01/2021,35
01/02/2021,37
01/03/2021,12
01/04/2021,33
01/05/2021,21
01/06/2021,29
01/07/2021,20
01/08/2021,22
01/09/2021,26
01/10/2021,19
01/11/2021,13
01/12/2021,55
01/13/2021,42
01/14/2021,16
01/15/2021,22
01/16/2021,20
01/17/2021,18
01/18/2021,22
01/19/2021,11
01/20/2021,19
01/21/2021,16
01/22/2021,21
01/23/2021,32
01/24/2021,17
01/25/2021,11
01/26/2021,12
01/27/2021,21
01/28/2021,19
01/29/2021,15
01/30/2021,12
01/31/2021,18
02/01/2021,4
02/02/2021,11
02/03/2021,8
02/04/2021,8
02/05/2021,6
02/06/2021,12
02/07/2021,4
02/08/2021,4
02/09/2021,7
02/10/2021,9
02/11/2021,5
02/12/2021,4
02/13/2021,4
02/14/2021,6
02/15/2021,3
02/16/2021,8
02/17/2021,8
02/18/2021,7
02/19/2021,9
02/20/2021,8
02/21/2021,7
02/22/2021,6
02/23/2021,5
02/24/2021,8
02/25/2021,2
02/26/2021,6
02/27/2021,1
02/28/2021,2
03/01/2021,5
03/02/2021,5
03/03/2021,5
03/04/2021,10
03/05/2021,3
03/06/2021,5
03/07/2021,3
03/08/2021,1
03/09/2021,1
03/10/2021,7
03/11/2021,8
03/12/2021,56
03/13/2021,62
03/14/2021,53
03/15/2021,31
03/16/2021,65
03/17/2021,45
03/18/2021,35
03/19/2021,42
03/20/2021,31
03/21/2021,54
03/22/2021,37
03/23/2021,29
03/24/2021,27
03/25/2021,30
03/26/2021,37
03/27/2021,19
03/28/2021,13
03/29/2021,20
03/30/2021,16
03/31/2021,22
04/01/2021,21
04/02/2021,18
04/03/2021,28
04/04/2021,14
04/05/2021,12
04/06/2021,7
04/07/2021,25
04/08/2021,11
04/09/2021,15
04/10/2021,46
04/11/2021,16
04/12/2021,17
04/13/2021,15
04/14/2021,27
04/15/2021,24
04/16/2021,44
04/17/2021,38
04/18/2021,67
04/19/2021,35
04/20/2021,29
04/21/2021,41
04/22/2021,58
04/23/2021,63
04/24/2021,52
04/25/2021,45
04/26/2021,29
04/27/2021,28
04/28/2021,55
04/29/2021,38
04/30/2021,37
05/01/2021,43
05/02/2021,61
05/03/2021,44
05/04/2021,36
05/05/2021,27
05/06/2021,17
05/07/2021,32
05/08/2021,37
05/09/2021,30
05/10/2021,16
05/11/2021,10
05/12/2021,16
05/13/2021,32
05/14/2021,32
05/15/2021,40
05/16/2021,45
05/17/2021,30
05/18/2021,16
05/19/2021,16
05/20/2021,12
05/21/2021,18
05/22/2021,21
05/23/2021,17
05/24/2021,17
05/25/2021,14
05/26/2021,20
05/27/2021,18
05/28/2021,21
05/29/2021,20
05/30/2021,10
05/31/2021,16
06/01/2021,8
06/02/2021,21
06/03/2021,23
06/04/2021,44
06/05/2021,20
06/06/2021,17
06/07/2021,28
06/08/2021,48
06/09/2021,39
06/10/2021,33
06/11/2021,20
06/12/2021,25
06/13/2021,8
06/14/2021,13
06/15/2021,3
06/16/2021,7
06/17/2021,5
06/18/2021,14
06/19/2021,11
06/20/2021,11
06/21/2021,13
06/22/2021,11
06/23/2021,18
06/24/2021,23
06/25/2021,17
06/26/2021,12
06/27/2021,14
06/28/2021,10
06/29/2021,15
06/30/2021,17
07/01/2021,10
07/02/2021,13
07/03/2021,10
07/04/2021,15
07/05/2021,22
07/06/2021,19
07/07/2021,15
07/08/2021,10
07/09/2021,17
07/10/2021,36
07/11/2021,67
07/12/2021,40
07/13/2021,51
07/14/2021,89
07/15/2021,88
07/16/2021,80
07/17/2021,89
07/18/2021,99
07/19/2021,74
07/20/2021,57
07/21/2021,89
07/22/2021,91
07/23/2021,93
07/24/2021,111
07/25/2021,119
07/26/2021,78
07/27/2021,88
07/28/2021,98
07/29/2021,90
07/30/2021,99
07/31/2021,99
08/01/2021,84
08/02/2021,84
08/03/2021,72
08/04/2021,114
08/05/2021,82
08/06/2021,98
08/07/2021,131
08/08/2021,118
08/09/2021,88
08/10/2021,110
08/11/2021,141
08/12/2021,110
08/13/2021,125
08/14/2021,103
08/15/2021,93
08/16/2021,86
08/17/2021,106
08/18/2021,105
08/19/2021,109
08/20/2021,90
08/21/2021,79
08/22/2021,57
08/23/2021,54
08/24/2021,69
08/25/2021,104
08/26/2021,68
08/27/2021,73
08/28/2021,53
08/29/2021,53
08/30/2021,62
08/31/2021,56
09/01/2021,53
09/02/2021,54
09/03/2021,51
09/04/2021,52
09/05/2021,52
09/06/2021,57
09/07/2021,87
09/08/2021,70
09/09/2021,77
09/10/2021,45
09/11/2021,38
09/12/2021,46
09/13/2021,23
09/14/2021,22
09/15/2021,28
09/16/2021,33
09/17/2021,35
09/18/2021,43
09/19/2021,22
09/20/2021,32
09/21/2021,26
09/22/2021,29
09/23/2021,28
09/24/2021,38
09/25/2021,47
09/26/2021,73
09/27/2021,101
09/28/2021,67
09/29/2021,84
09/30/2021,67
10/01/2021,69
10/02/2021,108
10/03/2021,65
10/04/2021,47
10/05/2021,70
10/06/2021,120
10/07/2021,96
10/08/2021,55
10/09/2021,73
10/10/2021,39
10/11/2021,34
10/12/2021,17
10/13/2021,30
10/14/2021,35
10/15/2021,13
10/16/2021,17
10/17/2021,30
10/18/2021,29
10/19/2021,20
10/20/2021,33
10/21/2021,20
10/22/2021,34
10/23/2021,72
10/24/2021,27
10/25/2021,18
10/26/2021,29
10/27/2021,45
10/28/2021,35
10/29/2021,34
10/30/2021,173
10/31/2021,61
11/01/2021,50
11/02/2021,54
11/03/2021,108
11/04/2021,36
11/05/2021,33
11/06/2021,73
11/07/2021,46
11/08/2021,40
11/09/2021,77
11/10/2021,60
11/11/2021,76
11/12/2021,68
11/13/2021,41
11/14/2021,44
11/15/2021,46
11/16/2021,45
11/17/2021,66
11/18/2021,98
11/19/2021,78
11/20/2021,79
11/21/2021,76
11/22/2021,65
11/23/2021,80
11/24/2021,87
11/25/2021,74
11/26/2021,86
11/27/2021,86
11/28/2021,89
11/29/2021,86
11/30/2021,60
12/01/2021,126
12/02/2021,94
12/03/2021,99
12/04/2021,114
12/05/2021,138
12/06/2021,121
12/07/2021,129
12/08/2021,156
12/09/2021,193
12/10/2021,206
12/11/2021,193
12/12/2021,198
12/13/2021,218
12/14/2021,181
12/15/2021,195
12/16/2021,199
12/17/2021,171
12/18/2021,211
12/19/2021,215
12/20/2021,156
12/21/2021,184
12/22/2021,252
12/23/2021,200
12/24/2021,230
12/25/2021,213
12/26/2021,201
12/27/2021,200
12/28/2021,176
12/29/2021,265
12/30/2021,196
12/31/2021,231
01/01/2022,162
01/02/2022,141
01/03/2022,132
01/04/2022,116
01/05/2022,114
01/06/2022,103
01/07/2022,102
01/08/2022,101
01/09/2022,97
01/10/2022,80
01/11/2022,92
01/12/2022,119
01/13/2022,115
01/14/2022,126
01/15/2022,116
01/16/2022,123
01/17/2022,119
01/18/2022,142
01/19/2022,201
01/20/2022,223
01/21/2022,188
01/22/2022,220
01/23/2022,226
01/24/2022,234
01/25/2022,344
01/26/2022,541
01/27/2022,660
01/28/2022,603
01/29/2022,697
01/30/2022,629
01/31/2022,753
02/01/2022,858
02/02/2022,901
02/03/2022,910
02/04/2022,1064
02/05/2022,1483
02/06/2022,1763
02/07/2022,1672
02/08/2022,1901
02/09/2022,1943
02/10/2022,2339
02/11/2022,2191
02/12/2022,1699
02/13/2022,2666
02/14/2022,2805
02/15/2022,2770
02/16/2022,4448
02/17/2022,4480
02/18/2022,4622
02/19/2022,4417
02/20/2022,5092
02/21/2022,5045
02/22/2022,4839
02/23/2022,8023
02/24/2022,9215
02/25/2022,8899
02/26/2022,8645
02/27/2022,9246
02/28/2022,8413
03/01/2022,8031
03/02/2022,13200
03/03/2022,11944
03/04/2022,15998
03/05/2022,15155
03/06/2022,14424
03/07/2022,13450
03/08/2022,14028
03/09/2022,22006
03/10/2022,19411
03/11/2022,21428
03/12/2022,24280
03/13/2022,26098
03/14/2022,23765
03/15/2022,23928
03/16/2022,21894
03/17/2022,44533
03/18/2022,23720
03/19/2022,22733
03/20/2022,24334
03/21/2022,11968
03/22/2022,24702
03/23/2022,32188
03/24/2022,25063
03/25/2022,21665
03/26/2022,22677
03/27/2022,20550
03/28/2022,11621
03/29/2022,22496
03/30/2022,27035
03/31/2022,19314
04/01/2022,17252
04/02/2022,15942
04/03/2022,15119
04/04/2022,7385
04/05/2022,16185
04/06/2022,17177
04/07/2022,13465
04/08/2022,12192
04/09/2022,10858
04/10/2022,10180
04/11/2022,5081
04/12/2022,12561
04/13/2022,11338
04/14/2022,8764
04/15/2022,7112
04/16/2022,6354
04/17/2022,5516
04/18/2022,2364
04/19/2022,7106
04/20/2022,6335
04/21/2022,5572
04/22/2022,4625
04/23/2022,4310
04/24/2022,3866
04/25/2022,1973
04/26/2022,5180
04/27/2022,4653
04/28/2022,3728
04/29/2022,3239
04/30/2022,2717
05/01/2022,2486
05/02/2022,1184
05/03/2022,3619
05/04/2022,3094
05/05/2022,2607
05/06/2022,1653
05/07/2022,2517
05/08/2022,2782
05/09/2022,1375
05/10/2022,3318
05/11/2022,2794
05/12/2022,2259
05/13/2022,2081
05/14/2022,1959
05/15/2022,1734
05/16/2022,779
05/17/2022,2281
05/18/2022,1929
05/19/2022,1756
05/20/2022,1509
05/21/2022,1515
05/22/2022,1272
05/23/2022,553
05/24/2022,1829
05/25/2022,1476
05/26/2022,1269
05/27/2022,1101
05/28/2022,937
05/29/2022,817
05/30/2022,353
05/31/2022,1153
06/01/2022,985
06/02/2022,591
06/03/2022,826
06/04/2022,688
06/05/2022,572
06/06/2022,268
06/07/2022,409
06/08/2022,746
06/09/2022,697
06/10/2022,550
06/11/2022,471
06/12/2022,440
06/13/2022,195
06/14/2022,617
06/15/2022,537
06/16/2022,441
06/17/2022,522
06/18/2022,480
06/19/2022,374
06/20/2022,194
06/21/2022,577
06/22/2022,539
06/23/2022,466
06/24/2022,399
06/25/2022,405
06/26/2022,341
06/27/2022,211
06/28/2022,637
06/29/2022,578
06/30/2022,560
07/01/2022,556
07/02/2022,576
07/03/2022,587
07/04/2022,332
07/05/2022,1074
07/06/2022,1066
07/07/2022,971
07/08/2022,1039
07/09/2022,1094
07/10/2022,1060
07/11/2022,658
07/12/2022,2105
07/13/2022,2166
07/14/2022,2085
07/15/2022,2064
07/16/2022,2299
07/17/2022,2231
07/18/2022,1164
07/19/2022,3968
07/20/2022,3845
07/21/2022,3479
07/22/2022,3564
07/23/2022,3777
07/24/2022,3515
07/25/2022,1947
07/26/2022,5462
07/27/2022,5480
07/28/2022,4435
07/29/2022,4446
07/30/2022,4447
07/31/2022,3971
08/01/2022,2255
08/02/2022,6002
08/03/2022,6378
08/04/2022,5814
08/05/2022,6383
08/06/2022,6760
08/07/2022,6735
08/08/2022,3048
08/09/2022,9437
08/10/2022,8885
08/11/2022,8208
08/12/2022,7768
08/13/2022,7762
08/14/2022,7714
08/15/2022,3933
08/16/2022,5568
08/17/2022,12719
08/18/2022,11630
08/19/2022,9489
08/20/2022,8836
08/21/2022,7598
08/22/2022,3788
08/23/2022,10315
08/24/2022,9617
08/25/2022,7981
08/26/2022,6851
08/27/2022,6910
08/28/2022,6137
08/29/2022,2570
08/30/2022,7762
08/31/2022,6779
09/01/2022,5372
09/02/2022,5363
09/03/2022,4977
09/04/2022,4607
09/05/2022,2425
09/06/2022,6416
09/07/2022,5239
09/08/2022,4750
09/09/2022,4584
09/10/2022,2991
09/11/2022,1818
09/12/2022,2435
09/13/2022,3777
09/14/2022,5884
09/15/2022,4637
09/16/2022,3118
09/17/2022,2620
09/18/2022,2250
09/19/2022,1026
09/20/2022,2866
09/21/2022,2300
09/22/2022,1982
09/23/2022,1641
09/24/2022,1768
09/25/2022,1535
09/26/2022,740
09/27/2022,2214
09/28/2022,1940
09/29/2022,1738
09/30/2022,1524
10/01/2022,1531
10/02/2022,1364
10/03/2022,690
10/04/2022,975
10/05/2022,1946
10/06/2022,1567
10/07/2022,1226
10/08/2022,1057
10/09/2022,1107
10/10/2022,409
10/11/2022,915
10/12/2022,1544
10/13/2022,1416
10/14/2022,1190
10/15/2022,1091
10/16/2022,1036
10/17/2022,572
10/18/2022,1609
10/19/2022,1440
10/20/2022,1121
10/21/2022,1115
10/22/2022,1222
10/23/2022,1283
10/24/2022,645
10/25/2022,2030
10/26/2022,1877
10/27/2022,1654
10/28/2022,1664
10/29/2022,1666
10/30/2022,1553
10/31/2022,786
11/01/2022,2608
11/02/2022,2367
11/03/2022,2134
11/04/2022,1916
11/05/2022,1859
11/06/2022,1695
11/07/2022,738
11/08/2022,2687
11/09/2022,2831
11/10/2022,2546
11/11/2022,2522
11/12/2022,2671
11/13/2022,2321
11/14/2022,1277
11/15/2022,3901
11/16/2022,3412
11/17/2022,2780
11/18/2022,2453
11/19/2022,2630
11/20/2022,2486
11/21/2022,1130
11/22/2022,4028
11/23/2022,3815
11/24/2022,3350
11/25/2022,2915
11/26/2022,2848
11/27/2022,2572
11/28/2022,1260
11/29/2022,3930
11/30/2022,3809
12/01/2022,3184
12/02/2022,2740
