Datas,Jeonnam
08/13/2020,0
08/14/2020,0
08/15/2020,0
08/16/2020,0
08/17/2020,0
08/18/2020,0
08/19/2020,2
08/20/2020,3
08/21/2020,6
08/22/2020,7
08/23/2020,14
08/24/2020,7
08/25/2020,1
08/26/2020,13
08/27/2020,13
08/28/2020,12
08/29/2020,9
08/30/2020,8
08/31/2020,5
09/01/2020,4
09/02/2020,3
09/03/2020,6
09/04/2020,1
09/05/2020,0
09/06/2020,3
09/07/2020,0
09/08/2020,1
09/09/2020,1
09/10/2020,2
09/11/2020,2
09/12/2020,1
09/13/2020,0
09/14/2020,0
09/15/2020,0
09/16/2020,0
09/17/2020,1
09/18/2020,0
09/19/2020,0
09/20/2020,0
09/21/2020,0
09/22/2020,0
09/23/2020,0
09/24/2020,1
09/25/2020,0
09/26/2020,0
09/27/2020,1
09/28/2020,0
09/29/2020,0
09/30/2020,0
10/01/2020,1
10/02/2020,0
10/03/2020,3
10/04/2020,0
10/05/2020,0
10/06/2020,0
10/07/2020,0
10/08/2020,0
10/09/2020,1
10/10/2020,2
10/11/2020,0
10/12/2020,0
10/13/2020,0
10/14/2020,0
10/15/2020,0
10/16/2020,0
10/17/2020,1
10/18/2020,0
10/19/2020,0
10/20/2020,0
10/21/2020,1
10/22/2020,0
10/23/2020,1
10/24/2020,2
10/25/2020,0
10/26/2020,0
10/27/2020,3
10/28/2020,0
10/29/2020,0
10/30/2020,1
10/31/2020,0
11/01/2020,3
11/02/2020,2
11/03/2020,0
11/04/2020,0
11/05/2020,0
11/06/2020,0
11/07/2020,0
11/08/2020,4
11/09/2020,2
11/10/2020,2
11/11/2020,1
11/12/2020,8
11/13/2020,9
11/14/2020,13
11/15/2020,9
11/16/2020,10
11/17/2020,16
11/18/2020,15
11/19/2020,28
11/20/2020,14
11/21/2020,19
11/22/2020,13
11/23/2020,5
11/24/2020,7
11/25/2020,8
11/26/2020,9
11/27/2020,11
11/28/2020,7
11/29/2020,20
11/30/2020,4
12/01/2020,2
12/02/2020,1
12/03/2020,2
12/04/2020,3
12/05/2020,4
12/06/2020,8
12/07/2020,3
12/08/2020,7
12/09/2020,2
12/10/2020,5
12/11/2020,4
12/12/2020,8
12/13/2020,6
12/14/2020,1
12/15/2020,1
12/16/2020,4
12/17/2020,0
12/18/2020,5
12/19/2020,5
12/20/2020,4
12/21/2020,9
12/22/2020,5
12/23/2020,12
12/24/2020,2
12/25/2020,5
12/26/2020,6
12/27/2020,5
12/28/2020,7
12/29/2020,4
12/30/2020,1
12/31/2020,5
01/01/2021,6
01/02/2021,11
01/03/2021,12
01/04/2021,3
01/05/2021,4
01/06/2021,1
01/07/2021,1
01/08/2021,0
01/09/2021,5
01/10/2021,4
01/11/2021,3
01/12/2021,2
01/13/2021,0
01/14/2021,6
01/15/2021,13
01/16/2021,13
01/17/2021,15
01/18/2021,4
01/19/2021,6
01/20/2021,9
01/21/2021,14
01/22/2021,7
01/23/2021,10
01/24/2021,1
01/25/2021,3
01/26/2021,9
01/27/2021,12
01/28/2021,8
01/29/2021,5
01/30/2021,1
01/31/2021,1
02/01/2021,1
02/02/2021,3
02/03/2021,6
02/04/2021,2
02/05/2021,0
02/06/2021,1
02/07/2021,4
02/08/2021,0
02/09/2021,0
02/10/2021,2
02/11/2021,0
02/12/2021,4
02/13/2021,0
02/14/2021,2
02/15/2021,5
02/16/2021,2
02/17/2021,15
02/18/2021,4
02/19/2021,10
02/20/2021,10
02/21/2021,8
02/22/2021,3
02/23/2021,6
02/24/2021,1
02/25/2021,11
02/26/2021,5
02/27/2021,5
02/28/2021,0
03/01/2021,2
03/02/2021,7
03/03/2021,3
03/04/2021,1
03/05/2021,0
03/06/2021,3
03/07/2021,6
03/08/2021,6
03/09/2021,3
03/10/2021,3
03/11/2021,3
03/12/2021,4
03/13/2021,1
03/14/2021,2
03/15/2021,1
03/16/2021,1
03/17/2021,0
03/18/2021,0
03/19/2021,0
03/20/2021,0
03/21/2021,0
03/22/2021,2
03/23/2021,1
03/24/2021,0
03/25/2021,1
03/26/2021,2
03/27/2021,0
03/28/2021,1
03/29/2021,1
03/30/2021,0
03/31/2021,0
04/01/2021,1
04/02/2021,1
04/03/2021,1
04/04/2021,1
04/05/2021,5
04/06/2021,15
04/07/2021,7
04/08/2021,1
04/09/2021,11
04/10/2021,7
04/11/2021,6
04/12/2021,3
04/13/2021,6
04/14/2021,1
04/15/2021,11
04/16/2021,6
04/17/2021,6
04/18/2021,2
04/19/2021,3
04/20/2021,4
04/21/2021,4
04/22/2021,8
04/23/2021,6
04/24/2021,1
04/25/2021,9
04/26/2021,0
04/27/2021,2
04/28/2021,5
04/29/2021,2
04/30/2021,5
05/01/2021,2
05/02/2021,1
05/03/2021,24
05/04/2021,9
05/05/2021,12
05/06/2021,10
05/07/2021,12
05/08/2021,12
05/09/2021,24
05/10/2021,9
05/11/2021,10
05/12/2021,17
05/13/2021,12
05/14/2021,50
05/15/2021,26
05/16/2021,13
05/17/2021,20
05/18/2021,12
05/19/2021,10
05/20/2021,7
05/21/2021,17
05/22/2021,16
05/23/2021,10
05/24/2021,14
05/25/2021,7
05/26/2021,11
05/27/2021,16
05/28/2021,7
05/29/2021,5
05/30/2021,9
05/31/2021,6
06/01/2021,5
06/02/2021,10
06/03/2021,3
06/04/2021,12
06/05/2021,14
06/06/2021,9
06/07/2021,3
06/08/2021,8
06/09/2021,6
06/10/2021,4
06/11/2021,5
06/12/2021,4
06/13/2021,3
06/14/2021,4
06/15/2021,3
06/16/2021,8
06/17/2021,6
06/18/2021,4
06/19/2021,5
06/20/2021,3
06/21/2021,10
06/22/2021,8
06/23/2021,2
06/24/2021,6
06/25/2021,18
06/26/2021,3
06/27/2021,6
06/28/2021,2
06/29/2021,4
06/30/2021,7
07/01/2021,5
07/02/2021,4
07/03/2021,7
07/04/2021,0
07/05/2021,6
07/06/2021,4
07/07/2021,10
07/08/2021,9
07/09/2021,5
07/10/2021,2
07/11/2021,6
07/12/2021,19
07/13/2021,13
07/14/2021,6
07/15/2021,26
07/16/2021,8
07/17/2021,8
07/18/2021,11
07/19/2021,16
07/20/2021,9
07/21/2021,21
07/22/2021,18
07/23/2021,23
07/24/2021,20
07/25/2021,16
07/26/2021,28
07/27/2021,15
07/28/2021,20
07/29/2021,20
07/30/2021,19
07/31/2021,13
08/01/2021,9
08/02/2021,6
08/03/2021,4
08/04/2021,15
08/05/2021,20
08/06/2021,24
08/07/2021,20
08/08/2021,20
08/09/2021,14
08/10/2021,26
08/11/2021,18
08/12/2021,27
08/13/2021,18
08/14/2021,28
08/15/2021,18
08/16/2021,27
08/17/2021,25
08/18/2021,34
08/19/2021,17
08/20/2021,23
08/21/2021,15
08/22/2021,9
08/23/2021,10
08/24/2021,9
08/25/2021,8
08/26/2021,8
08/27/2021,16
08/28/2021,26
08/29/2021,28
08/30/2021,29
08/31/2021,14
09/01/2021,17
09/02/2021,13
09/03/2021,15
09/04/2021,30
09/05/2021,16
09/06/2021,4
09/07/2021,35
09/08/2021,22
09/09/2021,22
09/10/2021,21
09/11/2021,25
09/12/2021,11
09/13/2021,5
09/14/2021,1
09/15/2021,5
09/16/2021,8
09/17/2021,13
09/18/2021,7
09/19/2021,12
09/20/2021,6
09/21/2021,7
09/22/2021,23
09/23/2021,15
09/24/2021,17
09/25/2021,28
09/26/2021,25
09/27/2021,16
09/28/2021,18
09/29/2021,23
09/30/2021,24
10/01/2021,29
10/02/2021,22
10/03/2021,25
10/04/2021,13
10/05/2021,13
10/06/2021,13
10/07/2021,18
10/08/2021,17
10/09/2021,14
10/10/2021,5
10/11/2021,11
10/12/2021,17
10/13/2021,16
10/14/2021,19
10/15/2021,24
10/16/2021,24
10/17/2021,22
10/18/2021,9
10/19/2021,14
10/20/2021,9
10/21/2021,12
10/22/2021,15
10/23/2021,5
10/24/2021,9
10/25/2021,5
10/26/2021,6
10/27/2021,6
10/28/2021,12
10/29/2021,13
10/30/2021,12
10/31/2021,30
11/01/2021,18
11/02/2021,34
11/03/2021,21
11/04/2021,17
11/05/2021,15
11/06/2021,40
11/07/2021,31
11/08/2021,17
11/09/2021,21
11/10/2021,7
11/11/2021,17
11/12/2021,15
11/13/2021,19
11/14/2021,26
11/15/2021,19
11/16/2021,29
11/17/2021,36
11/18/2021,40
11/19/2021,46
11/20/2021,66
11/21/2021,38
11/22/2021,27
11/23/2021,20
11/24/2021,52
11/25/2021,42
11/26/2021,38
11/27/2021,36
11/28/2021,25
11/29/2021,28
11/30/2021,36
12/01/2021,40
12/02/2021,39
12/03/2021,35
12/04/2021,52
12/05/2021,47
12/06/2021,37
12/07/2021,58
12/08/2021,54
12/09/2021,69
12/10/2021,69
12/11/2021,75
12/12/2021,80
12/13/2021,83
12/14/2021,58
12/15/2021,60
12/16/2021,58
12/17/2021,60
12/18/2021,44
12/19/2021,43
12/20/2021,56
12/21/2021,41
12/22/2021,47
12/23/2021,69
12/24/2021,69
12/25/2021,53
12/26/2021,48
12/27/2021,30
12/28/2021,38
12/29/2021,39
12/30/2021,48
12/31/2021,60
01/01/2022,48
01/02/2022,42
01/03/2022,35
01/04/2022,46
01/05/2022,60
01/06/2022,59
01/07/2022,124
01/08/2022,96
01/09/2022,112
01/10/2022,86
01/11/2022,88
01/12/2022,164
01/13/2022,136
01/14/2022,133
01/15/2022,154
01/16/2022,169
01/17/2022,166
01/18/2022,139
01/19/2022,154
01/20/2022,160
01/21/2022,199
01/22/2022,154
01/23/2022,196
01/24/2022,206
01/25/2022,191
01/26/2022,286
01/27/2022,294
01/28/2022,327
01/29/2022,314
01/30/2022,319
01/31/2022,293
02/01/2022,411
02/02/2022,468
02/03/2022,454
02/04/2022,648
02/05/2022,965
02/06/2022,1192
02/07/2022,1133
02/08/2022,1015
02/09/2022,1128
02/10/2022,1495
02/11/2022,1241
02/12/2022,1214
02/13/2022,1181
02/14/2022,1264
02/15/2022,1301
02/16/2022,1929
02/17/2022,1893
02/18/2022,1911
02/19/2022,1899
02/20/2022,2064
02/21/2022,2069
02/22/2022,2109
02/23/2022,3083
02/24/2022,3367
02/25/2022,3532
02/26/2022,3436
02/27/2022,3413
02/28/2022,3320
03/01/2022,3283
03/02/2022,4996
03/03/2022,5243
03/04/2022,6411
03/05/2022,5967
03/06/2022,5706
03/07/2022,5737
03/08/2022,6014
03/09/2022,7951
03/10/2022,8465
03/11/2022,8985
03/12/2022,10215
03/13/2022,9544
03/14/2022,10932
03/15/2022,11449
03/16/2022,9311
03/17/2022,18945
03/18/2022,11358
03/19/2022,10778
03/20/2022,10894
03/21/2022,6857
03/22/2022,12274
03/23/2022,15430
03/24/2022,13689
03/25/2022,12669
03/26/2022,12847
03/27/2022,12293
03/28/2022,8397
03/29/2022,13629
03/30/2022,17461
03/31/2022,13703
04/01/2022,11824
04/02/2022,11159
04/03/2022,10438
04/04/2022,5958
04/05/2022,10987
04/06/2022,12387
04/07/2022,9908
04/08/2022,8672
04/09/2022,8436
04/10/2022,7800
04/11/2022,4448
04/12/2022,9087
04/13/2022,8447
04/14/2022,6911
04/15/2022,5720
04/16/2022,4971
04/17/2022,4396
04/18/2022,2132
04/19/2022,5081
04/20/2022,4931
04/21/2022,3974
04/22/2022,3827
04/23/2022,3558
04/24/2022,3171
04/25/2022,1788
04/26/2022,3836
04/27/2022,3635
04/28/2022,2571
04/29/2022,2565
04/30/2022,2263
05/01/2022,1961
05/02/2022,995
05/03/2022,2550
05/04/2022,2348
05/05/2022,1925
05/06/2022,1298
05/07/2022,1913
05/08/2022,1899
05/09/2022,904
05/10/2022,2303
05/11/2022,1875
05/12/2022,1486
05/13/2022,1393
05/14/2022,1234
05/15/2022,1125
05/16/2022,505
05/17/2022,1253
05/18/2022,1209
05/19/2022,1041
05/20/2022,1019
05/21/2022,907
05/22/2022,839
05/23/2022,409
05/24/2022,922
05/25/2022,946
05/26/2022,674
05/27/2022,594
05/28/2022,508
05/29/2022,467
05/30/2022,234
05/31/2022,614
06/01/2022,508
06/02/2022,325
06/03/2022,429
06/04/2022,391
06/05/2022,354
06/06/2022,158
06/07/2022,205
06/08/2022,446
06/09/2022,493
06/10/2022,350
06/11/2022,318
06/12/2022,279
06/13/2022,121
06/14/2022,315
06/15/2022,270
06/16/2022,239
06/17/2022,233
06/18/2022,208
06/19/2022,211
06/20/2022,111
06/21/2022,276
06/22/2022,268
06/23/2022,226
06/24/2022,182
06/25/2022,222
06/26/2022,192
06/27/2022,131
06/28/2022,309
06/29/2022,268
06/30/2022,249
07/01/2022,227
07/02/2022,243
07/03/2022,248
07/04/2022,148
07/05/2022,385
07/06/2022,459
07/07/2022,410
07/08/2022,379
07/09/2022,477
07/10/2022,440
07/11/2022,236
07/12/2022,754
07/13/2022,850
07/14/2022,850
07/15/2022,855
07/16/2022,889
07/17/2022,906
07/18/2022,547
07/19/2022,1658
07/20/2022,1602
07/21/2022,1692
07/22/2022,1625
07/23/2022,1747
07/24/2022,1770
07/25/2022,991
07/26/2022,2546
07/27/2022,2635
07/28/2022,2414
07/29/2022,2365
07/30/2022,2316
07/31/2022,2195
08/01/2022,1447
08/02/2022,3127
08/03/2022,3635
08/04/2022,3159
08/05/2022,3885
08/06/2022,3587
08/07/2022,3286
08/08/2022,2045
08/09/2022,5014
08/10/2022,5862
08/11/2022,5339
08/12/2022,5230
08/13/2022,5391
08/14/2022,5022
08/15/2022,2778
08/16/2022,3439
08/17/2022,7507
08/18/2022,7588
08/19/2022,6013
08/20/2022,5732
08/21/2022,5055
08/22/2022,2629
08/23/2022,6524
08/24/2022,6081
08/25/2022,5079
08/26/2022,4361
08/27/2022,4143
08/28/2022,3511
08/29/2022,1905
08/30/2022,4522
08/31/2022,3899
09/01/2022,3047
09/02/2022,3469
09/03/2022,2794
09/04/2022,2421
09/05/2022,1412
09/06/2022,3350
09/07/2022,2747
09/08/2022,2324
09/09/2022,2361
09/10/2022,1483
09/11/2022,1108
09/12/2022,1304
09/13/2022,1807
09/14/2022,2742
09/15/2022,2166
09/16/2022,1686
09/17/2022,1405
09/18/2022,1078
09/19/2022,586
09/20/2022,1409
09/21/2022,1165
09/22/2022,1073
09/23/2022,874
09/24/2022,889
09/25/2022,745
09/26/2022,443
09/27/2022,1117
09/28/2022,998
09/29/2022,909
09/30/2022,812
10/01/2022,720
10/02/2022,686
10/03/2022,276
10/04/2022,427
10/05/2022,897
10/06/2022,692
10/07/2022,566
10/08/2022,502
10/09/2022,491
10/10/2022,257
10/11/2022,467
10/12/2022,731
10/13/2022,646
10/14/2022,649
10/15/2022,601
10/16/2022,544
10/17/2022,291
10/18/2022,774
10/19/2022,666
10/20/2022,602
10/21/2022,589
10/22/2022,677
10/23/2022,657
10/24/2022,365
10/25/2022,1027
10/26/2022,963
10/27/2022,812
10/28/2022,846
10/29/2022,938
10/30/2022,861
10/31/2022,524
11/01/2022,1537
11/02/2022,1380
11/03/2022,1063
11/04/2022,1061
11/05/2022,1140
11/06/2022,920
11/07/2022,440
11/08/2022,1463
11/09/2022,1538
11/10/2022,1419
11/11/2022,1290
11/12/2022,1414
11/13/2022,1319
11/14/2022,591
11/15/2022,1801
11/16/2022,1772
11/17/2022,1359
11/18/2022,1338
11/19/2022,1241
11/20/2022,1276
11/21/2022,566
11/22/2022,1885
11/23/2022,1871
11/24/2022,1680
11/25/2022,1477
11/26/2022,1474
11/27/2022,1339
11/28/2022,657
11/29/2022,2100
11/30/2022,1866
12/01/2022,1560
12/02/2022,1657
