Datas,Sejong
08/13/2020,0
08/14/2020,0
08/15/2020,0
08/16/2020,0
08/17/2020,0
08/18/2020,0
08/19/2020,2
08/20/2020,1
08/21/2020,3
08/22/2020,1
08/23/2020,0
08/24/2020,3
08/25/2020,3
08/26/2020,0
08/27/2020,0
08/28/2020,2
08/29/2020,0
08/30/2020,1
08/31/2020,1
09/01/2020,0
09/02/2020,0
09/03/2020,0
09/04/2020,0
09/05/2020,0
09/06/2020,0
09/07/2020,0
09/08/2020,1
09/09/2020,2
09/10/2020,0
09/11/2020,0
09/12/2020,0
09/13/2020,0
09/14/2020,0
09/15/2020,0
09/16/2020,0
09/17/2020,0
09/18/2020,0
09/19/2020,0
09/20/2020,0
09/21/2020,0
09/22/2020,1
09/23/2020,0
09/24/2020,3
09/25/2020,1
09/26/2020,0
09/27/2020,1
09/28/2020,0
09/29/2020,0
09/30/2020,0
10/01/2020,0
10/02/2020,0
10/03/2020,0
10/04/2020,0
10/05/2020,1
10/06/2020,0
10/07/2020,1
10/08/2020,0
10/09/2020,0
10/10/2020,0
10/11/2020,0
10/12/2020,0
10/13/2020,0
10/14/2020,0
10/15/2020,0
10/16/2020,0
10/17/2020,0
10/18/2020,0
10/19/2020,0
10/20/2020,0
10/21/2020,0
10/22/2020,0
10/23/2020,0
10/24/2020,0
10/25/2020,0
10/26/2020,1
10/27/2020,0
10/28/2020,0
10/29/2020,0
10/30/2020,0
10/31/2020,3
11/01/2020,0
11/02/2020,0
11/03/2020,0
11/04/2020,0
11/05/2020,0
11/06/2020,0
11/07/2020,0
11/08/2020,0
11/09/2020,0
11/10/2020,0
11/11/2020,0
11/12/2020,0
11/13/2020,1
11/14/2020,1
11/15/2020,0
11/16/2020,1
11/17/2020,1
11/18/2020,0
11/19/2020,0
11/20/2020,0
11/21/2020,0
11/22/2020,0
11/23/2020,1
11/24/2020,2
11/25/2020,0
11/26/2020,4
11/27/2020,3
11/28/2020,0
11/29/2020,3
11/30/2020,1
12/01/2020,2
12/02/2020,7
12/03/2020,4
12/04/2020,0
12/05/2020,4
12/06/2020,3
12/07/2020,0
12/08/2020,1
12/09/2020,1
12/10/2020,1
12/11/2020,0
12/12/2020,1
12/13/2020,0
12/14/2020,3
12/15/2020,1
12/16/2020,0
12/17/2020,0
12/18/2020,0
12/19/2020,0
12/20/2020,1
12/21/2020,0
12/22/2020,1
12/23/2020,1
12/24/2020,2
12/25/2020,1
12/26/2020,1
12/27/2020,6
12/28/2020,2
12/29/2020,4
12/30/2020,2
12/31/2020,0
01/01/2021,1
01/02/2021,3
01/03/2021,1
01/04/2021,0
01/05/2021,0
01/06/2021,1
01/07/2021,3
01/08/2021,0
01/09/2021,0
01/10/2021,0
01/11/2021,0
01/12/2021,1
01/13/2021,0
01/14/2021,2
01/15/2021,4
01/16/2021,1
01/17/2021,1
01/18/2021,2
01/19/2021,3
01/20/2021,0
01/21/2021,1
01/22/2021,0
01/23/2021,1
01/24/2021,11
01/25/2021,2
01/26/2021,2
01/27/2021,4
01/28/2021,1
01/29/2021,0
01/30/2021,0
01/31/2021,2
02/01/2021,0
02/02/2021,0
02/03/2021,1
02/04/2021,0
02/05/2021,0
02/06/2021,0
02/07/2021,1
02/08/2021,1
02/09/2021,1
02/10/2021,1
02/11/2021,0
02/12/2021,2
02/13/2021,5
02/14/2021,2
02/15/2021,0
02/16/2021,0
02/17/2021,2
02/18/2021,1
02/19/2021,1
02/20/2021,0
02/21/2021,1
02/22/2021,0
02/23/2021,1
02/24/2021,2
02/25/2021,0
02/26/2021,1
02/27/2021,1
02/28/2021,6
03/01/2021,1
03/02/2021,5
03/03/2021,4
03/04/2021,0
03/05/2021,1
03/06/2021,2
03/07/2021,2
03/08/2021,1
03/09/2021,0
03/10/2021,0
03/11/2021,0
03/12/2021,2
03/13/2021,0
03/14/2021,0
03/15/2021,2
03/16/2021,0
03/17/2021,3
03/18/2021,1
03/19/2021,0
03/20/2021,0
03/21/2021,0
03/22/2021,0
03/23/2021,0
03/24/2021,0
03/25/2021,0
03/26/2021,0
03/27/2021,1
03/28/2021,0
03/29/2021,0
03/30/2021,2
03/31/2021,17
04/01/2021,13
04/02/2021,8
04/03/2021,10
04/04/2021,3
04/05/2021,4
04/06/2021,0
04/07/2021,1
04/08/2021,7
04/09/2021,5
04/10/2021,4
04/11/2021,1
04/12/2021,5
04/13/2021,2
04/14/2021,2
04/15/2021,3
04/16/2021,3
04/17/2021,0
04/18/2021,2
04/19/2021,1
04/20/2021,1
04/21/2021,1
04/22/2021,1
04/23/2021,3
04/24/2021,1
04/25/2021,0
04/26/2021,1
04/27/2021,2
04/28/2021,2
04/29/2021,0
04/30/2021,1
05/01/2021,4
05/02/2021,1
05/03/2021,4
05/04/2021,6
05/05/2021,0
05/06/2021,1
05/07/2021,0
05/08/2021,5
05/09/2021,1
05/10/2021,7
05/11/2021,0
05/12/2021,1
05/13/2021,2
05/14/2021,7
05/15/2021,3
05/16/2021,0
05/17/2021,0
05/18/2021,4
05/19/2021,3
05/20/2021,9
05/21/2021,1
05/22/2021,0
05/23/2021,1
05/24/2021,14
05/25/2021,14
05/26/2021,9
05/27/2021,8
05/28/2021,8
05/29/2021,1
05/30/2021,6
05/31/2021,3
06/01/2021,3
06/02/2021,3
06/03/2021,1
06/04/2021,3
06/05/2021,4
06/06/2021,0
06/07/2021,0
06/08/2021,0
06/09/2021,3
06/10/2021,3
06/11/2021,2
06/12/2021,1
06/13/2021,1
06/14/2021,1
06/15/2021,8
06/16/2021,4
06/17/2021,2
06/18/2021,1
06/19/2021,2
06/20/2021,3
06/21/2021,2
06/22/2021,6
06/23/2021,8
06/24/2021,1
06/25/2021,2
06/26/2021,2
06/27/2021,8
06/28/2021,0
06/29/2021,3
06/30/2021,3
07/01/2021,5
07/02/2021,2
07/03/2021,3
07/04/2021,4
07/05/2021,4
07/06/2021,5
07/07/2021,5
07/08/2021,5
07/09/2021,1
07/10/2021,0
07/11/2021,3
07/12/2021,6
07/13/2021,8
07/14/2021,6
07/15/2021,2
07/16/2021,7
07/17/2021,2
07/18/2021,5
07/19/2021,8
07/20/2021,13
07/21/2021,6
07/22/2021,10
07/23/2021,8
07/24/2021,6
07/25/2021,9
07/26/2021,5
07/27/2021,6
07/28/2021,11
07/29/2021,5
07/30/2021,4
07/31/2021,12
08/01/2021,9
08/02/2021,3
08/03/2021,7
08/04/2021,8
08/05/2021,15
08/06/2021,20
08/07/2021,18
08/08/2021,7
08/09/2021,1
08/10/2021,4
08/11/2021,8
08/12/2021,11
08/13/2021,7
08/14/2021,10
08/15/2021,5
08/16/2021,3
08/17/2021,3
08/18/2021,6
08/19/2021,13
08/20/2021,13
08/21/2021,2
08/22/2021,1
08/23/2021,11
08/24/2021,7
08/25/2021,16
08/26/2021,10
08/27/2021,9
08/28/2021,12
08/29/2021,2
08/30/2021,8
08/31/2021,8
09/01/2021,10
09/02/2021,7
09/03/2021,4
09/04/2021,8
09/05/2021,3
09/06/2021,4
09/07/2021,5
09/08/2021,8
09/09/2021,6
09/10/2021,5
09/11/2021,9
09/12/2021,4
09/13/2021,4
09/14/2021,21
09/15/2021,8
09/16/2021,7
09/17/2021,12
09/18/2021,12
09/19/2021,8
09/20/2021,9
09/21/2021,4
09/22/2021,4
09/23/2021,10
09/24/2021,14
09/25/2021,10
09/26/2021,8
09/27/2021,14
09/28/2021,4
09/29/2021,10
09/30/2021,14
10/01/2021,8
10/02/2021,11
10/03/2021,7
10/04/2021,3
10/05/2021,10
10/06/2021,5
10/07/2021,11
10/08/2021,10
10/09/2021,4
10/10/2021,4
10/11/2021,3
10/12/2021,6
10/13/2021,3
10/14/2021,3
10/15/2021,3
10/16/2021,1
10/17/2021,0
10/18/2021,2
10/19/2021,0
10/20/2021,3
10/21/2021,8
10/22/2021,1
10/23/2021,2
10/24/2021,0
10/25/2021,0
10/26/2021,6
10/27/2021,1
10/28/2021,2
10/29/2021,1
10/30/2021,4
10/31/2021,4
11/01/2021,2
11/02/2021,5
11/03/2021,1
11/04/2021,0
11/05/2021,2
11/06/2021,2
11/07/2021,2
11/08/2021,1
11/09/2021,3
11/10/2021,4
11/11/2021,6
11/12/2021,6
11/13/2021,1
11/14/2021,2
11/15/2021,1
11/16/2021,6
11/17/2021,16
11/18/2021,10
11/19/2021,3
11/20/2021,7
11/21/2021,7
11/22/2021,5
11/23/2021,8
11/24/2021,7
11/25/2021,20
11/26/2021,15
11/27/2021,11
11/28/2021,5
11/29/2021,15
11/30/2021,22
12/01/2021,20
12/02/2021,8
12/03/2021,7
12/04/2021,8
12/05/2021,16
12/06/2021,13
12/07/2021,11
12/08/2021,16
12/09/2021,16
12/10/2021,10
12/11/2021,7
12/12/2021,15
12/13/2021,12
12/14/2021,20
12/15/2021,26
12/16/2021,28
12/17/2021,25
12/18/2021,43
12/19/2021,23
12/20/2021,16
12/21/2021,20
12/22/2021,47
12/23/2021,19
12/24/2021,36
12/25/2021,21
12/26/2021,12
12/27/2021,10
12/28/2021,18
12/29/2021,21
12/30/2021,21
12/31/2021,17
01/01/2022,16
01/02/2022,12
01/03/2022,10
01/04/2022,11
01/05/2022,17
01/06/2022,18
01/07/2022,14
01/08/2022,12
01/09/2022,13
01/10/2022,13
01/11/2022,16
01/12/2022,14
01/13/2022,7
01/14/2022,8
01/15/2022,15
01/16/2022,20
01/17/2022,7
01/18/2022,23
01/19/2022,26
01/20/2022,9
01/21/2022,17
01/22/2022,12
01/23/2022,24
01/24/2022,33
01/25/2022,69
01/26/2022,77
01/27/2022,76
01/28/2022,58
01/29/2022,43
01/30/2022,76
01/31/2022,78
02/01/2022,108
02/02/2022,140
02/03/2022,138
02/04/2022,251
02/05/2022,296
02/06/2022,270
02/07/2022,262
02/08/2022,244
02/09/2022,287
02/10/2022,273
02/11/2022,332
02/12/2022,326
02/13/2022,384
02/14/2022,353
02/15/2022,415
02/16/2022,696
02/17/2022,655
02/18/2022,703
02/19/2022,677
02/20/2022,658
02/21/2022,646
02/22/2022,648
02/23/2022,1079
02/24/2022,1082
02/25/2022,1064
02/26/2022,998
02/27/2022,921
02/28/2022,834
03/01/2022,876
03/02/2022,1412
03/03/2022,1022
03/04/2022,1577
03/05/2022,1458
03/06/2022,1384
03/07/2022,1163
03/08/2022,1349
03/09/2022,2214
03/10/2022,1944
03/11/2022,1840
03/12/2022,2512
03/13/2022,2325
03/14/2022,2139
03/15/2022,2514
03/16/2022,2032
03/17/2022,5234
03/18/2022,3116
03/19/2022,3121
03/20/2022,1951
03/21/2022,2370
03/22/2022,3334
03/23/2022,3452
03/24/2022,3746
03/25/2022,3482
03/26/2022,3005
03/27/2022,2344
03/28/2022,2217
03/29/2022,2476
03/30/2022,4246
03/31/2022,3890
04/01/2022,2729
04/02/2022,2370
04/03/2022,1961
04/04/2022,1627
04/05/2022,2245
04/06/2022,2175
04/07/2022,2630
04/08/2022,1891
04/09/2022,1492
04/10/2022,1353
04/11/2022,1101
04/12/2022,1796
04/13/2022,1387
04/14/2022,1721
04/15/2022,1195
04/16/2022,946
04/17/2022,755
04/18/2022,474
04/19/2022,1089
04/20/2022,1069
04/21/2022,795
04/22/2022,570
04/23/2022,626
04/24/2022,385
04/25/2022,416
04/26/2022,666
04/27/2022,589
04/28/2022,425
04/29/2022,343
04/30/2022,382
05/01/2022,359
05/02/2022,254
05/03/2022,370
05/04/2022,411
05/05/2022,356
05/06/2022,221
05/07/2022,297
05/08/2022,307
05/09/2022,152
05/10/2022,466
05/11/2022,370
05/12/2022,330
05/13/2022,279
05/14/2022,272
05/15/2022,228
05/16/2022,160
05/17/2022,294
05/18/2022,297
05/19/2022,269
05/20/2022,229
05/21/2022,209
05/22/2022,183
05/23/2022,109
05/24/2022,275
05/25/2022,254
05/26/2022,162
05/27/2022,152
05/28/2022,114
05/29/2022,140
05/30/2022,68
05/31/2022,135
06/01/2022,119
06/02/2022,99
06/03/2022,111
06/04/2022,104
06/05/2022,105
06/06/2022,43
06/07/2022,83
06/08/2022,115
06/09/2022,118
06/10/2022,90
06/11/2022,99
06/12/2022,81
06/13/2022,16
06/14/2022,75
06/15/2022,59
06/16/2022,65
06/17/2022,59
06/18/2022,71
06/19/2022,52
06/20/2022,44
06/21/2022,63
06/22/2022,76
06/23/2022,63
06/24/2022,65
06/25/2022,53
06/26/2022,64
06/27/2022,26
06/28/2022,52
06/29/2022,79
06/30/2022,71
07/01/2022,55
07/02/2022,79
07/03/2022,70
07/04/2022,57
07/05/2022,117
07/06/2022,153
07/07/2022,111
07/08/2022,165
07/09/2022,173
07/10/2022,196
07/11/2022,103
07/12/2022,320
07/13/2022,375
07/14/2022,266
07/15/2022,258
07/16/2022,305
07/17/2022,316
07/18/2022,269
07/19/2022,559
07/20/2022,522
07/21/2022,490
07/22/2022,528
07/23/2022,493
07/24/2022,585
07/25/2022,232
07/26/2022,795
07/27/2022,829
07/28/2022,727
07/29/2022,631
07/30/2022,621
07/31/2022,587
08/01/2022,357
08/02/2022,1009
08/03/2022,949
08/04/2022,918
08/05/2022,870
08/06/2022,822
08/07/2022,863
08/08/2022,519
08/09/2022,1155
08/10/2022,1327
08/11/2022,1052
08/12/2022,983
08/13/2022,1064
08/14/2022,1049
08/15/2022,522
08/16/2022,765
08/17/2022,1548
08/18/2022,1414
08/19/2022,977
08/20/2022,1108
08/21/2022,954
08/22/2022,474
08/23/2022,1248
08/24/2022,1171
08/25/2022,944
08/26/2022,910
08/27/2022,831
08/28/2022,814
08/29/2022,437
08/30/2022,1067
08/31/2022,848
09/01/2022,682
09/02/2022,839
09/03/2022,736
09/04/2022,719
09/05/2022,363
09/06/2022,961
09/07/2022,752
09/08/2022,609
09/09/2022,577
09/10/2022,414
09/11/2022,288
09/12/2022,421
09/13/2022,567
09/14/2022,841
09/15/2022,587
09/16/2022,436
09/17/2022,327
09/18/2022,290
09/19/2022,208
09/20/2022,420
09/21/2022,319
09/22/2022,251
09/23/2022,256
09/24/2022,231
09/25/2022,195
09/26/2022,134
09/27/2022,332
09/28/2022,298
09/29/2022,233
09/30/2022,218
10/01/2022,222
10/02/2022,211
10/03/2022,111
10/04/2022,184
10/05/2022,274
10/06/2022,221
10/07/2022,174
10/08/2022,149
10/09/2022,133
10/10/2022,77
10/11/2022,141
10/12/2022,239
10/13/2022,230
10/14/2022,172
10/15/2022,179
10/16/2022,192
10/17/2022,98
10/18/2022,248
10/19/2022,208
10/20/2022,175
10/21/2022,170
10/22/2022,193
10/23/2022,219
10/24/2022,132
10/25/2022,439
10/26/2022,363
10/27/2022,342
10/28/2022,309
10/29/2022,301
10/30/2022,329
10/31/2022,179
11/01/2022,517
11/02/2022,523
11/03/2022,419
11/04/2022,397
11/05/2022,366
11/06/2022,317
11/07/2022,200
11/08/2022,657
11/09/2022,465
11/10/2022,520
11/11/2022,454
11/12/2022,497
11/13/2022,445
11/14/2022,187
11/15/2022,634
11/16/2022,527
11/17/2022,450
11/18/2022,405
11/19/2022,392
11/20/2022,432
11/21/2022,256
11/22/2022,580
11/23/2022,541
11/24/2022,424
11/25/2022,444
11/26/2022,375
11/27/2022,386
11/28/2022,225
11/29/2022,515
11/30/2022,517
12/01/2022,458
12/02/2022,363
