Datas,Jeju
08/13/2020,0
08/14/2020,0
08/15/2020,0
08/16/2020,0
08/17/2020,0
08/18/2020,0
08/19/2020,0
08/20/2020,0
08/21/2020,0
08/22/2020,2
08/23/2020,0
08/24/2020,0
08/25/2020,3
08/26/2020,2
08/27/2020,1
08/28/2020,2
08/29/2020,1
08/30/2020,2
08/31/2020,6
09/01/2020,1
09/02/2020,1
09/03/2020,0
09/04/2020,0
09/05/2020,1
09/06/2020,0
09/07/2020,0
09/08/2020,0
09/09/2020,0
09/10/2020,2
09/11/2020,2
09/12/2020,1
09/13/2020,0
09/14/2020,0
09/15/2020,3
09/16/2020,0
09/17/2020,0
09/18/2020,2
09/19/2020,0
09/20/2020,0
09/21/2020,0
09/22/2020,0
09/23/2020,0
09/24/2020,1
09/25/2020,0
09/26/2020,0
09/27/2020,0
09/28/2020,0
09/29/2020,0
09/30/2020,0
10/01/2020,0
10/02/2020,0
10/03/2020,0
10/04/2020,0
10/05/2020,0
10/06/2020,0
10/07/2020,0
10/08/2020,0
10/09/2020,0
10/10/2020,0
10/11/2020,0
10/12/2020,0
10/13/2020,0
10/14/2020,0
10/15/2020,0
10/16/2020,0
10/17/2020,0
10/18/2020,0
10/19/2020,0
10/20/2020,0
10/21/2020,0
10/22/2020,0
10/23/2020,0
10/24/2020,0
10/25/2020,0
10/26/2020,0
10/27/2020,0
10/28/2020,0
10/29/2020,0
10/30/2020,0
10/31/2020,0
11/01/2020,0
11/02/2020,0
11/03/2020,0
11/04/2020,1
11/05/2020,0
11/06/2020,0
11/07/2020,0
11/08/2020,0
11/09/2020,0
11/10/2020,0
11/11/2020,0
11/12/2020,1
11/13/2020,1
11/14/2020,0
11/15/2020,0
11/16/2020,1
11/17/2020,0
11/18/2020,0
11/19/2020,0
11/20/2020,2
11/21/2020,0
11/22/2020,0
11/23/2020,1
11/24/2020,1
11/25/2020,3
11/26/2020,3
11/27/2020,3
11/28/2020,2
11/29/2020,1
11/30/2020,1
12/01/2020,1
12/02/2020,2
12/03/2020,1
12/04/2020,2
12/05/2020,1
12/06/2020,0
12/07/2020,0
12/08/2020,2
12/09/2020,0
12/10/2020,13
12/11/2020,5
12/12/2020,0
12/13/2020,3
12/14/2020,8
12/15/2020,9
12/16/2020,15
12/17/2020,12
12/18/2020,27
12/19/2020,24
12/20/2020,24
12/21/2020,23
12/22/2020,19
12/23/2020,33
12/24/2020,26
12/25/2020,20
12/26/2020,24
12/27/2020,7
12/28/2020,11
12/29/2020,5
12/30/2020,10
12/31/2020,9
01/01/2021,5
01/02/2021,13
01/03/2021,4
01/04/2021,10
01/05/2021,8
01/06/2021,5
01/07/2021,9
01/08/2021,6
01/09/2021,5
01/10/2021,4
01/11/2021,2
01/12/2021,2
01/13/2021,1
01/14/2021,2
01/15/2021,1
01/16/2021,4
01/17/2021,0
01/18/2021,2
01/19/2021,1
01/20/2021,6
01/21/2021,5
01/22/2021,2
01/23/2021,3
01/24/2021,2
01/25/2021,0
01/26/2021,0
01/27/2021,0
01/28/2021,0
01/29/2021,1
01/30/2021,2
01/31/2021,1
02/01/2021,0
02/02/2021,1
02/03/2021,1
02/04/2021,3
02/05/2021,2
02/06/2021,6
02/07/2021,2
02/08/2021,0
02/09/2021,2
02/10/2021,0
02/11/2021,4
02/12/2021,4
02/13/2021,0
02/14/2021,0
02/15/2021,0
02/16/2021,1
02/17/2021,0
02/18/2021,5
02/19/2021,3
02/20/2021,2
02/21/2021,3
02/22/2021,0
02/23/2021,0
02/24/2021,2
02/25/2021,5
02/26/2021,0
02/27/2021,1
02/28/2021,1
03/01/2021,0
03/02/2021,5
03/03/2021,4
03/04/2021,3
03/05/2021,2
03/06/2021,5
03/07/2021,4
03/08/2021,3
03/09/2021,2
03/10/2021,2
03/11/2021,2
03/12/2021,2
03/13/2021,1
03/14/2021,1
03/15/2021,3
03/16/2021,2
03/17/2021,1
03/18/2021,2
03/19/2021,0
03/20/2021,1
03/21/2021,1
03/22/2021,1
03/23/2021,0
03/24/2021,0
03/25/2021,0
03/26/2021,3
03/27/2021,2
03/28/2021,0
03/29/2021,1
03/30/2021,0
03/31/2021,2
04/01/2021,2
04/02/2021,4
04/03/2021,1
04/04/2021,2
04/05/2021,2
04/06/2021,0
04/07/2021,3
04/08/2021,5
04/09/2021,2
04/10/2021,7
04/11/2021,7
04/12/2021,3
04/13/2021,0
04/14/2021,2
04/15/2021,3
04/16/2021,3
04/17/2021,1
04/18/2021,1
04/19/2021,2
04/20/2021,1
04/21/2021,7
04/22/2021,4
04/23/2021,3
04/24/2021,3
04/25/2021,3
04/26/2021,1
04/27/2021,5
04/28/2021,3
04/29/2021,1
04/30/2021,1
05/01/2021,7
05/02/2021,1
05/03/2021,1
05/04/2021,8
05/05/2021,13
05/06/2021,6
05/07/2021,12
05/08/2021,5
05/09/2021,18
05/10/2021,14
05/11/2021,24
05/12/2021,13
05/13/2021,9
05/14/2021,10
05/15/2021,14
05/16/2021,9
05/17/2021,15
05/18/2021,11
05/19/2021,4
05/20/2021,6
05/21/2021,5
05/22/2021,7
05/23/2021,8
05/24/2021,19
05/25/2021,17
05/26/2021,6
05/27/2021,26
05/28/2021,7
05/29/2021,13
05/30/2021,8
05/31/2021,7
06/01/2021,12
06/02/2021,14
06/03/2021,12
06/04/2021,21
06/05/2021,22
06/06/2021,19
06/07/2021,13
06/08/2021,8
06/09/2021,7
06/10/2021,10
06/11/2021,5
06/12/2021,5
06/13/2021,5
06/14/2021,9
06/15/2021,6
06/16/2021,9
06/17/2021,8
06/18/2021,6
06/19/2021,7
06/20/2021,2
06/21/2021,3
06/22/2021,1
06/23/2021,0
06/24/2021,4
06/25/2021,5
06/26/2021,9
06/27/2021,2
06/28/2021,2
06/29/2021,6
06/30/2021,2
07/01/2021,1
07/02/2021,3
07/03/2021,4
07/04/2021,2
07/05/2021,6
07/06/2021,5
07/07/2021,19
07/08/2021,17
07/09/2021,31
07/10/2021,10
07/11/2021,24
07/12/2021,7
07/13/2021,19
07/14/2021,21
07/15/2021,9
07/16/2021,10
07/17/2021,14
07/18/2021,11
07/19/2021,11
07/20/2021,8
07/21/2021,34
07/22/2021,24
07/23/2021,29
07/24/2021,15
07/25/2021,14
07/26/2021,12
07/27/2021,17
07/28/2021,23
07/29/2021,24
07/30/2021,18
07/31/2021,26
08/01/2021,20
08/02/2021,12
08/03/2021,21
08/04/2021,23
08/05/2021,24
08/06/2021,16
08/07/2021,13
08/08/2021,5
08/09/2021,11
08/10/2021,12
08/11/2021,28
08/12/2021,23
08/13/2021,44
08/14/2021,55
08/15/2021,38
08/16/2021,65
08/17/2021,37
08/18/2021,46
08/19/2021,37
08/20/2021,56
08/21/2021,52
08/22/2021,35
08/23/2021,32
08/24/2021,30
08/25/2021,27
08/26/2021,30
08/27/2021,23
08/28/2021,21
08/29/2021,13
08/30/2021,12
08/31/2021,9
09/01/2021,10
09/02/2021,11
09/03/2021,10
09/04/2021,8
09/05/2021,7
09/06/2021,9
09/07/2021,5
09/08/2021,9
09/09/2021,23
09/10/2021,17
09/11/2021,6
09/12/2021,4
09/13/2021,4
09/14/2021,12
09/15/2021,6
09/16/2021,11
09/17/2021,9
09/18/2021,3
09/19/2021,6
09/20/2021,10
09/21/2021,7
09/22/2021,5
09/23/2021,9
09/24/2021,14
09/25/2021,15
09/26/2021,7
09/27/2021,9
09/28/2021,7
09/29/2021,5
09/30/2021,15
10/01/2021,9
10/02/2021,8
10/03/2021,5
10/04/2021,7
10/05/2021,5
10/06/2021,4
10/07/2021,9
10/08/2021,9
10/09/2021,26
10/10/2021,7
10/11/2021,8
10/12/2021,7
10/13/2021,11
10/14/2021,9
10/15/2021,10
10/16/2021,7
10/17/2021,5
10/18/2021,6
10/19/2021,5
10/20/2021,3
10/21/2021,6
10/22/2021,6
10/23/2021,3
10/24/2021,8
10/25/2021,11
10/26/2021,6
10/27/2021,7
10/28/2021,4
10/29/2021,4
10/30/2021,9
10/31/2021,1
11/01/2021,2
11/02/2021,2
11/03/2021,17
11/04/2021,17
11/05/2021,7
11/06/2021,4
11/07/2021,14
11/08/2021,16
11/09/2021,20
11/10/2021,11
11/11/2021,14
11/12/2021,21
11/13/2021,15
11/14/2021,14
11/15/2021,10
11/16/2021,43
11/17/2021,23
11/18/2021,28
11/19/2021,31
11/20/2021,23
11/21/2021,15
11/22/2021,17
11/23/2021,29
11/24/2021,22
11/25/2021,29
11/26/2021,32
11/27/2021,27
11/28/2021,35
11/29/2021,44
11/30/2021,22
12/01/2021,27
12/02/2021,31
12/03/2021,20
12/04/2021,21
12/05/2021,17
12/06/2021,39
12/07/2021,61
12/08/2021,51
12/09/2021,48
12/10/2021,47
12/11/2021,46
12/12/2021,32
12/13/2021,36
12/14/2021,39
12/15/2021,33
12/16/2021,29
12/17/2021,35
12/18/2021,30
12/19/2021,22
12/20/2021,30
12/21/2021,26
12/22/2021,37
12/23/2021,17
12/24/2021,25
12/25/2021,15
12/26/2021,28
12/27/2021,16
12/28/2021,6
12/29/2021,33
12/30/2021,21
12/31/2021,16
01/01/2022,23
01/02/2022,19
01/03/2022,28
01/04/2022,18
01/05/2022,43
01/06/2022,19
01/07/2022,10
01/08/2022,9
01/09/2022,11
01/10/2022,13
01/11/2022,15
01/12/2022,5
01/13/2022,7
01/14/2022,6
01/15/2022,13
01/16/2022,8
01/17/2022,12
01/18/2022,3
01/19/2022,13
01/20/2022,10
01/21/2022,14
01/22/2022,18
01/23/2022,27
01/24/2022,20
01/25/2022,32
01/26/2022,53
01/27/2022,72
01/28/2022,44
01/29/2022,76
01/30/2022,69
01/31/2022,74
02/01/2022,86
02/02/2022,122
02/03/2022,168
02/04/2022,212
02/05/2022,242
02/06/2022,285
02/07/2022,369
02/08/2022,380
02/09/2022,412
02/10/2022,448
02/11/2022,475
02/12/2022,503
02/13/2022,554
02/14/2022,507
02/15/2022,551
02/16/2022,924
02/17/2022,882
02/18/2022,1113
02/19/2022,1205
02/20/2022,1230
02/21/2022,1080
02/22/2022,1300
02/23/2022,1760
02/24/2022,1505
02/25/2022,2061
02/26/2022,1917
02/27/2022,2167
02/28/2022,1806
03/01/2022,2271
03/02/2022,2207
03/03/2022,3293
03/04/2022,3399
03/05/2022,3285
03/06/2022,3691
03/07/2022,3233
03/08/2022,3054
03/09/2022,3856
03/10/2022,4923
03/11/2022,4289
03/12/2022,5191
03/13/2022,6203
03/14/2022,4827
03/15/2022,3900
03/16/2022,7677
03/17/2022,4142
03/18/2022,4409
03/19/2022,6386
03/20/2022,6223
03/21/2022,3290
03/22/2022,3191
03/23/2022,5570
03/24/2022,5028
03/25/2022,4787
03/26/2022,4081
03/27/2022,5007
03/28/2022,2999
03/29/2022,3329
03/30/2022,5744
03/31/2022,5074
04/01/2022,3873
04/02/2022,3771
04/03/2022,3579
04/04/2022,2261
04/05/2022,2710
04/06/2022,4158
04/07/2022,3214
04/08/2022,2854
04/09/2022,2739
04/10/2022,2553
04/11/2022,1711
04/12/2022,1544
04/13/2022,3022
04/14/2022,2185
04/15/2022,1803
04/16/2022,1619
04/17/2022,1468
04/18/2022,853
04/19/2022,1213
04/20/2022,1398
04/21/2022,1285
04/22/2022,1189
04/23/2022,1022
04/24/2022,993
04/25/2022,734
04/26/2022,746
04/27/2022,1237
04/28/2022,846
04/29/2022,751
04/30/2022,783
05/01/2022,577
05/02/2022,433
05/03/2022,390
05/04/2022,729
05/05/2022,577
05/06/2022,570
05/07/2022,339
05/08/2022,696
05/09/2022,429
05/10/2022,405
05/11/2022,710
05/12/2022,465
05/13/2022,469
05/14/2022,405
05/15/2022,366
05/16/2022,243
05/17/2022,308
05/18/2022,440
05/19/2022,365
05/20/2022,392
05/21/2022,380
05/22/2022,280
05/23/2022,258
05/24/2022,271
05/25/2022,581
05/26/2022,304
05/27/2022,281
05/28/2022,280
05/29/2022,257
05/30/2022,124
05/31/2022,236
06/01/2022,280
06/02/2022,201
06/03/2022,142
06/04/2022,209
06/05/2022,179
06/06/2022,111
06/07/2022,134
06/08/2022,174
06/09/2022,199
06/10/2022,161
06/11/2022,126
06/12/2022,143
06/13/2022,83
06/14/2022,112
06/15/2022,144
06/16/2022,130
06/17/2022,137
06/18/2022,101
06/19/2022,127
06/20/2022,77
06/21/2022,69
06/22/2022,162
06/23/2022,101
06/24/2022,132
06/25/2022,85
06/26/2022,100
06/27/2022,67
06/28/2022,85
06/29/2022,169
06/30/2022,205
07/01/2022,184
07/02/2022,216
07/03/2022,207
07/04/2022,174
07/05/2022,285
07/06/2022,381
07/07/2022,413
07/08/2022,394
07/09/2022,366
07/10/2022,492
07/11/2022,359
07/12/2022,541
07/13/2022,964
07/14/2022,854
07/15/2022,878
07/16/2022,967
07/17/2022,1033
07/18/2022,832
07/19/2022,1221
07/20/2022,1939
07/21/2022,1599
07/22/2022,1469
07/23/2022,1589
07/24/2022,1678
07/25/2022,1206
07/26/2022,1624
07/27/2022,2054
07/28/2022,1839
07/29/2022,1622
07/30/2022,1837
07/31/2022,1583
08/01/2022,1013
08/02/2022,1502
08/03/2022,1966
08/04/2022,1895
08/05/2022,1705
08/06/2022,1642
08/07/2022,1828
08/08/2022,1243
08/09/2022,1654
08/10/2022,1993
08/11/2022,2022
08/12/2022,1984
08/13/2022,1867
08/14/2022,1911
08/15/2022,1471
08/16/2022,1391
08/17/2022,1783
08/18/2022,2357
08/19/2022,2108
08/20/2022,1897
08/21/2022,1933
08/22/2022,1353
08/23/2022,1528
08/24/2022,2096
08/25/2022,1634
08/26/2022,1394
08/27/2022,1415
08/28/2022,1227
08/29/2022,839
08/30/2022,1035
08/31/2022,1431
09/01/2022,1047
09/02/2022,904
09/03/2022,793
09/04/2022,755
09/05/2022,495
09/06/2022,567
09/07/2022,689
09/08/2022,723
09/09/2022,672
09/10/2022,375
09/11/2022,323
09/12/2022,287
09/13/2022,307
09/14/2022,470
09/15/2022,540
09/16/2022,350
09/17/2022,352
09/18/2022,270
09/19/2022,222
09/20/2022,268
09/21/2022,354
09/22/2022,264
09/23/2022,206
09/24/2022,267
09/25/2022,194
09/26/2022,153
09/27/2022,190
09/28/2022,235
09/29/2022,251
09/30/2022,218
10/01/2022,208
10/02/2022,171
10/03/2022,141
10/04/2022,144
10/05/2022,190
10/06/2022,258
10/07/2022,179
10/08/2022,156
10/09/2022,150
10/10/2022,79
10/11/2022,123
10/12/2022,179
10/13/2022,271
10/14/2022,149
10/15/2022,191
10/16/2022,160
10/17/2022,128
10/18/2022,178
10/19/2022,175
10/20/2022,142
10/21/2022,162
10/22/2022,167
10/23/2022,166
10/24/2022,147
10/25/2022,141
10/26/2022,280
10/27/2022,178
10/28/2022,217
10/29/2022,209
10/30/2022,228
10/31/2022,161
11/01/2022,225
11/02/2022,359
11/03/2022,281
11/04/2022,264
11/05/2022,242
11/06/2022,237
11/07/2022,154
11/08/2022,266
11/09/2022,349
11/10/2022,364
11/11/2022,347
11/12/2022,386
11/13/2022,326
11/14/2022,235
11/15/2022,309
11/16/2022,455
11/17/2022,370
11/18/2022,356
11/19/2022,340
11/20/2022,354
11/21/2022,245
11/22/2022,329
11/23/2022,444
11/24/2022,363
11/25/2022,351
11/26/2022,314
11/27/2022,301
11/28/2022,219
11/29/2022,336
11/30/2022,491
12/01/2022,377
12/02/2022,355
