Datas,daegu 
08/13/2020,1
08/14/2020,0
08/15/2020,0
08/16/2020,1
08/17/2020,1
08/18/2020,6
08/19/2020,2
08/20/2020,3
08/21/2020,4
08/22/2020,9
08/23/2020,6
08/24/2020,0
08/25/2020,5
08/26/2020,3
08/27/2020,13
08/28/2020,8
08/29/2020,6
08/30/2020,30
08/31/2020,4
09/01/2020,2
09/02/2020,13
09/03/2020,3
09/04/2020,7
09/05/2020,5
09/06/2020,5
09/07/2020,2
09/08/2020,2
09/09/2020,2
09/10/2020,1
09/11/2020,1
09/12/2020,4
09/13/2020,14
09/14/2020,4
09/15/2020,0
09/16/2020,4
09/17/2020,2
09/18/2020,2
09/19/2020,2
09/20/2020,2
09/21/2020,1
09/22/2020,0
09/23/2020,3
09/24/2020,1
09/25/2020,0
09/26/2020,1
09/27/2020,0
09/28/2020,0
09/29/2020,0
09/30/2020,2
10/01/2020,1
10/02/2020,0
10/03/2020,0
10/04/2020,2
10/05/2020,1
10/06/2020,0
10/07/2020,1
10/08/2020,0
10/09/2020,1
10/10/2020,1
10/11/2020,1
10/12/2020,0
10/13/2020,1
10/14/2020,0
10/15/2020,0
10/16/2020,0
10/17/2020,1
10/18/2020,0
10/19/2020,0
10/20/2020,0
10/21/2020,0
10/22/2020,2
10/23/2020,5
10/24/2020,0
10/25/2020,1
10/26/2020,0
10/27/2020,0
10/28/2020,2
10/29/2020,3
10/30/2020,10
10/31/2020,9
11/01/2020,2
11/02/2020,3
11/03/2020,0
11/04/2020,2
11/05/2020,2
11/06/2020,0
11/07/2020,1
11/08/2020,7
11/09/2020,6
11/10/2020,1
11/11/2020,0
11/12/2020,3
11/13/2020,1
11/14/2020,0
11/15/2020,1
11/16/2020,0
11/17/2020,3
11/18/2020,2
11/19/2020,2
11/20/2020,1
11/21/2020,1
11/22/2020,1
11/23/2020,2
11/24/2020,3
11/25/2020,5
11/26/2020,1
11/27/2020,0
11/28/2020,1
11/29/2020,3
11/30/2020,4
12/01/2020,11
12/02/2020,4
12/03/2020,3
12/04/2020,6
12/05/2020,7
12/06/2020,3
12/07/2020,5
12/08/2020,4
12/09/2020,2
12/10/2020,3
12/11/2020,6
12/12/2020,35
12/13/2020,28
12/14/2020,16
12/15/2020,19
12/16/2020,27
12/17/2020,21
12/18/2020,20
12/19/2020,20
12/20/2020,25
12/21/2020,21
12/22/2020,39
12/23/2020,24
12/24/2020,26
12/25/2020,23
12/26/2020,13
12/27/2020,21
12/28/2020,24
12/29/2020,29
12/30/2020,51
12/31/2020,33
01/01/2021,43
01/02/2021,29
01/03/2021,22
01/04/2021,29
01/05/2021,32
01/06/2021,21
01/07/2021,10
01/08/2021,18
01/09/2021,13
01/10/2021,27
01/11/2021,11
01/12/2021,18
01/13/2021,13
01/14/2021,11
01/15/2021,11
01/16/2021,23
01/17/2021,15
01/18/2021,13
01/19/2021,16
01/20/2021,12
01/21/2021,7
01/22/2021,6
01/23/2021,22
01/24/2021,12
01/25/2021,15
01/26/2021,13
01/27/2021,6
01/28/2021,11
01/29/2021,10
01/30/2021,8
01/31/2021,10
02/01/2021,9
02/02/2021,12
02/03/2021,9
02/04/2021,8
02/05/2021,14
02/06/2021,18
02/07/2021,12
02/08/2021,21
02/09/2021,9
02/10/2021,16
02/11/2021,13
02/12/2021,12
02/13/2021,14
02/14/2021,3
02/15/2021,13
02/16/2021,12
02/17/2021,14
02/18/2021,9
02/19/2021,11
02/20/2021,9
02/21/2021,8
02/22/2021,4
02/23/2021,10
02/24/2021,19
02/25/2021,14
02/26/2021,10
02/27/2021,6
02/28/2021,6
03/01/2021,10
03/02/2021,14
03/03/2021,6
03/04/2021,20
03/05/2021,3
03/06/2021,4
03/07/2021,8
03/08/2021,6
03/09/2021,3
03/10/2021,1
03/11/2021,4
03/12/2021,4
03/13/2021,9
03/14/2021,6
03/15/2021,5
03/16/2021,3
03/17/2021,14
03/18/2021,14
03/19/2021,5
03/20/2021,16
03/21/2021,14
03/22/2021,14
03/23/2021,3
03/24/2021,17
03/25/2021,17
03/26/2021,14
03/27/2021,23
03/28/2021,10
03/29/2021,10
03/30/2021,12
03/31/2021,15
04/01/2021,7
04/02/2021,17
04/03/2021,10
04/04/2021,15
04/05/2021,22
04/06/2021,16
04/07/2021,16
04/08/2021,10
04/09/2021,18
04/10/2021,5
04/11/2021,6
04/12/2021,16
04/13/2021,9
04/14/2021,11
04/15/2021,18
04/16/2021,4
04/17/2021,12
04/18/2021,13
04/19/2021,24
04/20/2021,15
04/21/2021,25
04/22/2021,24
04/23/2021,12
04/24/2021,4
04/25/2021,14
04/26/2021,7
04/27/2021,12
04/28/2021,29
04/29/2021,19
04/30/2021,14
05/01/2021,12
05/02/2021,10
05/03/2021,12
05/04/2021,10
05/05/2021,6
05/06/2021,7
05/07/2021,9
05/08/2021,13
05/09/2021,6
05/10/2021,4
05/11/2021,8
05/12/2021,6
05/13/2021,5
05/14/2021,9
05/15/2021,5
05/16/2021,6
05/17/2021,19
05/18/2021,23
05/19/2021,23
05/20/2021,9
05/21/2021,19
05/22/2021,56
05/23/2021,57
05/24/2021,48
05/25/2021,29
05/26/2021,30
05/27/2021,27
05/28/2021,24
05/29/2021,22
05/30/2021,20
05/31/2021,31
06/01/2021,42
06/02/2021,39
06/03/2021,74
06/04/2021,65
06/05/2021,41
06/06/2021,46
06/07/2021,26
06/08/2021,33
06/09/2021,44
06/10/2021,30
06/11/2021,24
06/12/2021,23
06/13/2021,15
06/14/2021,20
06/15/2021,16
06/16/2021,16
06/17/2021,7
06/18/2021,11
06/19/2021,13
06/20/2021,16
06/21/2021,18
06/22/2021,3
06/23/2021,7
06/24/2021,3
06/25/2021,5
06/26/2021,13
06/27/2021,8
06/28/2021,5
06/29/2021,8
06/30/2021,11
07/01/2021,7
07/02/2021,9
07/03/2021,8
07/04/2021,3
07/05/2021,6
07/06/2021,8
07/07/2021,13
07/08/2021,15
07/09/2021,19
07/10/2021,14
07/11/2021,23
07/12/2021,37
07/13/2021,38
07/14/2021,52
07/15/2021,51
07/16/2021,32
07/17/2021,29
07/18/2021,42
07/19/2021,33
07/20/2021,30
07/21/2021,35
07/22/2021,38
07/23/2021,60
07/24/2021,52
07/25/2021,69
07/26/2021,60
07/27/2021,69
07/28/2021,55
07/29/2021,56
07/30/2021,62
07/31/2021,46
08/01/2021,23
08/02/2021,26
08/03/2021,37
08/04/2021,75
08/05/2021,121
08/06/2021,84
08/07/2021,68
08/08/2021,63
08/09/2021,86
08/10/2021,80
08/11/2021,66
08/12/2021,39
08/13/2021,57
08/14/2021,82
08/15/2021,57
08/16/2021,45
08/17/2021,46
08/18/2021,61
08/19/2021,52
08/20/2021,39
08/21/2021,34
08/22/2021,51
08/23/2021,57
08/24/2021,73
08/25/2021,101
08/26/2021,95
08/27/2021,90
08/28/2021,76
08/29/2021,57
08/30/2021,85
08/31/2021,51
09/01/2021,55
09/02/2021,66
09/03/2021,52
09/04/2021,42
09/05/2021,20
09/06/2021,43
09/07/2021,38
09/08/2021,61
09/09/2021,50
09/10/2021,44
09/11/2021,45
09/12/2021,62
09/13/2021,31
09/14/2021,27
09/15/2021,27
09/16/2021,47
09/17/2021,38
09/18/2021,71
09/19/2021,47
09/20/2021,35
09/21/2021,46
09/22/2021,41
09/23/2021,53
09/24/2021,128
09/25/2021,118
09/26/2021,143
09/27/2021,115
09/28/2021,126
09/29/2021,109
09/30/2021,73
10/01/2021,85
10/02/2021,80
10/03/2021,58
10/04/2021,68
10/05/2021,50
10/06/2021,64
10/07/2021,46
10/08/2021,45
10/09/2021,50
10/10/2021,48
10/11/2021,45
10/12/2021,50
10/13/2021,66
10/14/2021,46
10/15/2021,38
10/16/2021,47
10/17/2021,40
10/18/2021,45
10/19/2021,35
10/20/2021,36
10/21/2021,26
10/22/2021,21
10/23/2021,21
10/24/2021,31
10/25/2021,32
10/26/2021,61
10/27/2021,39
10/28/2021,106
10/29/2021,117
10/30/2021,90
10/31/2021,57
11/01/2021,57
11/02/2021,42
11/03/2021,66
11/04/2021,66
11/05/2021,43
11/06/2021,38
11/07/2021,55
11/08/2021,34
11/09/2021,44
11/10/2021,33
11/11/2021,42
11/12/2021,70
11/13/2021,73
11/14/2021,72
11/15/2021,49
11/16/2021,38
11/17/2021,56
11/18/2021,73
11/19/2021,47
11/20/2021,61
11/21/2021,44
11/22/2021,53
11/23/2021,50
11/24/2021,78
11/25/2021,81
11/26/2021,103
11/27/2021,76
11/28/2021,106
11/29/2021,88
11/30/2021,78
12/01/2021,86
12/02/2021,70
12/03/2021,99
12/04/2021,90
12/05/2021,117
12/06/2021,146
12/07/2021,129
12/08/2021,127
12/09/2021,132
12/10/2021,163
12/11/2021,143
12/12/2021,137
12/13/2021,144
12/14/2021,130
12/15/2021,178
12/16/2021,158
12/17/2021,159
12/18/2021,215
12/19/2021,152
12/20/2021,111
12/21/2021,138
12/22/2021,133
12/23/2021,168
12/24/2021,151
12/25/2021,103
12/26/2021,120
12/27/2021,130
12/28/2021,149
12/29/2021,139
12/30/2021,117
12/31/2021,132
01/01/2022,125
01/02/2022,86
01/03/2022,98
01/04/2022,84
01/05/2022,112
01/06/2022,110
01/07/2022,99
01/08/2022,108
01/09/2022,108
01/10/2022,93
01/11/2022,71
01/12/2022,93
01/13/2022,124
01/14/2022,90
01/15/2022,126
01/16/2022,157
01/17/2022,176
01/18/2022,171
01/19/2022,213
01/20/2022,364
01/21/2022,388
01/22/2022,444
01/23/2022,458
01/24/2022,479
01/25/2022,489
01/26/2022,670
01/27/2022,770
01/28/2022,864
01/29/2022,879
01/30/2022,908
01/31/2022,980
02/01/2022,965
02/02/2022,1147
02/03/2022,1256
02/04/2022,1713
02/05/2022,1640
02/06/2022,1970
02/07/2022,1971
02/08/2022,1786
02/09/2022,2414
02/10/2022,2329
02/11/2022,2494
02/12/2022,2370
02/13/2022,2573
02/14/2022,2606
02/15/2022,2362
02/16/2022,4190
02/17/2022,4199
02/18/2022,4538
02/19/2022,4223
02/20/2022,4707
02/21/2022,4160
02/22/2022,4158
02/23/2022,6306
02/24/2022,7148
02/25/2022,6290
02/26/2022,6991
02/27/2022,6157
02/28/2022,5825
03/01/2022,5382
03/02/2022,7116
03/03/2022,8080
03/04/2022,9494
03/05/2022,9563
03/06/2022,8895
03/07/2022,7789
03/08/2022,7585
03/09/2022,12896
03/10/2022,11600
03/11/2022,10304
03/12/2022,13414
03/13/2022,12695
03/14/2022,12406
03/15/2022,14347
03/16/2022,16751
03/17/2022,24465
03/18/2022,16012
03/19/2022,14839
03/20/2022,13609
03/21/2022,6125
03/22/2022,17355
03/23/2022,20864
03/24/2022,15695
03/25/2022,14006
03/26/2022,14213
03/27/2022,13218
03/28/2022,5232
03/29/2022,17814
03/30/2022,17838
03/31/2022,12710
04/01/2022,11381
04/02/2022,11275
04/03/2022,9695
04/04/2022,3451
04/05/2022,13538
04/06/2022,12102
04/07/2022,9752
04/08/2022,9222
04/09/2022,7680
04/10/2022,7066
04/11/2022,2992
04/12/2022,11366
04/13/2022,8356
04/14/2022,6635
04/15/2022,5520
04/16/2022,4703
04/17/2022,4208
04/18/2022,1626
04/19/2022,6500
04/20/2022,5014
04/21/2022,4202
04/22/2022,4030
04/23/2022,3966
04/24/2022,3398
04/25/2022,1421
04/26/2022,4900
04/27/2022,3598
04/28/2022,2837
04/29/2022,2507
04/30/2022,2316
05/01/2022,2035
05/02/2022,864
05/03/2022,3245
05/04/2022,2484
05/05/2022,2165
05/06/2022,1312
05/07/2022,2314
05/08/2022,2418
05/09/2022,972
05/10/2022,3244
05/11/2022,2223
05/12/2022,1887
05/13/2022,1796
05/14/2022,1516
05/15/2022,1303
05/16/2022,564
05/17/2022,2095
05/18/2022,1528
05/19/2022,1462
05/20/2022,1297
05/21/2022,1316
05/22/2022,1193
05/23/2022,480
05/24/2022,2054
05/25/2022,1438
05/26/2022,1299
05/27/2022,1014
05/28/2022,975
05/29/2022,794
05/30/2022,301
05/31/2022,1307
06/01/2022,941
06/02/2022,687
06/03/2022,915
06/04/2022,718
06/05/2022,613
06/06/2022,301
06/07/2022,338
06/08/2022,992
06/09/2022,671
06/10/2022,568
06/11/2022,534
06/12/2022,396
06/13/2022,204
06/14/2022,619
06/15/2022,559
06/16/2022,466
06/17/2022,446
06/18/2022,438
06/19/2022,402
06/20/2022,139
06/21/2022,587
06/22/2022,468
06/23/2022,351
06/24/2022,384
06/25/2022,315
06/26/2022,283
06/27/2022,91
06/28/2022,460
06/29/2022,392
06/30/2022,402
07/01/2022,423
07/02/2022,369
07/03/2022,294
07/04/2022,253
07/05/2022,677
07/06/2022,645
07/07/2022,658
07/08/2022,627
07/09/2022,712
07/10/2022,488
07/11/2022,454
07/12/2022,1433
07/13/2022,1429
07/14/2022,1281
07/15/2022,1545
07/16/2022,1335
07/17/2022,1174
07/18/2022,1022
07/19/2022,2423
07/20/2022,2573
07/21/2022,2405
07/22/2022,2287
07/23/2022,2558
07/24/2022,1922
07/25/2022,1430
07/26/2022,3444
07/27/2022,3876
07/28/2022,3051
07/29/2022,3498
07/30/2022,2873
07/31/2022,2504
08/01/2022,1947
08/02/2022,4485
08/03/2022,4761
08/04/2022,4394
08/05/2022,4800
08/06/2022,4706
08/07/2022,4721
08/08/2022,2284
08/09/2022,7151
08/10/2022,6996
08/11/2022,6299
08/12/2022,5816
08/13/2022,6069
08/14/2022,5633
08/15/2022,3038
08/16/2022,4906
08/17/2022,8727
08/18/2022,9931
08/19/2022,8134
08/20/2022,7220
08/21/2022,6434
08/22/2022,3572
08/23/2022,8636
08/24/2022,7891
08/25/2022,6307
08/26/2022,5317
08/27/2022,5578
08/28/2022,4908
08/29/2022,1965
08/30/2022,6107
08/31/2022,5734
09/01/2022,4135
09/02/2022,5060
09/03/2022,4238
09/04/2022,4271
09/05/2022,1749
09/06/2022,5032
09/07/2022,5362
09/08/2022,3930
09/09/2022,3723
09/10/2022,2584
09/11/2022,1328
09/12/2022,1814
09/13/2022,3465
09/14/2022,5360
09/15/2022,3699
09/16/2022,2955
09/17/2022,2475
09/18/2022,2020
09/19/2022,942
09/20/2022,2612
09/21/2022,2132
09/22/2022,1826
09/23/2022,1436
09/24/2022,1592
09/25/2022,1255
09/26/2022,842
09/27/2022,2056
09/28/2022,1664
09/29/2022,1452
09/30/2022,1598
10/01/2022,1251
10/02/2022,1017
10/03/2022,772
10/04/2022,887
10/05/2022,1596
10/06/2022,1608
10/07/2022,1470
10/08/2022,1018
10/09/2022,964
10/10/2022,473
10/11/2022,567
10/12/2022,1632
10/13/2022,1250
10/14/2022,969
10/15/2022,1109
10/16/2022,1052
10/17/2022,464
10/18/2022,1461
10/19/2022,1360
10/20/2022,1117
10/21/2022,1245
10/22/2022,1000
10/23/2022,1204
10/24/2022,555
10/25/2022,1829
10/26/2022,1956
10/27/2022,1556
10/28/2022,1604
10/29/2022,1680
10/30/2022,1703
10/31/2022,730
11/01/2022,2458
11/02/2022,2420
11/03/2022,1767
11/04/2022,1953
11/05/2022,1797
11/06/2022,1706
11/07/2022,646
11/08/2022,2717
11/09/2022,2704
11/10/2022,2508
11/11/2022,2373
11/12/2022,2428
11/13/2022,2329
11/14/2022,1046
11/15/2022,3252
11/16/2022,2936
11/17/2022,2395
11/18/2022,2182
11/19/2022,2258
11/20/2022,1770
11/21/2022,1311
11/22/2022,3523
11/23/2022,2990
11/24/2022,2721
11/25/2022,2302
11/26/2022,2496
11/27/2022,2367
11/28/2022,724
11/29/2022,3501
11/30/2022,3026
12/01/2022,2564
12/02/2022,2407
