Datas,Gangwon
08/13/2020,0
08/14/2020,1
08/15/2020,3
08/16/2020,0
08/17/2020,1
08/18/2020,2
08/19/2020,6
08/20/2020,5
08/21/2020,9
08/22/2020,16
08/23/2020,15
08/24/2020,6
08/25/2020,8
08/26/2020,18
08/27/2020,14
08/28/2020,3
08/29/2020,0
08/30/2020,2
08/31/2020,3
09/01/2020,4
09/02/2020,2
09/03/2020,4
09/04/2020,3
09/05/2020,3
09/06/2020,5
09/07/2020,0
09/08/2020,0
09/09/2020,0
09/10/2020,2
09/11/2020,0
09/12/2020,3
09/13/2020,1
09/14/2020,0
09/15/2020,1
09/16/2020,0
09/17/2020,0
09/18/2020,0
09/19/2020,0
09/20/2020,0
09/21/2020,0
09/22/2020,2
09/23/2020,1
09/24/2020,2
09/25/2020,1
09/26/2020,0
09/27/2020,0
09/28/2020,1
09/29/2020,0
09/30/2020,0
10/01/2020,0
10/02/2020,0
10/03/2020,0
10/04/2020,0
10/05/2020,0
10/06/2020,0
10/07/2020,0
10/08/2020,0
10/09/2020,0
10/10/2020,0
10/11/2020,2
10/12/2020,1
10/13/2020,4
10/14/2020,0
10/15/2020,1
10/16/2020,0
10/17/2020,3
10/18/2020,2
10/19/2020,1
10/20/2020,3
10/21/2020,2
10/22/2020,2
10/23/2020,1
10/24/2020,0
10/25/2020,0
10/26/2020,0
10/27/2020,6
10/28/2020,14
10/29/2020,7
10/30/2020,6
10/31/2020,0
11/01/2020,3
11/02/2020,1
11/03/2020,1
11/04/2020,0
11/05/2020,1
11/06/2020,7
11/07/2020,4
11/08/2020,9
11/09/2020,11
11/10/2020,3
11/11/2020,9
11/12/2020,6
11/13/2020,23
11/14/2020,18
11/15/2020,19
11/16/2020,20
11/17/2020,13
11/18/2020,5
11/19/2020,20
11/20/2020,24
11/21/2020,15
11/22/2020,13
11/23/2020,12
11/24/2020,46
11/25/2020,13
11/26/2020,8
11/27/2020,9
11/28/2020,33
11/29/2020,19
11/30/2020,8
12/01/2020,9
12/02/2020,12
12/03/2020,8
12/04/2020,3
12/05/2020,9
12/06/2020,12
12/07/2020,9
12/08/2020,8
12/09/2020,5
12/10/2020,15
12/11/2020,11
12/12/2020,36
12/13/2020,18
12/14/2020,14
12/15/2020,13
12/16/2020,8
12/17/2020,9
12/18/2020,18
12/19/2020,27
12/20/2020,55
12/21/2020,25
12/22/2020,23
12/23/2020,13
12/24/2020,21
12/25/2020,14
12/26/2020,36
12/27/2020,23
12/28/2020,27
12/29/2020,21
12/30/2020,17
12/31/2020,36
01/01/2021,30
01/02/2021,31
01/03/2021,33
01/04/2021,28
01/05/2021,27
01/06/2021,16
01/07/2021,30
01/08/2021,11
01/09/2021,6
01/10/2021,20
01/11/2021,11
01/12/2021,7
01/13/2021,21
01/14/2021,11
01/15/2021,13
01/16/2021,23
01/17/2021,4
01/18/2021,16
01/19/2021,17
01/20/2021,11
01/21/2021,8
01/22/2021,9
01/23/2021,6
01/24/2021,11
01/25/2021,4
01/26/2021,43
01/27/2021,18
01/28/2021,6
01/29/2021,8
01/30/2021,3
01/31/2021,6
02/01/2021,8
02/02/2021,7
02/03/2021,6
02/04/2021,8
02/05/2021,5
02/06/2021,1
02/07/2021,6
02/08/2021,4
02/09/2021,3
02/10/2021,5
02/11/2021,11
02/12/2021,6
02/13/2021,2
02/14/2021,5
02/15/2021,1
02/16/2021,5
02/17/2021,3
02/18/2021,4
02/19/2021,7
02/20/2021,5
02/21/2021,6
02/22/2021,20
02/23/2021,14
02/24/2021,9
02/25/2021,2
02/26/2021,6
02/27/2021,6
02/28/2021,4
03/01/2021,5
03/02/2021,2
03/03/2021,6
03/04/2021,6
03/05/2021,4
03/06/2021,7
03/07/2021,10
03/08/2021,10
03/09/2021,13
03/10/2021,20
03/11/2021,30
03/12/2021,12
03/13/2021,18
03/14/2021,16
03/15/2021,10
03/16/2021,13
03/17/2021,10
03/18/2021,23
03/19/2021,31
03/20/2021,17
03/21/2021,14
03/22/2021,21
03/23/2021,9
03/24/2021,18
03/25/2021,27
03/26/2021,24
03/27/2021,36
03/28/2021,19
03/29/2021,6
03/30/2021,13
03/31/2021,16
04/01/2021,20
04/02/2021,10
04/03/2021,17
04/04/2021,6
04/05/2021,14
04/06/2021,15
04/07/2021,16
04/08/2021,7
04/09/2021,3
04/10/2021,6
04/11/2021,5
04/12/2021,6
04/13/2021,13
04/14/2021,6
04/15/2021,18
04/16/2021,7
04/17/2021,12
04/18/2021,19
04/19/2021,21
04/20/2021,18
04/21/2021,15
04/22/2021,24
04/23/2021,15
04/24/2021,9
04/25/2021,10
04/26/2021,12
04/27/2021,2
04/28/2021,11
04/29/2021,13
04/30/2021,4
05/01/2021,4
05/02/2021,4
05/03/2021,10
05/04/2021,22
05/05/2021,48
05/06/2021,12
05/07/2021,8
05/08/2021,27
05/09/2021,7
05/10/2021,5
05/11/2021,12
05/12/2021,17
05/13/2021,17
05/14/2021,25
05/15/2021,12
05/16/2021,5
05/17/2021,35
05/18/2021,25
05/19/2021,16
05/20/2021,8
05/21/2021,7
05/22/2021,29
05/23/2021,19
05/24/2021,20
05/25/2021,21
05/26/2021,25
05/27/2021,7
05/28/2021,16
05/29/2021,10
05/30/2021,17
05/31/2021,11
06/01/2021,13
06/02/2021,14
06/03/2021,17
06/04/2021,18
06/05/2021,14
06/06/2021,10
06/07/2021,2
06/08/2021,5
06/09/2021,30
06/10/2021,16
06/11/2021,11
06/12/2021,11
06/13/2021,10
06/14/2021,11
06/15/2021,3
06/16/2021,7
06/17/2021,7
06/18/2021,9
06/19/2021,5
06/20/2021,13
06/21/2021,9
06/22/2021,10
06/23/2021,17
06/24/2021,5
06/25/2021,13
06/26/2021,35
06/27/2021,19
06/28/2021,17
06/29/2021,8
06/30/2021,15
07/01/2021,10
07/02/2021,14
07/03/2021,11
07/04/2021,19
07/05/2021,7
07/06/2021,9
07/07/2021,12
07/08/2021,16
07/09/2021,24
07/10/2021,16
07/11/2021,20
07/12/2021,18
07/13/2021,19
07/14/2021,16
07/15/2021,25
07/16/2021,28
07/17/2021,45
07/18/2021,52
07/19/2021,27
07/20/2021,42
07/21/2021,54
07/22/2021,47
07/23/2021,62
07/24/2021,46
07/25/2021,25
07/26/2021,29
07/27/2021,61
07/28/2021,74
07/29/2021,47
07/30/2021,20
07/31/2021,39
08/01/2021,44
08/02/2021,25
08/03/2021,25
08/04/2021,22
08/05/2021,31
08/06/2021,26
08/07/2021,33
08/08/2021,25
08/09/2021,24
08/10/2021,22
08/11/2021,19
08/12/2021,42
08/13/2021,33
08/14/2021,39
08/15/2021,31
08/16/2021,41
08/17/2021,26
08/18/2021,40
08/19/2021,29
08/20/2021,28
08/21/2021,40
08/22/2021,15
08/23/2021,26
08/24/2021,17
08/25/2021,46
08/26/2021,26
08/27/2021,57
08/28/2021,41
08/29/2021,35
08/30/2021,29
08/31/2021,30
09/01/2021,35
09/02/2021,27
09/03/2021,18
09/04/2021,45
09/05/2021,24
09/06/2021,25
09/07/2021,22
09/08/2021,33
09/09/2021,33
09/10/2021,33
09/11/2021,34
09/12/2021,19
09/13/2021,14
09/14/2021,21
09/15/2021,29
09/16/2021,36
09/17/2021,39
09/18/2021,48
09/19/2021,46
09/20/2021,28
09/21/2021,39
09/22/2021,33
09/23/2021,31
09/24/2021,43
09/25/2021,57
09/26/2021,47
09/27/2021,40
09/28/2021,26
09/29/2021,20
09/30/2021,32
10/01/2021,52
10/02/2021,33
10/03/2021,50
10/04/2021,37
10/05/2021,24
10/06/2021,31
10/07/2021,29
10/08/2021,33
10/09/2021,28
10/10/2021,18
10/11/2021,17
10/12/2021,28
10/13/2021,17
10/14/2021,22
10/15/2021,21
10/16/2021,19
10/17/2021,24
10/18/2021,8
10/19/2021,7
10/20/2021,27
10/21/2021,31
10/22/2021,18
10/23/2021,20
10/24/2021,13
10/25/2021,20
10/26/2021,25
10/27/2021,19
10/28/2021,22
10/29/2021,21
10/30/2021,25
10/31/2021,23
11/01/2021,13
11/02/2021,29
11/03/2021,29
11/04/2021,39
11/05/2021,22
11/06/2021,42
11/07/2021,42
11/08/2021,30
11/09/2021,21
11/10/2021,23
11/11/2021,29
11/12/2021,30
11/13/2021,31
11/14/2021,31
11/15/2021,35
11/16/2021,51
11/17/2021,54
11/18/2021,62
11/19/2021,72
11/20/2021,59
11/21/2021,75
11/22/2021,55
11/23/2021,66
11/24/2021,65
11/25/2021,87
11/26/2021,52
11/27/2021,93
11/28/2021,63
11/29/2021,56
11/30/2021,84
12/01/2021,105
12/02/2021,144
12/03/2021,98
12/04/2021,114
12/05/2021,116
12/06/2021,112
12/07/2021,109
12/08/2021,143
12/09/2021,139
12/10/2021,152
12/11/2021,170
12/12/2021,123
12/13/2021,111
12/14/2021,132
12/15/2021,160
12/16/2021,148
12/17/2021,134
12/18/2021,126
12/19/2021,100
12/20/2021,130
12/21/2021,117
12/22/2021,130
12/23/2021,120
12/24/2021,130
12/25/2021,147
12/26/2021,107
12/27/2021,120
12/28/2021,79
12/29/2021,87
12/30/2021,91
12/31/2021,72
01/01/2022,59
01/02/2022,59
01/03/2022,54
01/04/2022,63
01/05/2022,69
01/06/2022,57
01/07/2022,90
01/08/2022,81
01/09/2022,77
01/10/2022,60
01/11/2022,88
01/12/2022,117
01/13/2022,89
01/14/2022,144
01/15/2022,79
01/16/2022,74
01/17/2022,79
01/18/2022,94
01/19/2022,148
01/20/2022,111
01/21/2022,161
01/22/2022,99
01/23/2022,89
01/24/2022,100
01/25/2022,165
01/26/2022,163
01/27/2022,189
01/28/2022,212
01/29/2022,207
01/30/2022,221
01/31/2022,277
02/01/2022,254
02/02/2022,354
02/03/2022,469
02/04/2022,636
02/05/2022,697
02/06/2022,786
02/07/2022,740
02/08/2022,738
02/09/2022,945
02/10/2022,964
02/11/2022,1087
02/12/2022,960
02/13/2022,985
02/14/2022,1092
02/15/2022,1179
02/16/2022,1784
02/17/2022,1729
02/18/2022,1932
02/19/2022,1799
02/20/2022,1999
02/21/2022,2015
02/22/2022,2057
02/23/2022,3192
02/24/2022,3121
02/25/2022,3428
02/26/2022,3264
02/27/2022,3380
02/28/2022,3318
03/01/2022,3477
03/02/2022,4970
03/03/2022,4615
03/04/2022,5585
03/05/2022,5916
03/06/2022,5708
03/07/2022,5451
03/08/2022,5460
03/09/2022,8685
03/10/2022,8172
03/11/2022,7482
03/12/2022,9434
03/13/2022,9378
03/14/2022,9045
03/15/2022,9703
03/16/2022,9652
03/17/2022,15447
03/18/2022,11401
03/19/2022,10540
03/20/2022,9196
03/21/2022,6609
03/22/2022,10428
03/23/2022,14318
03/24/2022,11526
03/25/2022,10541
03/26/2022,10042
03/27/2022,9259
03/28/2022,6935
03/29/2022,10507
03/30/2022,13112
03/31/2022,10665
04/01/2022,9062
04/02/2022,9056
04/03/2022,7496
04/04/2022,5217
04/05/2022,8256
04/06/2022,10009
04/07/2022,7633
04/08/2022,7433
04/09/2022,6619
04/10/2022,5661
04/11/2022,3377
04/12/2022,6840
04/13/2022,7243
04/14/2022,5428
04/15/2022,4561
04/16/2022,3961
04/17/2022,3113
04/18/2022,1850
04/19/2022,4429
04/20/2022,4497
04/21/2022,3418
04/22/2022,3169
04/23/2022,2797
04/24/2022,2265
04/25/2022,1280
04/26/2022,3013
04/27/2022,2955
04/28/2022,2196
04/29/2022,1840
04/30/2022,1644
05/01/2022,1401
05/02/2022,752
05/03/2022,1781
05/04/2022,1860
05/05/2022,1626
05/06/2022,959
05/07/2022,1486
05/08/2022,1429
05/09/2022,808
05/10/2022,1827
05/11/2022,1638
05/12/2022,1322
05/13/2022,1194
05/14/2022,1155
05/15/2022,963
05/16/2022,587
05/17/2022,1375
05/18/2022,1358
05/19/2022,1097
05/20/2022,1268
05/21/2022,1103
05/22/2022,828
05/23/2022,515
05/24/2022,1065
05/25/2022,1150
05/26/2022,819
05/27/2022,660
05/28/2022,570
05/29/2022,468
05/30/2022,296
05/31/2022,696
06/01/2022,783
06/02/2022,415
06/03/2022,586
06/04/2022,546
06/05/2022,384
06/06/2022,240
06/07/2022,307
06/08/2022,586
06/09/2022,540
06/10/2022,444
06/11/2022,383
06/12/2022,360
06/13/2022,187
06/14/2022,425
06/15/2022,449
06/16/2022,315
06/17/2022,300
06/18/2022,306
06/19/2022,250
06/20/2022,154
06/21/2022,304
06/22/2022,364
06/23/2022,265
06/24/2022,304
06/25/2022,249
06/26/2022,178
06/27/2022,131
06/28/2022,318
06/29/2022,346
06/30/2022,283
07/01/2022,240
07/02/2022,313
07/03/2022,269
07/04/2022,235
07/05/2022,532
07/06/2022,596
07/07/2022,560
07/08/2022,486
07/09/2022,546
07/10/2022,434
07/11/2022,312
07/12/2022,889
07/13/2022,1046
07/14/2022,1037
07/15/2022,1120
07/16/2022,1111
07/17/2022,1158
07/18/2022,678
07/19/2022,2009
07/20/2022,2203
07/21/2022,1992
07/22/2022,2140
07/23/2022,2030
07/24/2022,1895
07/25/2022,1065
07/26/2022,2478
07/27/2022,3301
07/28/2022,2852
07/29/2022,2774
07/30/2022,2609
07/31/2022,2474
08/01/2022,1450
08/02/2022,3120
08/03/2022,4613
08/04/2022,4369
08/05/2022,4010
08/06/2022,3974
08/07/2022,3430
08/08/2022,2508
08/09/2022,4760
08/10/2022,5275
08/11/2022,4606
08/12/2022,4311
08/13/2022,3987
08/14/2022,3463
08/15/2022,2368
08/16/2022,2756
08/17/2022,5176
08/18/2022,5638
08/19/2022,4303
08/20/2022,3669
08/21/2022,3030
08/22/2022,2134
08/23/2022,4167
08/24/2022,4627
08/25/2022,3329
08/26/2022,3053
08/27/2022,2834
08/28/2022,2458
08/29/2022,1512
08/30/2022,3191
08/31/2022,3386
09/01/2022,2634
09/02/2022,2494
09/03/2022,2408
09/04/2022,2082
09/05/2022,1257
09/06/2022,2819
09/07/2022,2736
09/08/2022,2315
09/09/2022,2274
09/10/2022,1458
09/11/2022,975
09/12/2022,1233
09/13/2022,1664
09/14/2022,2917
09/15/2022,2637
09/16/2022,1782
09/17/2022,1490
09/18/2022,1083
09/19/2022,648
09/20/2022,1397
09/21/2022,1344
09/22/2022,1017
09/23/2022,943
09/24/2022,870
09/25/2022,707
09/26/2022,539
09/27/2022,1167
09/28/2022,1313
09/29/2022,1080
09/30/2022,923
10/01/2022,900
10/02/2022,679
10/03/2022,456
10/04/2022,541
10/05/2022,1224
10/06/2022,1125
10/07/2022,799
10/08/2022,690
10/09/2022,542
10/10/2022,416
10/11/2022,481
10/12/2022,1032
10/13/2022,1072
10/14/2022,902
10/15/2022,803
10/16/2022,737
10/17/2022,498
10/18/2022,1070
10/19/2022,1244
10/20/2022,1009
10/21/2022,940
10/22/2022,960
10/23/2022,834
10/24/2022,563
10/25/2022,1344
10/26/2022,1657
10/27/2022,1300
10/28/2022,1394
10/29/2022,1380
10/30/2022,1273
10/31/2022,840
11/01/2022,1981
11/02/2022,2270
11/03/2022,1827
11/04/2022,1634
11/05/2022,1555
11/06/2022,1322
11/07/2022,821
11/08/2022,1989
11/09/2022,2445
11/10/2022,1912
11/11/2022,1968
11/12/2022,1910
11/13/2022,1570
11/14/2022,976
11/15/2022,2131
11/16/2022,2471
11/17/2022,1820
11/18/2022,1717
11/19/2022,1688
11/20/2022,1350
11/21/2022,909
11/22/2022,2017
11/23/2022,2313
11/24/2022,1830
11/25/2022,1744
11/26/2022,1635
11/27/2022,1278
11/28/2022,890
11/29/2022,1956
11/30/2022,2187
12/01/2022,1723
12/02/2022,1584
